scope,addr,group,group_basis,comment,evidence
EcPs2Kbd,0x260,EcPs2Kbd,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/EcPs2Kbd/00000260.asm; bios/decompiled/EcPs2Kbd.c
OemACPIDriverDxe,0x260,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/00000260.asm; bios/decompiled/OemACPIDriverDxe.c
OemACPIDriverHookDxe,00000260,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemACPIDriverHookDxe/00000260.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemGlobalNvsDxe,0x260,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000260.asm; bios/decompiled/OemGlobalNvsDxe.c
OemHooks,0x260,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/00000260.asm; bios/decompiled/OemHooks.c
OemKbLightSupportDxe,00000260,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemKbLightSupportDxe/00000260.asm; bios/decompiled/OemKbLightSupportDxe.c
OemUsbLightBarDxe,00000260,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemUsbLightBarDxe/00000260.asm; bios/decompiled/OemUsbLightBarDxe.c
OverclockInterface,0x260,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/00000260.asm; bios/decompiled/OverclockInterface.c
OemACPIDriverHookDxe,00000270,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/00000270.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemHooks,0x270,OemHooks,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemHooks/00000270.asm; bios/decompiled/OemHooks.c
OemKbLightDxe,0x270,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000270.asm; bios/decompiled/OemKbLightDxe.c
OemKbLightSupportDxe,00000270,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000270.asm; bios/decompiled/OemKbLightSupportDxe.c
OemUsbLightBarDxe,00000270,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/00000270.asm; bios/decompiled/OemUsbLightBarDxe.c
EcPs2Kbd,0x280,EcPs2Kbd,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/EcPs2Kbd/00000280.asm; bios/decompiled/EcPs2Kbd.c
OemACPIDriverHookDxe,00000280,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/00000280.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemHooks,0x280,OemHooks,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemHooks/00000280.asm; bios/decompiled/OemHooks.c
OemKbLightDxe,0x280,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000280.asm; bios/decompiled/OemKbLightDxe.c
OemKbLightSupportDxe,00000280,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000280.asm; bios/decompiled/OemKbLightSupportDxe.c
OemUsbLightBarDxe,00000280,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/00000280.asm; bios/decompiled/OemUsbLightBarDxe.c
OemACPIDriverHookDxe,00000290,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/00000290.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemHooks,0x290,OemHooks,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemHooks/00000290.asm; bios/decompiled/OemHooks.c
OemKbLightDxe,0x290,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000290.asm; bios/decompiled/OemKbLightDxe.c
OemKbLightSupportDxe,00000290,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000290.asm; bios/decompiled/OemKbLightSupportDxe.c
OemUsbLightBarDxe,00000290,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/00000290.asm; bios/decompiled/OemUsbLightBarDxe.c
OemHooks,0x2A0,OemHooks,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemHooks/000002A0.asm; bios/decompiled/OemHooks.c
OemKbLightDxe,0x2A0,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/000002A0.asm; bios/decompiled/OemKbLightDxe.c
OemKbLightSupportDxe,000002A0,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/000002A0.asm; bios/decompiled/OemKbLightSupportDxe.c
OemServiceDxe,000002A0,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/000002A0.asm; bios/decompiled/OemServiceDxe.c
OemUsbLightBarDxe,000002A0,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/000002A0.asm; bios/decompiled/OemUsbLightBarDxe.c
DxeOverClock,0x000002C0,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/000002C0.asm; bios/decompiled/DxeOverClock.c
OemACPIDriverDxe,0x2C0,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/000002C0.asm; bios/decompiled/OemACPIDriverDxe.c
OemACRecoveryDxe,0x2C0,OemACRecoveryDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACRecoveryDxe/000002C0.asm; bios/decompiled/OemACRecoveryDxe.c
OemApControlDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemApControlDxe/000002C0.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,000002C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemDDSSupportDxe/000002C0.asm; bios/decompiled/OemDDSSupportDxe.c
OemDisplayModeDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemDisplayModeDxe/000002C0.asm; bios/decompiled/OemDisplayModeDxe.c
OemI2cDevices,000002C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemI2cDevices/000002C0.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x2C0,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/000002C0.asm; bios/decompiled/OemManufactureModeDxe.c
OemNetworkDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemNetworkDxe/000002C0.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemOcDxe/000002C0.asm; bios/decompiled/OemOcDxe.c
OemPowerModeDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemPowerModeDxe/000002C0.asm; bios/decompiled/OemPowerModeDxe.c
OemQkeyDxe,000002C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemQkeyDxe/000002C0.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,000002C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemSWBoardIDDxe/000002C0.asm; bios/decompiled/OemSWBoardIDDxe.c
OemServiceDxe,000002C0,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/000002C0.asm; bios/decompiled/OemServiceDxe.c
OemTurboModeDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemTurboModeDxe/000002C0.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,000002C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemUniWillVariableDxe/000002C0.asm; bios/decompiled/OemUniWillVariableDxe.c
OemVariableHookDxe,0x2C0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemVariableHookDxe/000002C0.asm; bios/decompiled/OemVariableHookDxe.c
Setup,0x000002C0,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/000002C0.asm; bios/decompiled/Setup.c
OemApControlDxe,0x2D0,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/000002D0.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,000002D0,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/000002D0.asm; bios/decompiled/OemDDSSupportDxe.c
OemDisplayModeDxe,0x2D0,OemDisplayModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDisplayModeDxe/000002D0.asm; bios/decompiled/OemDisplayModeDxe.c
OemI2cDevices,000002D0,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/000002D0.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x2D0,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/000002D0.asm; bios/decompiled/OemManufactureModeDxe.c
