path,sha256,bytes
bios/decompiled/DxeOverClock.c,3d39d1ab8c4eb7864cbd32ecefba6c7a38b50fff66ac3235b4f30ecef8c6d196,33891
bios/decompiled/EcPs2Kbd.c,1d55d09efe8cb801f667a5e30953843d8d72546b7675b37ea5eb133fdf8e48f1,9528
bios/decompiled/OemACPIDriverDxe.c,ac7a4e4e74dc04c41716a6f3afcc8bd5dac30a54dd7b57c21408b2adc0bb5276,6581
bios/decompiled/OemACPIDriverHookDxe.c,c3ed05826bcbdd34e955a4423898dfb301ce70748fcaddcca2ef101376e7b3d2,4120
bios/decompiled/OemACPIDriverSmm.c,5581830787f98c0c01547cbb510937fef845f3ab9caad0d9b2f468db406b7d30,10922
bios/decompiled/OemACRecoveryDxe.c,83357005d9f3aa7cf39acdf421707b6490e5f1153faaa0ff538a8ff78b3d1663,1577
bios/decompiled/OemACRecoveryPei.c,6c619ea6c0fd2b897e6fa9c8d601435ab9b90b76663810a782ff52a930d4d3cf,222
bios/decompiled/OemApControlDxe.c,3b1e5f7dcfb6a5a3f5c6af765eb402f53359b1ed9931c59ed88bdbc8d17fbca8,11712
bios/decompiled/OemDDSSupportDxe.c,31546d3398f458ab1d4daeabc05187eeded122838f9e52a23d6832be4ffb3e19,5133
bios/decompiled/OemDgpuBoardIDDxe.c,e89847d549917b895fcb3e632e41f3be738d780b54561303d28db690867453d8,8176
bios/decompiled/OemDgpuBoardIDPei.c,595bfd72bd6e5f22dbd94fa723c29eb6b533d91931bafc6b8008653f9af80a28,4171
bios/decompiled/OemDisplayModeDxe.c,1da1b282b565762778129068ccb6d0df4367de680b664152e4f21e94286f23e5,5298
bios/decompiled/OemGlobalNvsDxe.c,0d2ed5b3e6ae02da66bee5b94205a05d8c2b5e7707453d9a8e6c728b2afaceb5,24072
bios/decompiled/OemGlobalNvsSmm.c,77b1b3c7e8b4f5e4b391aba12f8e9c20de694c249ff12fd3ffc656a67d964970,10085
bios/decompiled/OemHddHeadParkSmm.c,f94c1d74d9fb60b9f791569c2add2b7c53ed26003c789d7b500361fda21cd939,10617
bios/decompiled/OemHooks.c,a378b3586a26e1c2fcd1180f3a01f28c34401940d4bdbfe44a4af32778c93e8e,11347
bios/decompiled/OemHooksPei.c,ab6c05f20806ded264a8e014a23e7ee7982bf1a5798ff36a89c11c170472e92b,18020
bios/decompiled/OemHooksSmm.c,2a32435bf49af670cf86eca7aeee3c03199132fcf7be780b0627cbd2d7d31fba,3468
bios/decompiled/OemI2cDevices.c,3cf18afe2dfe71772912b5a2ddd120052e12e9b151e2d00c6e98dae5a275d9b6,14101
bios/decompiled/OemKbLightDxe.c,4d7844a374cbb35d7e7fd673e0e11a0badbd82808cf31026acc6364b908a293a,14852
bios/decompiled/OemKbLightSupportDxe.c,48077febac2436294500c2012e2e85a2b3ceeae7b8caca0225914ec5a9fe29d4,7707
bios/decompiled/OemManufactureModeDxe.c,62323d2d2717fbf1bf2222a805599d222f44516c1d061978955e75c1cec162b2,8358
bios/decompiled/OemNetworkDxe.c,ec4c261deca3eff1462223d91933fef0ab4d15793df394325ff09d385519a925,5064
bios/decompiled/OemOcDxe.annotated.c,471670db81d5c985f7590cb59a00c4d69f961e8773994b1524ef5d006144540c,8020
bios/decompiled/OemOcDxe.c,87f3000a6ede90882178da04cdfb0746dc3f7df594c8ae680a75f4caf8c71e49,20901
bios/decompiled/OemOcPei.c,70df94f6793c8a831f6b625bb2133641c594d07c62e996d2be30bfef18aadac4,6950
bios/decompiled/OemPowerModeDxe.c,8335138f13d7057cfbc6cd3ff43f2bbd14e2c72fd993e07432ad64f7d7a91f36,9832
bios/decompiled/OemQkeyDxe.c,91f4574dbe2cd4779f16cffdac20213869c395fd3c7e86083f50b1ec1f06d6c9,10258
bios/decompiled/OemSWBoardIDDxe.c,d7624c73f38b9cba9d15c4bc4b57473ce5f213778f12a7a8b28e526c1e7f3d72,8154
bios/decompiled/OemServiceDxe.c,483845e71287cf3aeeb156805ce38edf2a3be439a11602869b92772c7ce2b7ed,16393
bios/decompiled/OemServiceSmm.c,d4910f7ab4de383f1d7349e2e3725bef227e78ad87b25348cf86cc22516c70c2,150849
bios/decompiled/OemTurboModeDxe.c,5229d33f67bbdf36367c4b83c1e9be3372594ef3407c39253fc80912efbe991a,8717
bios/decompiled/OemUniWillVariableDxe.c,3b33b778b65a4e24b7e2fd47ab08a0024da449b532a9f6353dffaac8e4e22fd8,10956
bios/decompiled/OemUsbLightBarDxe.c,acf9be45248a169397dd8d9ba2612b2c58d05b3e488ff84491ddbf41156845be,5738
bios/decompiled/OemVariableHookDxe.c,45b003bd1e630a8f57eb31e5a09b8974fb2cec0c7d9ce99bd9507ac00e6cbf16,4319
bios/decompiled/OverClockSmiHandler.c,99eeab908d514aea9e10861b9c41c2e701284948030d6d10fd53df98ae76c6d8,19810
bios/decompiled/OverclockInterface.c,4cafb2617c97fba68d0713354120e08a84fda7af49405c443b4acec9d4f4b3df,13414
bios/decompiled/PeiOverClock.c,5eb919b6f7dd36e3b34312cc2cf47b752cde96f61520642ee0c4842b56b91c2a,506
bios/decompiled/Setup.c,19467094560d21dbb8e49d663241c337731c35ed27ba12ebcb5d10c5b93955bd,498081
