program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
DxeOverClock,00000260,FUN_00000260,17,annotation,no,,,,DxeOverClock.c
DxeOverClock,000002C0,memcpy_bytes,60,annotation,yes,copy,hand-decoded,bios/ghidra/listings/DxeOverClock/000002C0.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000320,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/DxeOverClock/00000320.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000330,read_tsc,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/DxeOverClock/00000330.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000340,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/DxeOverClock/00000340.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000350,disable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/DxeOverClock/00000350.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000360,read_flags,3,annotation,yes,reader,hand-decoded,bios/ghidra/listings/DxeOverClock/00000360.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000364,overclock_module_entry,156,entry,yes,module-entry,hand-decoded,bios/ghidra/listings/DxeOverClock/00000364.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000400,FUN_00000400,1049,annotation,no,,,,DxeOverClock.c
DxeOverClock,0000081C,load_oc_state_from_protocol,292,annotation,yes,overclock,hand-decoded,bios/ghidra/listings/DxeOverClock/0000081C.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
DxeOverClock,00000940,FUN_00000940,594,auto,no,,,,DxeOverClock.c
DxeOverClock,00000B94,init_oc_working_state,1411,annotation,yes,overclock,hand-decoded,bios/ghidra/listings/DxeOverClock/00000B94.asm; bios/decompiled/DxeOverClock.c,DxeOverClock.c
