program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
DxeOverClock,00000260,FUN_00000260,17,annotation,no,,,,DxeOverClock/00000260.asm
DxeOverClock,000002C0,memcpy_bytes,60,annotation,yes,,,,DxeOverClock/000002C0.asm
DxeOverClock,00000320,cpu_pause,3,annotation,yes,,,,DxeOverClock/00000320.asm
DxeOverClock,00000330,read_tsc,10,annotation,yes,,,,DxeOverClock/00000330.asm
DxeOverClock,00000340,enable_interrupts,2,annotation,yes,,,,DxeOverClock/00000340.asm
DxeOverClock,00000350,disable_interrupts,2,annotation,yes,,,,DxeOverClock/00000350.asm
DxeOverClock,00000360,read_flags,3,annotation,yes,,,,DxeOverClock/00000360.asm
DxeOverClock,00000364,overclock_module_entry,156,entry,yes,,,,DxeOverClock/00000364.asm
DxeOverClock,00000400,FUN_00000400,1049,annotation,no,,,,DxeOverClock/00000400.asm
DxeOverClock,0000081C,load_oc_state_from_protocol,292,annotation,yes,,,,DxeOverClock/0000081C.asm
DxeOverClock,00000940,FUN_00000940,594,auto,no,,,,DxeOverClock/00000940.asm
DxeOverClock,00000B94,init_oc_working_state,1411,annotation,yes,,,,DxeOverClock/00000B94.asm
DxeOverClock,00001118,restore_oc_working_state,1208,annotation,yes,,,,DxeOverClock/00001118.asm
DxeOverClock,000015D0,save_or_restore_oc_state,2135,annotation,yes,,,,DxeOverClock/000015D0.asm
DxeOverClock,00001E28,find_config_table_entry,105,annotation,yes,,,,DxeOverClock/00001E28.asm
DxeOverClock,00001E94,scan_config_data_for_guid,77,annotation,yes,,,,DxeOverClock/00001E94.asm
DxeOverClock,00001EE4,delay_via_port_1808,96,annotation,yes,,,,DxeOverClock/00001EE4.asm
DxeOverClock,00001F44,scale_and_delay,49,annotation,yes,,,,DxeOverClock/00001F44.asm
DxeOverClock,00001F78,probe_msr_150,231,annotation,yes,,,,DxeOverClock/00001F78.asm
DxeOverClock,00002060,read_msrs_610_606_1ad,344,annotation,yes,,,,DxeOverClock/00002060.asm
DxeOverClock,000021B8,submit_oc_descriptor,216,annotation,yes,,,,DxeOverClock/000021B8.asm
DxeOverClock,00002290,FUN_00002290,224,auto,no,,,,DxeOverClock/00002290.asm
DxeOverClock,00002370,locate_protocol_25b0_with_fallback,274,annotation,yes,,,,DxeOverClock/00002370.asm
DxeOverClock,00002484,wait_for_msr150_bit56,137,annotation,yes,,,,DxeOverClock/00002484.asm
EcPs2Kbd,00000260,entry,32,annotation,no,,,,EcPs2Kbd/00000260.asm
EcPs2Kbd,00000280,init_register_two_descriptor_chains,567,annotation,yes,,,,EcPs2Kbd/00000280.asm
EcPs2Kbd,000004B8,FUN_000004b8,509,annotation,no,,,,EcPs2Kbd/000004B8.asm
EcPs2Kbd,0000085C,find_record_by_8byte_id,56,annotation,yes,,,,EcPs2Kbd/0000085C.asm
EcPs2Kbd,00000894,alloc_buffer_type4,43,annotation,yes,,,,EcPs2Kbd/00000894.asm
EcPs2Kbd,000008C0,sum_chain_record_lengths,82,annotation,yes,,,,EcPs2Kbd/000008C0.asm
EcPs2Kbd,00000914,FUN_00000914,213,auto,no,,,,EcPs2Kbd/00000914.asm
EcPs2Kbd,000009EC,copy_chain_to_new_buffer,70,annotation,yes,,,,EcPs2Kbd/000009EC.asm
EcPs2Kbd,00000A34,FUN_00000a34,121,auto,no,,,,EcPs2Kbd/00000A34.asm
EcPs2Kbd,00000B60,memmove_bytes,176,annotation,yes,,,,EcPs2Kbd/00000B60.asm
OemACPIDriverDxe,00000260,mem_set_zero_bytes,29,annotation,yes,,,,OemACPIDriverDxe/00000260.asm
OemACPIDriverDxe,000002C0,module_entry_store_ptrs_and_scan_table,116,annotation,yes,,,,OemACPIDriverDxe/000002C0.asm
OemACPIDriverDxe,00000334,build_adas_record_and_call_services,230,annotation,yes,,,,OemACPIDriverDxe/00000334.asm
OemACPIDriverDxe,000004D8,find_name_tag_record,213,annotation,yes,,,,OemACPIDriverDxe/000004D8.asm
OemACPIDriverDxe,000005B0,write_value_by_type_byte,109,annotation,yes,,,,OemACPIDriverDxe/000005B0.asm
OemACPIDriverDxe,000007A0,mem_move_bytes,176,annotation,yes,,,,OemACPIDriverDxe/000007A0.asm
