program,kind,image_bytes,image_sha256,load_addr,entry
DxeOverClock,PE32,13952,c45f385df31b679b4b0b75fbd94cefb42435ea74390f6b09cb68e4d7a80c2d91,,0x364
EcPs2Kbd,PE32,3872,a42a90d436a6d8ce1fe466ddf72d6b36195e582a6ac78cb94d0e5348f7c3a938,,0x260
OemACPIDriverDxe,PE32,2656,e03bdaab97317dbfc53fe64d853f3611124aa96630b2ff25aa3c3ca0b5786558,,0x2C0
OemACPIDriverHookDxe,PE32,2208,6567f057ddd1e0759081ce9f4d2e7f79e0692a9c160c7bf407443fe38711e5cb,,0x310
OemACPIDriverSmm,PE32,5120,02d34e16bf33556a1fbb515a6f21f0f1c8988419ed6e0ca5ce737dd594ca3a55,,0x1230
OemACRecoveryDxe,PE32,1760,a963485dcf9281c595bc59f9626532e8b697fc869bf58dc67730477896e32c50,,0x2C0
OemACRecoveryPei,TE,800,4a7afb387cd28a1ac67b01908af6daffe0b51880536007ba49ff9044381cbb5d,0xFFF82C6C,0xFFF82DE5
OemApControlDxe,PE32,4064,0b0e657d7b04e842ce1fc0d5c4b152671eb40a7a837d53e2d780d6920719f98c,,0x310
OemDDSSupportDxe,PE32,3968,fd16c4e9c40604a783234e9a3ba01c68b268f7b5e44666094cd69419e3dd2df1,,0x310
OemDgpuBoardIDDxe,PE32,5984,66cfb0d89074979ca1f4c63e8a02f3c1be38d8a6feb9a763a9e6e5d51b370676,,0x350
OemDgpuBoardIDPei,TE,2624,6e474388e4f8b2388eb11400158fdc04a02c4d171b7a0706b0d061709dd83f35,0xFFFAC1C8,0xFFFAC38D
OemDisplayModeDxe,PE32,2528,26b6ddb2d7efbe478618d017bcc16fe461055f5c897667ca6cd6f1a52fb2ef61,,0x310
OemGlobalNvsDxe,PE32,5600,236033f05931b45dc27332601adff3f242f0e852e01406925b52bb646d72092e,,0x370
OemGlobalNvsSmm,PE32,5120,6b68393ddfbf7e68eb0d3bbfde6a21ac16696a10bec41113a92bc4f0e9c065b8,,0x1230
OemHddHeadParkSmm,PE32,5632,ca8a18f1b94d37d042d4735a01f41ac63b5de0e13b4b4dc5d7ff51f9d7388f24,,0x1180
OemHooks,PE32,3936,0bc47ebfc69f1cf30b1dba393ba3b2b00e2cbe24b7172641c0fe695e6244c9fe,,0x310
OemHooksPei,TE,4992,5399932eeb24aca20343007bc50d4d1a33e8ebaa601f5a99b7b44385b1981a14,0xFFF80E5C,0xFFF81031
OemHooksSmm,PE32,4096,53a92b46bc266253d5d1a2008a3cf8f5565266a623b340551725241fbf953049,,0x117C
OemI2cDevices,PE32,4224,2f2d62aee99799f36618d5716768500fd617a407da02653680ebf9e2b5b3fb07,,0x310
OemKbLightDxe,PE32,4416,c46a589a55924af414ca12ea8b330370a024f57c6117a401b9a8b97d64034bfc,,0x310
OemKbLightSupportDxe,PE32,2688,37b25a9eef7f05daa9e06e54d0a7c7ffb4b37048ad09418c3de01da45a9a8eba,,0x310
OemManufactureModeDxe,PE32,3264,34f64d0eeba1ad5d5e8ebf2d8831ac6fbf6ccb718e869aa7f5aad5fa0be6c4bf,,0x310
OemNetworkDxe,PE32,2400,06c62547e388cf676e33c5ac2596d4ec25f66777775e887567e7d60141499fad,,0x310
OemOcDxe,PE32,7232,aa2e07fd21eded11b1e2038158f3cb82f7f43cf2c3684a456178b2cc74e15c5a,,0x3D0
OemOcPei,TE,2496,2aa38677c93271ed1169b2d5e1d3ca8105836a8d54c7448cf0d46fda5839fbf2,0xFFF8223C,0xFFF823B9
OemPowerModeDxe,PE32,3584,cc82bd713cdd4c66920c4d4ac4c39d02ed7f17e18580ffeb25f22b5615491cd7,,0x310
OemQkeyDxe,PE32,3648,12b22918486df0ee97a84ed4a44e2c0a5b4ba1d14bbb5e1d29a905acc8c3d4c7,,0x310
OemSWBoardIDDxe,PE32,3136,78d4b67aa8f30cfac61fe13fa9023ea1ee6df185d3186b781ca7038fcb011922,,0x310
OemServiceDxe,PE32,5696,eaeb867e9dbcac357eef2a86534b87dbc91e0b7b6d83dff060366fb99ad858ae,,0x350
OemServiceSmm,PE32,55808,4e5d098763ce89b8db2f26fb0193e8911f0452d981ca59b6de095000b115fa34,,0x12B0
OemTurboModeDxe,PE32,3296,85cc7a64f933dd24b450de7ca2de53732a93e9de9fd50e870a52dd978849a47f,,0x310
OemUniWillVariableDxe,PE32,3488,729be256e038f619193675a89b5f575f8c286c0351a00a0ceb95510fddddf8eb,,0x310
OemUsbLightBarDxe,PE32,2592,08288e6c39d6f862199fc202d2a4f6b77215ea6a2e6ef12bd9f8e911e054227c,,0x310
OemVariableHookDxe,PE32,2208,6da9aad1c06fb4ec387c56f6c7a78f23275ea7c562ec8e3078146d952160d9e8,,0x310
OverClockSmiHandler,PE32,22528,6d6d428c8b6fae0b1f93ea95ce08b0ff2812edcfb50cb8801f791cd408d00f20,,0x1290
OverclockInterface,PE32,10848,4ad507a70b24bee7ae69d6d90ef5f2e9edc36a53adc86bcc506a8a7fd83030c5,,0x3C4
PeiOverClock,TE,672,25e9191f79a10f4ce94bbc8ec99ea91ae3f7cc31563d04fe919521d91a65c262,0xFFCFB9D0,0xFFCFBB49
Setup,PE32,842592,71dc061f31179c23f213afb4a194d80b9b022f3bb4c7ec8c6e854b272d8db65c,,0x4B0
