program,kind,source,sha256,ghidra_version,image_bytes,load_addr,entry,functions,decompiled,failed,disassembled_bytes,body_bytes,seeds,annotations_applied,annotations_unmatched,mode
DxeOverClock,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, DxeOverClock.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,13952,,0x364,24,24,0,8695,8695,20,20,0,export-only
EcPs2Kbd,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, EcPs2Kbd.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3872,,0x260,10,10,0,1869,1869,7,7,0,export-only
OemACPIDriverDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemACPIDriverDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2656,,0x2C0,6,6,0,873,873,6,6,0,export-only
OemACPIDriverHookDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemACPIDriverHookDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2208,,0x310,9,9,0,594,594,7,7,0,export-only
OemACPIDriverSmm,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemACPIDriverSmm.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5120,,0x1230,17,17,0,1644,1582,16,16,0,export-only
OemACRecoveryDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemACRecoveryDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,1760,,0x2C0,2,2,0,403,343,1,1,0,export-only
OemACRecoveryPei,TE,"GM7MG7P/GMxMGxxN109A08.ROM, OemACRecoveryPei.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,800,0xFFF82C6C,0xFFF82DE5,1,1,0,135,20,1,1,0,export-only
OemApControlDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemApControlDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,4064,,0x310,18,18,0,2362,2302,14,14,0,export-only
OemDDSSupportDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemDDSSupportDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3968,,0x310,12,12,0,894,834,12,12,0,export-only
OemDgpuBoardIDDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemDgpuBoardIDDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5984,,0x350,14,14,0,2412,1532,11,11,0,export-only
OemDgpuBoardIDPei,TE,"GM7MG7P/GMxMGxxN109A08.ROM, OemDgpuBoardIDPei.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2624,0xFFFAC1C8,0xFFFAC38D,6,6,0,681,665,4,3,0,export-only
OemDisplayModeDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemDisplayModeDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2528,,0x310,9,9,0,1012,912,6,5,0,export-only
OemGlobalNvsDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemGlobalNvsDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5600,,0x370,27,27,0,3706,3706,22,22,0,export-only
OemGlobalNvsSmm,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemGlobalNvsSmm.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5120,,0x1230,16,16,0,1438,1438,14,14,0,export-only
OemHddHeadParkSmm,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemHddHeadParkSmm.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5632,,0x1180,11,11,0,1816,1651,11,11,0,export-only
OemHooks,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemHooks.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3936,,0x310,17,17,0,2189,2189,14,13,0,export-only
OemHooksPei,TE,"GM7MG7P/GMxMGxxN109A08.ROM, OemHooksPei.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,4992,0xFFF80E5C,0xFFF81031,40,40,0,3243,3243,35,34,0,export-only
OemHooksSmm,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemHooksSmm.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,4096,,0x117C,4,4,0,564,564,4,4,0,export-only
OemI2cDevices,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemI2cDevices.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,4224,,0x310,17,17,0,1973,1913,15,15,0,export-only
OemKbLightDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemKbLightDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,4416,,0x310,19,19,0,2596,2596,13,13,0,export-only
OemKbLightSupportDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemKbLightSupportDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2688,,0x310,16,16,0,1362,1362,15,15,0,export-only
OemManufactureModeDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemManufactureModeDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3264,,0x310,15,15,0,1556,1496,13,13,0,export-only
OemNetworkDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemNetworkDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2400,,0x310,9,9,0,888,828,8,8,0,export-only
OemOcDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemOcDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,7232,,0x3D0,31,31,0,4059,4030,28,28,0,export-only
OemOcPei,TE,"GM7MG7P/GMxMGxxN109A08.ROM, OemOcPei.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2496,0xFFF8223C,0xFFF823B9,15,15,0,1706,1362,11,11,0,export-only
