file_offset,region,runtime,opcode,target,bucket,frame_onto,frame_over,calls_stub,calls_trampoline,own_bank,other_bank
0x00000,common,0x0000,ljmp,0x0070,A,0,0,,,,
0x00003,common,0x0003,ljmp,0x052F,A,1,2,,,,
0x00007,common,0x0007,ljmp,0x1150,A,7,0,,0,,
0x0000B,common,0x000B,ljmp,0x0530,A,11,0,,,,
0x0000E,common,0x000E,ljmp,0x1156,A,13,1,,0,,
0x00013,common,0x0013,ljmp,0x0556,A,19,0,,,,
0x00016,common,0x0016,ljmp,0x115C,A,22,0,,0,,
0x0001B,common,0x001B,ljmp,0x05B6,A,24,0,,,,
0x0001E,common,0x001E,ljmp,0x1162,A,23,1,,0,,
0x00023,common,0x0023,ljmp,0x05E6,A,24,0,,,,
0x00026,common,0x0026,ljmp,0x1168,A,24,0,,0,,
0x0002B,common,0x002B,ljmp,0x05E7,A,24,0,,,,
0x00035,common,0x0035,ljmp,0x116E,A,24,0,,0,,
0x00038,common,0x0038,ljmp,0x1174,A,24,0,,0,,
0x0003B,common,0x003B,ljmp,0x117A,A,23,1,,0,,
0x00049,common,0x0049,lcall,0x5A5A,A,23,1,,,,
0x00060,common,0x0060,ljmp,0x1180,A,23,1,,0,,
0x00063,common,0x0063,ljmp,0x1186,A,23,1,,0,,
0x00066,common,0x0066,ljmp,0x1192,A,23,1,,0,,
0x00069,common,0x0069,ljmp,0x1198,A,23,1,,0,,
0x0006C,common,0x006C,ljmp,0x119E,A,24,0,,0,,
0x00079,common,0x0079,lcall,0x110A,A,24,0,,,,
0x0007C,common,0x007C,lcall,0x158E,A,24,0,,0,,
0x0007F,common,0x007F,lcall,0x0F75,A,23,1,,,,
0x00082,common,0x0082,lcall,0x1594,A,21,3,,0,,
0x00091,common,0x0091,ljmp,0x00CF,A,24,0,,,,
0x00094,common,0x0094,ljmp,0x0200,A,24,0,,,,
0x00095,common,0x0095,ljmp,0x00E4,A,0,24,,,,
0x000C8,common,0x00C8,ljmp,0x0408,A,0,24,,,,
0x00123,common,0x0123,ljmp,0x118C,A,24,0,,0,,
0x00126,common,0x0126,ljmp,0x11A4,A,23,1,,0,,
0x00129,common,0x0129,ljmp,0x11AA,A,24,0,,0,,
0x0012C,common,0x012C,ljmp,0x11B0,A,23,1,,0,,
0x0013F,common,0x013F,ljmp,0x7404,A,0,24,,,,
0x00157,common,0x0157,lcall,0x07F0,A,24,0,,,,
0x0015F,common,0x015F,lcall,0x07B6,A,24,0,,,,
0x00165,common,0x0165,ljmp,0x1207,A,0,24,,,,
0x00166,common,0x0166,lcall,0x07E7,A,23,1,,,,
0x0017B,common,0x017B,lcall,0x07D6,A,22,2,,,,
0x00181,common,0x0181,ljmp,0x9011,C,1,23,,,,
0x00189,common,0x0189,ljmp,0x11B6,A,24,0,,0,,
0x0019C,common,0x019C,ljmp,0x7408,A,0,24,,,,
0x001B4,common,0x01B4,lcall,0x07F0,A,24,0,,,,
0x001BC,common,0x01BC,lcall,0x07B6,A,24,0,,,,
0x001C3,common,0x01C3,lcall,0x07E7,A,23,1,,,,
0x001D2,common,0x01D2,lcall,0x07D0,A,24,0,,,,
0x001E0,common,0x01E0,ljmp,0x11BC,A,24,0,,0,,
0x001E3,common,0x01E3,ljmp,0x11C8,A,23,1,,0,,
0x001E6,common,0x01E6,ljmp,0x11CE,A,24,0,,0,,
0x001E9,common,0x01E9,ljmp,0x11D4,A,24,0,,0,,
0x001EC,common,0x01EC,ljmp,0x11E6,A,24,0,,0,,
0x001FC,common,0x01FC,ljmp,0x11EC,A,24,0,,0,,
0x00200,common,0x0200,lcall,0x05E8,A,24,0,,,,
0x00206,common,0x0206,lcall,0x1048,A,23,1,,,,
0x0021E,common,0x021E,lcall,0x0FE6,A,24,0,,,,
0x00238,common,0x0238,lcall,0x14F8,A,23,1,,0,,
0x0025E,common,0x025E,lcall,0x14FE,A,24,0,,0,,
0x00261,common,0x0261,lcall,0x0E84,A,24,0,,,,
0x00264,common,0x0264,lcall,0x063C,A,24,0,,,,
0x00269,common,0x0269,lcall,0x0F58,A,24,0,,,,
0x0026C,common,0x026C,lcall,0x1504,A,24,0,,0,,
0x0026F,common,0x026F,lcall,0x0609,A,24,0,,,,
0x00272,common,0x0272,lcall,0x150A,A,24,0,,0,,
0x00278,common,0x0278,lcall,0x1510,A,24,0,,1,,
0x0027B,common,0x027B,lcall,0x0C86,A,23,1,,,,
0x0027E,common,0x027E,lcall,0x063C,A,21,3,,,,
0x00285,common,0x0285,lcall,0x3A60,A,24,0,,,,
0x0028B,common,0x028B,lcall,0x3578,A,24,0,,,,
0x002AB,common,0x02AB,ljmp,0x7410,A,0,24,,,,
0x002C3,common,0x02C3,lcall,0x07F0,A,24,0,,,,
0x002D6,common,0x02D6,lcall,0x07C1,A,24,0,,,,
0x002DD,common,0x02DD,lcall,0x07E7,A,24,0,,,,
0x002EC,common,0x02EC,lcall,0x07D0,A,21,3,,,,
0x002FA,common,0x02FA,ljmp,0x11C2,A,23,1,,0,,
0x002FD,common,0x02FD,lcall,0x002E,A,23,1,,,,
0x0030F,common,0x030F,ljmp,0x11DA,A,23,1,,0,,
0x0031C,common,0x031C,ljmp,0xD236,C,0,24,,,,
0x0032A,common,0x032A,ljmp,0xF002,C,0,24,,,,
0x0032C,common,0x032C,ljmp,0x11E0,A,23,1,,0,,
0x0032F,common,0x032F,ljmp,0x11F2,A,24,0,,0,,
0x00332,common,0x0332,ljmp,0x11F8,A,24,0,,0,,
0x00335,common,0x0335,ljmp,0x11FE,A,24,0,,0,,
0x00338,common,0x0338,ljmp,0x1204,A,24,0,,0,,
0x00339,common,0x0339,lcall,0x0402,A,0,24,,,,
0x0033B,common,0x033B,ljmp,0x120A,A,23,1,,0,,
0x0033C,common,0x033C,lcall,0x0A02,A,1,23,,,,
0x0033E,common,0x033E,ljmp,0x1210,A,22,2,,0,,
0x0033F,common,0x033F,lcall,0x1002,A,2,22,,,,
0x00341,common,0x0341,ljmp,0x1216,A,20,4,,0,,
0x00342,common,0x0342,lcall,0x1602,A,3,21,,,,
0x00344,common,0x0344,ljmp,0x121C,A,20,4,,0,,
0x00345,common,0x0345,lcall,0x1C02,A,4,20,,,,
0x00347,common,0x0347,ljmp,0x1222,A,19,5,,0,,
0x00348,common,0x0348,lcall,0x2202,A,5,19,,,,
0x0034A,common,0x034A,ljmp,0x1228,A,18,6,,0,,
0x0034B,common,0x034B,lcall,0x2802,A,6,18,,,,
0x0034D,common,0x034D,ljmp,0x122E,A,17,7,,0,,
0x0034E,common,0x034E,lcall,0x2E02,A,7,17,,,,
0x00350,common,0x0350,ljmp,0x1234,A,16,8,,0,,
0x00351,common,0x0351,lcall,0x3402,A,8,16,,,,
0x00353,common,0x0353,ljmp,0x123A,A,15,9,,0,,
0x00354,common,0x0354,lcall,0x3A02,A,9,15,,,,
0x00356,common,0x0356,ljmp,0x1240,A,15,9,,0,,
0x00357,common,0x0357,lcall,0x4002,A,9,15,,,,
0x00359,common,0x0359,ljmp,0x1246,A,14,10,,0,,
0x0035A,common,0x035A,lcall,0x4602,A,10,14,,,,
0x0035C,common,0x035C,ljmp,0x124C,A,14,10,,0,,
0x0035D,common,0x035D,lcall,0x4C02,A,10,14,,,,
0x0035F,common,0x035F,ljmp,0x1252,A,14,10,,0,,
0x00360,common,0x0360,lcall,0x5202,A,10,14,,,,
0x00362,common,0x0362,ljmp,0x1258,A,13,11,,0,,
0x00363,common,0x0363,lcall,0x5802,A,11,13,,,,
0x00365,common,0x0365,ljmp,0x125E,A,13,11,,0,,
0x00366,common,0x0366,lcall,0x5E02,A,11,13,,,,
0x00368,common,0x0368,ljmp,0x1264,A,13,11,,0,,
0x00369,common,0x0369,lcall,0x6402,A,11,13,,,,
0x0036B,common,0x036B,ljmp,0x126A,A,13,11,,0,,
0x0036C,common,0x036C,lcall,0x6A02,A,11,13,,,,
0x0036E,common,0x036E,ljmp,0x1270,A,13,11,,0,,
0x0036F,common,0x036F,lcall,0x7002,A,11,13,,,,
0x00371,common,0x0371,ljmp,0x1276,A,13,11,,0,,
0x00372,common,0x0372,lcall,0x7602,A,11,13,,,,
0x00374,common,0x0374,ljmp,0x127C,A,12,12,,0,,
