file_offset,region,runtime,opcode,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x00008,common,0x0008,acall,0x0050,0x00050,yes,other,0,8,,
0x0000F,common,0x000F,acall,0x0056,0x00056,yes,other,0,15,,
0x00017,common,0x0017,acall,0x005C,0x0005C,yes,entry,0,23,,
0x0001F,common,0x001F,acall,0x0062,0x00062,yes,entry,0,24,,
0x00027,common,0x0027,acall,0x0068,0x00068,yes,other,0,24,,
0x00036,common,0x0036,acall,0x006E,0x0006E,yes,other,0,24,,
0x00039,common,0x0039,acall,0x0074,0x00074,yes,other,0,24,,
0x0003C,common,0x003C,acall,0x007A,0x0007A,yes,other,1,23,,
0x00058,common,0x0058,acall,0x0134,0x00134,yes,other,24,0,,
0x00061,common,0x0061,acall,0x0080,0x00080,yes,other,1,23,,
0x00064,common,0x0064,acall,0x0086,0x00086,yes,other,1,23,,
0x00067,common,0x0067,acall,0x0092,0x00092,yes,other,1,23,,
0x0006A,common,0x006A,acall,0x0098,0x00098,yes,other,1,23,,
0x0006D,common,0x006D,acall,0x009E,0x0009E,yes,other,0,24,,
0x00071,common,0x0071,ajmp,0x04C0,0x004C0,yes,other,0,24,,
0x00075,common,0x0075,ajmp,0x0074,0x00074,yes,other,0,24,,
0x0007A,common,0x007A,acall,0x000A,0x0000A,yes,other,0,24,,
0x000A2,common,0x00A2,ajmp,0x00F2,0x000F2,yes,other,0,24,,
0x000C0,common,0x00C0,ajmp,0x0046,0x00046,yes,other,0,24,,
0x000C7,common,0x00C7,ajmp,0x0002,0x00002,yes,other,24,0,,
0x000D4,common,0x00D4,ajmp,0x0093,0x00093,yes,other,0,24,,
0x000E6,common,0x00E6,ajmp,0x000E,0x0000E,yes,entry,0,24,,
0x00115,common,0x0115,acall,0x0005,0x00005,yes,other,0,24,,
0x0011C,common,0x011C,acall,0x0001,0x00001,yes,other,0,24,,
0x0011D,common,0x011D,ajmp,0x0074,0x00074,yes,other,0,24,,
0x00124,common,0x0124,acall,0x008C,0x0008C,yes,other,0,24,,
0x00127,common,0x0127,acall,0x00A4,0x000A4,yes,other,1,23,,
0x0012A,common,0x012A,acall,0x00AA,0x000AA,yes,other,0,24,,
0x0012D,common,0x012D,acall,0x00B0,0x000B0,yes,other,1,23,,
