file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x00002,common,0x0002,jnz,2,0x02,0x0006,0x00006,yes,other,1,1,,
0x00009,common,0x0009,jnc,2,0x22,0x002D,0x0002D,yes,other,0,9,,
0x0000D,common,0x000D,jnb,3,0x11,0x0021,0x00021,yes,other,0,13,,
0x0001D,common,0x001D,cjne,3,0x11,0x0031,0x00031,yes,other,0,24,,
0x00032,common,0x0032,sjmp,2,0xF6,0x002A,0x0002A,yes,other,0,24,,
0x00053,common,0x0053,jb,3,0x43,0x0099,0x00099,yes,other,23,1,,
0x0005C,common,0x005C,jb,3,0x20,0x007F,0x0007F,yes,entry,24,0,,
0x0005D,common,0x005D,jb,3,0x00,0x0060,0x00060,yes,entry,0,24,,
0x0005E,common,0x005E,jb,3,0x02,0x0063,0x00063,yes,entry,0,24,,
0x00062,common,0x0062,sjmp,2,0x02,0x0066,0x00066,yes,entry,0,24,,
0x00074,common,0x0074,jbc,3,0x74,0x00EB,0x000EB,yes,other,1,23,,
0x00088,common,0x0088,jb,3,0xE0,0x006B,0x0006B,yes,other,0,24,,
0x0009E,common,0x009E,jc,2,0x03,0x00A3,0x000A3,yes,other,24,0,,
0x000A1,common,0x00A1,sjmp,2,0x01,0x00A4,0x000A4,yes,other,24,0,,
0x000A5,common,0x00A5,djnz,2,0xF4,0x009B,0x0009B,yes,entry,24,0,,
0x000A7,common,0x00A7,sjmp,2,0x29,0x00D2,0x000D2,yes,entry,24,0,,
0x000B8,common,0x00B8,jb,3,0x83,0x003E,0x0003E,yes,other,0,24,,
0x000BB,common,0x00BB,jc,2,0x04,0x00C1,0x000C1,yes,other,24,0,,
0x000BF,common,0x00BF,sjmp,2,0x01,0x00C2,0x000C2,yes,other,24,0,,
0x000C3,common,0x00C3,djnz,2,0xE4,0x00A9,0x000A9,yes,entry,24,0,,
0x000C5,common,0x00C5,sjmp,2,0x0B,0x00D2,0x000D2,yes,entry,24,0,,
0x000CB,common,0x00CB,jbc,3,0x40,0x010E,0x0010E,yes,other,24,0,,
0x000CC,common,0x00CC,jb,3,0x80,0x004F,0x0004F,yes,other,0,24,,
0x000CD,common,0x00CD,jc,2,0x80,0x004F,0x0004F,yes,other,0,24,,
0x000CE,common,0x00CE,sjmp,2,0x90,0x0060,0x00060,yes,entry,22,2,,
0x000D6,common,0x00D6,jz,2,0xBC,0x0094,0x00094,yes,entry,24,0,,
0x000D7,common,0x00D7,cjne,3,0xFF,0x00D9,0x000D9,yes,other,0,24,,
0x000DC,common,0x00DC,jnb,3,0x09,0x00E8,0x000E8,yes,other,24,0,,
0x000E5,common,0x00E5,jz,2,0x01,0x00E8,0x000E8,yes,other,24,0,,
0x000ED,common,0x00ED,jz,2,0xA8,0x0097,0x00097,yes,entry,24,0,,
0x000EF,common,0x00EF,jc,2,0xB8,0x00A9,0x000A9,yes,entry,23,1,,
0x000F0,common,0x00F0,cjne,3,0x93,0x0086,0x00086,yes,other,1,23,,
0x0010E,common,0x010E,djnz,2,0xE9,0x00F9,0x000F9,yes,entry,24,0,,
0x00110,common,0x0110,djnz,2,0xE7,0x00F9,0x000F9,yes,entry,24,0,,
0x00112,common,0x0112,sjmp,2,0xBE,0x00D2,0x000D2,yes,entry,24,0,,
0x00113,common,0x0113,cjne,3,0x11,0x0127,0x00127,yes,other,0,24,,
0x00133,common,0x0133,jnb,3,0x3C,0x0172,0x00172,yes,entry,24,0,,
0x00143,common,0x0143,jnb,3,0x19,0x015F,0x0015F,yes,entry,24,0,,
0x00144,common,0x0144,jz,2,0x19,0x015F,0x0015F,yes,entry,0,24,,
0x0014F,common,0x014F,jb,3,0x10,0x0162,0x00162,yes,entry,24,0,,
0x00151,common,0x0151,jbc,3,0x90,0x00E4,0x000E4,yes,other,1,23,,
0x00154,common,0x0154,jb,3,0xF0,0x0147,0x00147,yes,entry,2,22,,
0x0015A,common,0x015A,cjne,3,0xEE,0x014B,0x0014B,yes,entry,24,0,,
0x0015D,common,0x015D,sjmp,2,0x03,0x0162,0x00162,yes,entry,24,0,,
0x00161,common,0x0161,cjne,3,0x84,0x00E8,0x000E8,yes,other,1,23,,
0x00170,common,0x0170,sjmp,2,0x17,0x0189,0x00189,yes,entry,24,0,,
0x0018B,common,0x018B,cjne,3,0x17,0x01A5,0x001A5,yes,other,0,24,,
0x00190,common,0x0190,jnb,3,0x3C,0x01CF,0x001CF,yes,entry,24,0,,
0x001A0,common,0x01A0,jnb,3,0x19,0x01BC,0x001BC,yes,entry,24,0,,
0x001A1,common,0x01A1,jz,2,0x19,0x01BC,0x001BC,yes,entry,0,24,,
0x001AC,common,0x01AC,jb,3,0x10,0x01BF,0x001BF,yes,entry,24,0,,
0x001AE,common,0x01AE,jbc,3,0x90,0x0141,0x00141,yes,other,1,23,,
0x001B1,common,0x01B1,jb,3,0xF0,0x01A4,0x001A4,yes,entry,2,22,,
0x001B7,common,0x01B7,cjne,3,0xEE,0x01A8,0x001A8,yes,entry,24,0,,
0x001BA,common,0x01BA,sjmp,2,0x03,0x01BF,0x001BF,yes,entry,24,0,,
0x001BE,common,0x01BE,cjne,3,0x84,0x0145,0x00145,yes,other,1,23,,
0x001CD,common,0x01CD,sjmp,2,0x11,0x01E0,0x001E0,yes,entry,24,0,,
0x001E2,common,0x01E2,cjne,3,0x11,0x01F6,0x001F6,yes,entry,0,24,,
0x00207,common,0x0207,jbc,3,0x90,0x019A,0x0019A,yes,entry,1,23,,
0x0020A,common,0x020A,jbc,3,0x74,0x0281,0x00281,yes,other,2,22,,
0x00214,common,0x0214,sjmp,2,0xF0,0x0206,0x00206,yes,entry,0,24,,
0x00223,common,0x0223,jbc,3,0xF0,0x0216,0x00216,yes,entry,0,24,,
0x00227,common,0x0227,jbc,3,0xF0,0x021A,0x0021A,yes,other,0,24,,
0x0022B,common,0x022B,jbc,3,0xF0,0x021E,0x0021E,yes,entry,0,24,,
0x0022F,common,0x022F,jbc,3,0xF0,0x0222,0x00222,yes,entry,0,24,,
0x00233,common,0x0233,jbc,3,0xE0,0x0216,0x00216,yes,entry,0,24,,
0x0023E,common,0x023E,jnz,2,0x29,0x0269,0x00269,yes,entry,24,0,,
0x00241,common,0x0241,jbc,3,0xE0,0x0224,0x00224,yes,other,0,24,,
0x00267,common,0x0267,sjmp,2,0x09,0x0272,0x00272,yes,entry,24,0,,
0x00275,common,0x0275,cjne,3,0xFA,0x0272,0x00272,yes,entry,24,0,,
0x0027A,common,0x027A,jbc,3,0x0C,0x0289,0x00289,yes,other,0,24,,
0x00287,common,0x0287,jz,2,0xEF,0x0278,0x00278,yes,entry,1,23,,
0x00289,common,0x0289,jnz,2,0x03,0x028E,0x0028E,yes,entry,24,0,,
0x00290,common,0x0290,jnz,2,0xE0,0x0272,0x00272,yes,entry,24,0,,
0x00294,common,0x0294,jnz,2,0xDC,0x0272,0x00272,yes,entry,24,0,,
0x00295,common,0x0295,djnz,2,0x75,0x030C,0x0030C,yes,other,0,24,,
0x00299,common,0x0299,sjmp,2,0xD7,0x0272,0x00272,yes,entry,23,1,,
0x0029F,common,0x029F,jnb,3,0x47,0x02E9,0x002E9,yes,entry,24,0,,
0x002AD,common,0x02AD,jbc,3,0x30,0x02E0,0x002E0,yes,entry,0,24,,
0x002AF,common,0x02AF,jnb,3,0x19,0x02CB,0x002CB,yes,entry,23,1,,
0x002B0,common,0x02B0,jz,2,0x19,0x02CB,0x002CB,yes,entry,1,23,,
0x002BB,common,0x02BB,jb,3,0x18,0x02D6,0x002D6,yes,entry,24,0,,
0x002C0,common,0x02C0,jb,3,0xF0,0x02B3,0x002B3,yes,entry,0,24,,
0x002C6,common,0x02C6,cjne,3,0xEE,0x02B7,0x002B7,yes,entry,24,0,,
0x002C9,common,0x02C9,sjmp,2,0x0B,0x02D6,0x002D6,yes,entry,24,0,,
0x002CD,common,0x02CD,jb,3,0xF0,0x02C0,0x002C0,yes,entry,0,24,,
0x002E7,common,0x02E7,sjmp,2,0x11,0x02FA,0x002FA,yes,entry,24,0,,
0x002F8,common,0x02F8,jbc,3,0x02,0x02FD,0x002FD,yes,entry,0,24,,
0x0030E,common,0x030E,jnb,3,0x11,0x0322,0x00322,yes,other,0,24,,
0x00311,common,0x0311,djnz,2,0x90,0x02A3,0x002A3,yes,other,1,23,,
0x00314,common,0x0314,jbc,3,0x30,0x0347,0x00347,yes,entry,0,24,,
0x00316,common,0x0316,jnb,3,0x04,0x031D,0x0031D,yes,other,23,1,,
0x0031B,common,0x031B,sjmp,2,0x02,0x031F,0x0031F,yes,entry,24,0,,
0x00340,common,0x0340,jbc,3,0x12,0x0355,0x00355,yes,other,0,24,,
0x00358,common,0x0358,jc,2,0x02,0x035C,0x0035C,yes,entry,0,24,,
0x00370,common,0x0370,jnz,2,0x02,0x0374,0x00374,yes,entry,0,24,,
0x00394,common,0x0394,cjne,3,0x12,0x03A9,0x003A9,yes,other,0,24,,
0x00397,common,0x0397,cjne,3,0x12,0x03AC,0x003AC,yes,other,1,23,,
0x003A6,common,0x03A6,djnz,2,0x02,0x03AA,0x003AA,yes,entry,0,24,,
0x003D0,common,0x03D0,jnb,3,0x13,0x03E6,0x003E6,yes,entry,1,23,,
0x003E8,common,0x03E8,jz,2,0x02,0x03EC,0x003EC,yes,entry,1,23,,
0x00412,common,0x0412,cjne,3,0x13,0x0428,0x00428,yes,entry,7,17,,
0x00415,common,0x0415,cjne,3,0x13,0x042B,0x0042B,yes,entry,9,15,,
0x00424,common,0x0424,djnz,2,0x02,0x0428,0x00428,yes,entry,3,21,,
0x00427,common,0x0427,djnz,2,0x02,0x042B,0x0042B,yes,entry,5,19,,
0x00448,common,0x0448,jb,3,0x14,0x045F,0x0045F,yes,other,1,23,,
0x00460,common,0x0460,jnc,2,0x02,0x0464,0x00464,yes,entry,1,23,,
0x00478,common,0x0478,sjmp,2,0x02,0x047C,0x0047C,yes,entry,5,19,,
0x00493,common,0x0493,cjne,3,0x14,0x04AA,0x004AA,yes,other,5,19,,
0x00496,common,0x0496,cjne,3,0x11,0x04AA,0x004AA,yes,other,7,17,,
0x0049C,common,0x049C,djnz,2,0xF0,0x048E,0x0048E,yes,entry,0,24,,
0x004A2,common,0x04A2,jb,3,0x22,0x04C7,0x004C7,yes,other,0,24,,
0x004A9,common,0x04A9,jc,2,0xF0,0x049B,0x0049B,yes,other,0,24,,
