scope,addr,name,annotated,also_in,inbound,lcall,ljmp,ajmp,acall,callers,named_callers,cited_by,citing
bank0,DFA0,FUN_CODE_dfa0,no,,2,2,0,0,0,2,2,3,bank0:DFDF bank0:E010 bank0:E014
common,07B6,FUN_CODE_07b6,no,bank1,2,2,0,0,0,2,2,3,common:012F common:018C common:029B
bank1,D16F,FUN_CODE_d16f,no,,1,1,0,0,0,1,1,3,bank1:D0C4 bank1:D17E bank1:D1B8
bank1,E5D6,FUN_CODE_e5d6,no,,1,1,0,0,0,1,1,3,bank1:E57E bank1:E582 bank1:E5A7
common,07E7,FUN_CODE_07e7,no,bank1,3,3,0,0,0,3,3,2,common:012F common:018C
bank0,9A0D,FUN_CODE_9a0d,no,,2,0,2,0,0,2,2,2,bank0:94D0 bank0:9917
bank1,AF32,FUN_CODE_af32,no,,2,2,0,0,0,2,2,2,bank1:AF06 bank1:B841
bank1,BBA4,FUN_CODE_bba4,no,,2,0,2,0,0,2,2,2,bank1:B98D bank1:BABF
bank1,CC2D,FUN_CODE_cc2d,no,,2,2,0,0,0,2,2,2,bank1:C8E3 bank1:D219
bank1,DEC4,FUN_CODE_dec4,no,,2,2,0,0,0,2,1,2,bank1:9A41 bank1:9A78
common,07D0,FUN_CODE_07d0,no,bank1,2,2,0,0,0,2,2,2,common:018C common:029B
common,0E72,FUN_CODE_0e72,no,bank1,2,2,0,0,0,2,1,2,common:001B common:05B6
pd,06EA,FUN_CODE_06ea,no,,2,2,0,0,0,2,2,2,pd:88BE pd:D83D
bank0,F0A1,FUN_CODE_f0a1,no,,1,1,0,0,0,1,1,2,bank0:EF17 bank1:EFDA
bank0,F1E9,FUN_CODE_f1e9,no,,1,0,1,0,0,1,1,2,bank0:F239 bank0:F495
bank1,8F6B,FUN_CODE_8f6b,no,,1,1,0,0,0,1,1,2,bank1:9008 bank1:AB7F
bank1,A8DF,FUN_CODE_a8df,no,,1,0,1,0,0,1,1,2,bank1:A841 bank1:A8E9
bank1,A8E4,FUN_CODE_a8e4,no,,1,0,1,0,0,1,1,2,bank1:A841 bank1:A8E9
bank1,CA16,FUN_CODE_ca16,no,,1,0,1,0,0,1,1,2,bank1:C9BE bank1:CA3E
bank1,D235,FUN_CODE_d235,no,,1,1,0,0,0,1,1,2,bank1:C8F6 bank1:D236
common,0E5E,FUN_CODE_0e5e,no,bank1,1,1,0,0,0,1,1,2,common:000B common:0530
common,0E7D,FUN_CODE_0e7d,no,bank1,1,1,0,0,0,1,1,2,common:001B common:05B6
common,1510,FUN_CODE_1510,no,bank1,3,3,0,0,0,3,1,1,bank0:EBD5
common,1E1A,FUN_CODE_1e1a,no,bank1,3,2,1,0,0,2,1,1,bank0:AA90
common,4AC4,FUN_CODE_4ac4,no,bank1,3,3,0,0,0,2,1,1,bank1:4874
bank0,C26E,FUN_CODE_c26e,no,,2,2,0,0,0,2,1,1,bank0:C278
bank0,D673,FUN_CODE_d673,no,,2,0,0,0,2,1,1,1,bank0:D091
common,2A84,FUN_CODE_2a84,no,bank1,2,2,0,0,0,1,1,1,common:2990
common,2CB3,FUN_CODE_2cb3,no,bank1,2,0,2,0,0,2,1,1,bank1:2C70
common,4AB8,FUN_CODE_4ab8,no,bank1,2,2,0,0,0,2,1,1,bank0:445E
common,4AE0,FUN_CODE_4ae0,no,bank1,2,2,0,0,0,2,2,1,bank1:4874
common,4B0F,FUN_CODE_4b0f,no,bank1,2,2,0,0,0,2,1,1,bank0:445E
common,711C,FUN_CODE_711c,no,bank1,2,2,0,0,0,2,1,1,bank0:E896
common,713C,FUN_CODE_713c,no,bank1,2,2,0,0,0,2,1,1,bank0:E896
common,71B9,FUN_CODE_71b9,no,bank1,2,2,0,0,0,1,1,1,bank0:724B
pd,7CE0,FUN_CODE_7ce0,no,,2,2,0,0,0,2,2,1,pd:1820
pd,A0E6,FUN_CODE_a0e6,no,,2,2,0,0,0,1,1,1,pd:7580
pd,E6C0,FUN_CODE_e6c0,no,,2,2,0,0,0,1,1,1,pd:7580
pd,F775,FUN_CODE_f775,no,,2,1,1,0,0,2,2,1,pd:BBE7
bank0,9277,FUN_CODE_9277,no,,1,1,0,0,0,1,1,1,bank0:924C
bank0,A426,FUN_CODE_a426,no,,1,0,1,0,0,1,1,1,bank0:A678
bank0,C49F,FUN_CODE_c49f,no,,1,1,0,0,0,1,1,1,bank0:90FE
bank0,C4C9,FUN_CODE_c4c9,no,,1,1,0,0,0,1,1,1,bank0:CC64
bank0,C4D1,FUN_CODE_c4d1,no,,1,1,0,0,0,1,1,1,bank0:CCFC
bank0,D5DB,FUN_CODE_d5db,no,,1,0,1,0,0,1,0,1,bank0:D5D4
bank0,E033,FUN_CODE_e033,no,,1,1,0,0,0,1,1,1,bank0:DF78
bank0,E6F4,FUN_CODE_e6f4,no,,1,0,1,0,0,1,0,1,bank0:E6B1
bank1,17FE,FUN_CODE_17fe,no,,1,1,0,0,0,1,1,1,bank1:9199
bank1,9FF0,FUN_CODE_9ff0,no,,1,1,0,0,0,1,1,1,bank1:9FC1
bank1,A24E,FUN_CODE_a24e,no,,1,1,0,0,0,1,1,1,bank1:AB64
bank1,A8C5,FUN_CODE_a8c5,no,,1,0,1,0,0,1,1,1,bank1:A841
bank1,B33B,FUN_CODE_b33b,no,,1,0,1,0,0,1,1,1,bank1:AD85
bank1,B43B,FUN_CODE_b43b,no,,1,0,1,0,0,1,0,1,bank1:B415
bank1,B784,FUN_CODE_b784,no,,1,1,0,0,0,1,1,1,bank1:B728
bank1,B88C,FUN_CODE_b88c,no,,1,1,0,0,0,1,1,1,bank1:B841
bank1,BCB3,FUN_CODE_bcb3,no,,1,0,1,0,0,1,1,1,bank1:BA43
bank1,BE10,FUN_CODE_be10,no,,1,0,1,0,0,1,1,1,bank1:BA43
bank1,BFBB,FUN_CODE_bfbb,no,,1,1,0,0,0,1,1,1,bank1:ABEE
bank1,C392,FUN_CODE_c392,no,,1,1,0,0,0,1,1,1,bank1:C352
bank1,CBAB,FUN_CODE_cbab,no,,1,0,1,0,0,1,1,1,bank1:C8F6
bank1,D4D3,FUN_CODE_d4d3,no,,1,1,0,0,0,1,1,1,bank1:AB75
bank1,D524,FUN_CODE_d524,no,,1,1,0,0,0,1,1,1,bank1:ABA8
bank1,D5B4,FUN_CODE_d5b4,no,,1,1,0,0,0,1,1,1,bank1:C8EA
bank1,D5E1,FUN_CODE_d5e1,no,,1,1,0,0,0,1,1,1,bank1:AC0D
bank1,D8F9,FUN_CODE_d8f9,no,,1,1,0,0,0,1,1,1,bank1:C700
bank1,D946,FUN_CODE_d946,no,,1,1,0,0,0,1,1,1,bank1:AB9B
bank1,DB0B,FUN_CODE_db0b,no,,1,0,1,0,0,1,1,1,bank1:AC84
bank1,DE3C,FUN_CODE_de3c,no,,1,0,1,0,0,1,1,1,bank1:AC36
bank1,E100,FUN_CODE_e100,no,,1,0,1,0,0,1,1,1,bank1:AC11
bank1,E322,FUN_CODE_e322,no,,1,0,1,0,0,1,1,1,bank1:703F
bank1,E9CE,FUN_CODE_e9ce,no,,1,0,0,0,1,1,1,1,bank1:E954
bank1,F040,FUN_CODE_f040,no,,1,0,1,0,0,1,1,1,bank1:F012
bank1,F1F8,FUN_CODE_f1f8,no,,1,1,0,0,0,1,1,1,bank1:F198
common,05E7,FUN_CODE_05e7,no,bank1,1,0,1,0,0,1,1,1,common:002B
common,07D6,FUN_CODE_07d6,no,bank1,1,1,0,0,0,1,1,1,common:012F
common,1048,FUN_CODE_1048,no,bank1,1,1,0,0,0,1,1,1,common:0200
common,11B6,FUN_CODE_11b6,no,bank1,1,0,1,0,0,1,1,1,common:012F
common,11BC,FUN_CODE_11bc,no,bank1,1,0,1,0,0,1,1,1,common:018C
common,14C8,FUN_CODE_14c8,no,bank1,1,1,0,0,0,1,1,1,common:0556
common,30DF,FUN_CODE_30df,no,bank1,1,1,0,0,0,1,1,1,common:2DE3
common,451A,FUN_CODE_451a,no,bank1,1,0,1,0,0,1,1,1,bank0:445E
common,4AEF,FUN_CODE_4aef,no,bank1,1,1,0,0,0,1,1,1,bank0:445E
common,4C5D,FUN_CODE_4c5d,no,bank1,1,1,0,0,0,1,1,1,bank0:5349
common,4D96,FUN_CODE_4d96,no,bank1,1,1,0,0,0,1,1,1,bank0:537F
common,4E2C,FUN_CODE_4e2c,no,bank1,1,1,0,0,0,1,1,1,bank0:549B
common,4ECD,FUN_CODE_4ecd,no,bank1,1,1,0,0,0,1,1,1,bank0:54C2
common,4F3E,FUN_CODE_4f3e,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,4FED,FUN_CODE_4fed,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,50DE,FUN_CODE_50de,no,bank1,1,1,0,0,0,1,1,1,bank0:53AF
common,51C8,FUN_CODE_51c8,no,bank1,1,1,0,0,0,1,1,1,bank0:541D
common,7281,FUN_CODE_7281,no,bank1,1,1,0,0,0,1,1,1,bank0:724B
pd,0DC9,FUN_CODE_0dc9,no,,1,1,0,0,0,1,1,1,pd:DFB2
pd,3883,FUN_CODE_3883,no,,1,1,0,0,0,1,1,1,pd:CCB7
pd,7B14,FUN_CODE_7b14,no,,1,0,1,0,0,1,1,1,pd:F786
pd,987F,FUN_CODE_987f,no,,1,1,0,0,0,1,1,1,pd:C0EF
pd,A000,FUN_CODE_a000,no,,1,0,0,0,1,1,1,1,pd:A339
pd,B73F,FUN_CODE_b73f,no,,1,1,0,0,0,1,1,1,pd:C755
pd,B8DB,FUN_CODE_b8db,no,,1,1,0,0,0,1,1,1,pd:ABBF
pd,B9A1,FUN_CODE_b9a1,no,,1,1,0,0,0,1,1,1,pd:C755
pd,CBB0,FUN_CODE_cbb0,no,,1,1,0,0,0,1,1,1,pd:EF79
pd,D435,FUN_CODE_d435,no,,1,0,1,0,0,1,1,1,pd:E458
pd,D72E,FUN_CODE_d72e,no,,1,1,0,0,0,1,1,1,pd:C2FA
pd,E757,FUN_CODE_e757,no,,1,1,0,0,0,1,1,1,pd:A339
pd,E8D4,FUN_CODE_e8d4,no,,1,1,0,0,0,1,1,1,pd:DF6A
pd,E902,FUN_CODE_e902,no,,1,1,0,0,0,1,1,1,pd:DA44
pd,EE8B,FUN_CODE_ee8b,no,,1,1,0,0,0,1,1,1,pd:C2FA
common,1100,bl51_bank_select_0,yes,bank1,264,0,264,0,0,264,68,0,
bank1,8886,read_xdata_pair_to_r1r2,yes,,98,98,0,0,0,58,41,0,
bank1,888C,write_r1r2_to_xdata_pair,yes,,86,86,0,0,0,36,22,0,
bank1,8892,read_xdata_pair_to_r3r4,yes,,59,59,0,0,0,43,35,0,
bank1,8863,cmp_r3r4_against_r1r2_16bit,yes,,58,58,0,0,0,34,25,0,
bank1,889E,write_r3r4_to_xdata_pair,yes,,57,57,0,0,0,20,17,0,
pd,0FAF,read4xdata_to_r4_r7,yes,,55,50,5,0,0,38,34,0,
pd,9028,make_dptr_r6_minus_3_9028,yes,,50,50,0,0,0,10,7,0,
pd,104D,write4_inline_args,yes,,44,44,0,0,0,18,15,0,
bank0,4777,stage_0a54_0a55_then_dispatch,yes,,36,36,0,0,0,27,23,0,
common,2990,advance_bfe_counter_publish_at_bfd,yes,bank1,34,32,2,0,0,5,1,0,
pd,1041,write4xdata_from_r4_r7,yes,,33,31,2,0,0,24,20,0,
bank1,885B,sub_r1r2_from_r3r4,yes,,32,32,0,0,0,24,18,0,
pd,10BC,add_full_product_to_dptr,yes,,29,14,15,0,0,29,29,0,
pd,349B,dph_plus_double_a_349b,yes,,27,27,0,0,0,7,5,0,
bank1,88F0,push_r5_into_070f_ring_when_gates_pass,yes,,25,25,0,0,0,22,21,0,
bank1,198A,trampoline_to_c1e7,yes,,22,22,0,0,0,20,14,0,
common,1114,bl51_bank_select_1,yes,bank1,21,0,21,0,0,21,20,0,
common,4A69,code_word_to_dptr_4a69,yes,bank1,21,21,0,0,0,6,2,0,
bank1,8898,read_xdata_pair_to_b_and_a,yes,,20,20,0,0,0,19,7,0,
bank1,A5E6,mul_16_round_shift_subtract,yes,,20,20,0,0,0,13,9,0,
pd,122F,add_dptr_to_word_0d0e_ea_guard,yes,,20,13,7,0,0,19,18,0,
bank0,B9D8,read_06e6_xor_01,yes,,19,19,0,0,0,17,11,0,
bank1,19A8,trampoline_to_c118,yes,,19,19,0,0,0,19,16,0,
pd,10E8,store_3byte_r3r2r1,yes,,19,17,2,0,0,19,17,0,
bank1,1984,trampoline_to_c10c,yes,,18,18,0,0,0,17,14,0,
common,3FA4,store_r7_to_iram_31,yes,bank1,18,3,15,0,0,18,5,0,
pd,F739,call_returns_with_dptr_loaded,yes,,18,18,0,0,0,10,9,0,
bank0,BA36,read_low_nibble_074c,yes,,17,17,0,0,0,7,4,0,
bank0,445E,stage_and_commit_0a56_block,yes,,16,15,1,0,0,14,13,0,
bank0,B93D,load_dptr_be16_from_xdata,yes,,16,16,0,0,0,8,5,0,
common,3F9D,store_r7_to_iram_bb_then_set_68_0,yes,bank1,16,2,14,0,0,16,4,0,
pd,9850,load_dptr_d9ef_tail_jump_10f1,yes,,16,16,0,0,0,5,4,0,
bank1,896A,gate_06e6_0440_then_call_89b5,yes,,15,15,0,0,0,9,9,0,
bank0,94D0,copy_code_table_into_0730_07a7,yes,,14,14,0,0,0,9,7,0,
