rank,scope,addr,inbound,xdata_weight,vector_reachable,in_band_574,in_tranche
1,common,355E,12,0,no,no,yes
2,common,2F1D,9,2,no,no,yes
3,common,0C86,9,1,no,no,yes
4,common,3ACC,9,0,no,no,yes
5,common,3239,8,1,no,no,yes
6,common,30B5,8,0,no,no,yes
7,common,3BAE,8,0,no,no,yes
8,common,220A,7,1,no,no,yes
9,common,43A5,7,0,no,no,yes
10,common,4AFB,7,0,no,no,yes
11,common,0937,6,2,no,no,yes
12,common,2E9C,6,2,no,no,yes
13,common,09A2,6,1,no,no,yes
14,common,3983,6,0,no,no,yes
15,common,3AD1,6,0,no,no,yes
16,common,3B32,6,0,no,no,yes
17,common,2B6C,5,2,no,no,yes
18,common,21DC,5,0,no,no,yes
19,common,221F,4,1,no,no,yes
20,common,0A74,4,0,no,no,yes
21,common,3835,4,0,no,no,yes
22,common,3B20,4,0,no,no,yes
23,common,3BDD,4,0,no,no,yes
24,common,4368,4,0,no,no,yes
25,common,436F,4,0,no,no,yes
26,common,4A42,4,0,no,no,yes
27,common,5A55,4,0,no,no,yes
28,common,23F4,3,2,no,no,no
29,common,30FB,3,2,no,no,no
30,common,09E9,3,1,no,no,no
31,common,0A39,3,1,no,no,no
32,common,1E1A,3,1,no,no,no
33,common,2D7A,3,1,no,no,no
34,common,3042,3,1,no,no,no
35,common,3609,3,1,no,no,no
36,common,3C18,3,1,no,no,no
37,common,3C2F,3,1,no,no,no
38,common,4376,3,1,no,no,no
39,common,4397,3,1,no,no,no
40,common,07E7,3,0,yes,no,yes
41,common,21EB,3,0,no,no,no
42,common,2226,3,0,no,no,no
43,common,29CF,3,0,no,no,no
44,common,2A35,3,0,no,no,no
45,common,2AB9,3,0,no,no,no
46,common,2BCB,3,0,no,no,no
47,common,3B1D,3,0,no,no,no
48,common,3C38,3,0,no,no,no
49,common,3C3F,3,0,no,no,no
50,common,3C46,3,0,no,no,no
51,common,3C4D,3,0,no,no,no
52,common,3C54,3,0,no,no,no
53,common,3C5B,3,0,no,no,no
54,common,4389,3,0,no,no,no
55,common,4A8F,3,0,no,no,no
56,common,4AC4,3,0,no,no,no
57,common,4B44,3,0,no,no,no
58,common,6817,3,0,no,no,no
59,common,1AC2,2,3,no,no,no
60,common,05FA,2,2,no,no,no
61,common,063C,2,2,no,no,no
62,common,1059,2,2,no,no,no
63,common,05F2,2,1,no,no,no
64,common,07D0,2,1,yes,no,yes
65,common,0A5A,2,1,no,no,no
66,common,2211,2,1,no,no,no
67,common,2A5B,2,1,no,no,no
68,common,2A99,2,1,no,no,no
69,common,2D85,2,1,no,no,no
70,common,322C,2,1,no,no,no
71,common,3255,2,1,no,no,no
72,common,3BE4,2,1,no,no,no
73,common,3C00,2,1,no,no,no
74,common,3DA8,2,1,no,no,no
75,common,4390,2,1,no,no,no
76,common,4B0F,2,1,no,no,no
77,common,07B6,2,0,yes,no,yes
78,common,0896,2,0,no,no,no
79,common,0C6D,2,0,no,no,no
80,common,0E72,2,0,yes,no,yes
81,common,0E84,2,0,no,no,no
82,common,1CD1,2,0,no,no,no
83,common,21DF,2,0,no,no,no
84,common,21E2,2,0,no,no,no
85,common,2812,2,0,no,no,no
86,common,2A24,2,0,no,no,no
87,common,2A28,2,0,no,no,no
88,common,2A42,2,0,no,no,no
89,common,2A4F,2,0,no,no,no
90,common,2A54,2,0,no,no,no
91,common,2A7B,2,0,no,no,no
92,common,2A84,2,0,no,no,no
93,common,2A8F,2,0,no,no,no
94,common,2AA2,2,0,no,no,no
95,common,2AC1,2,0,no,no,no
96,common,2CB3,2,0,no,no,no
97,common,36AF,2,0,no,no,no
98,common,3799,2,0,no,no,no
99,common,3B60,2,0,no,no,no
100,common,3B79,2,0,no,no,no
101,common,3B7B,2,0,no,no,no
102,common,3B8A,2,0,no,no,no
103,common,3BBF,2,0,no,no,no
104,common,3BD0,2,0,no,no,no
105,common,3C03,2,0,no,no,no
106,common,3C21,2,0,no,no,no
107,common,434C,2,0,no,no,no
108,common,437E,2,0,no,no,no
109,common,46F9,2,0,no,no,no
110,common,4947,2,0,no,no,no
111,common,4A5A,2,0,no,no,no
112,common,4A5E,2,0,no,no,no
113,common,4A77,2,0,no,no,no
114,common,4A83,2,0,no,no,no
115,common,4AB8,2,0,no,no,no
116,common,4AD1,2,0,no,no,no
117,common,4AD3,2,0,no,no,no
118,common,4ADF,2,0,no,no,no
119,common,4AE0,2,0,no,no,no
120,common,4AEC,2,0,no,no,no
121,common,4B02,2,0,no,no,no
122,common,4B29,2,0,no,no,no
123,common,4B37,2,0,no,no,no
124,common,4B4C,2,0,no,no,no
125,common,6243,2,0,no,no,no
126,common,6F8D,2,0,no,no,no
127,common,7030,2,0,no,no,no
128,common,711C,2,0,no,no,no
129,common,713C,2,0,no,no,no
130,common,71B9,2,0,no,no,no
131,common,0D4A,1,6,no,no,no
132,common,3FA7,1,5,no,no,no
133,common,0A04,1,4,no,no,no
134,common,223F,1,4,no,no,no
135,common,2444,1,4,no,no,no
136,common,0A7F,1,3,no,no,no
137,common,1BF3,1,3,no,no,no
138,common,1CD2,1,3,no,no,no
139,common,1D20,1,3,no,no,no
140,common,271A,1,3,no,no,no
141,common,27AB,1,3,no,no,no
142,common,27E3,1,3,no,no,no
143,common,4060,1,3,no,no,no
144,common,451A,1,3,no,no,no
145,common,0ADC,1,2,no,no,no
146,common,1BA4,1,2,no,no,no
147,common,258B,1,2,no,no,no
148,common,295F,1,2,no,no,no
149,common,2CB4,1,2,no,no,no
150,common,311D,1,2,no,no,no
151,common,57C2,1,2,no,no,no
152,common,07D6,1,1,yes,no,yes
153,common,07F8,1,1,no,no,no
154,common,0806,1,1,no,no,no
155,common,086B,1,1,no,no,no
156,common,0877,1,1,no,no,no
157,common,0902,1,1,no,no,no
