addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D6,0x22E8A,pd-image,0x2E8A,24,0,write x1,"mov a,r7 ; movx @dptr,a ; lcall 0x36b9",flow opcode
0x07D6,0x22EA7,pd-image,0x2EA7,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf71b",flow opcode
0x07D6,0x22EB2,pd-image,0x2EB2,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xe41b",flow opcode
0x07D6,0x22EBA,pd-image,0x2EBA,24,0,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5,flow opcode
0x07D6,0x22EE7,pd-image,0x2EE7,22,2,read x1,"movx a,@dptr ; mov r7,a",DPTR reloaded
0x07D6,0x22F03,pd-image,0x2F03,22,2,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x67",DPTR reloaded
0x07D6,0x22F3A,pd-image,0x2F3A,22,2,read x1,"movx a,@dptr ; mov r7,a ; mov 0xf0,#0x67",DPTR reloaded
0x07D6,0x22F62,pd-image,0x2F62,23,1,read x1,"movx a,@dptr ; mov r5,a ; mov 0xf0,#0x67",DPTR reloaded
0x07D6,0x22F8A,pd-image,0x2F8A,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x5ee0",flow opcode
0x07D6,0x22F98,pd-image,0x2F98,24,0,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5,flow opcode
0x07D6,0x22FBE,pd-image,0x2FBE,24,0,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5,flow opcode
0x07D6,0x22FE1,pd-image,0x2FE1,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x0d ; ljmp 0x3085",flow opcode
0x07D6,0x22FEB,pd-image,0x2FEB,22,2,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5,flow opcode
0x07D6,0x23011,pd-image,0x3011,24,0,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5,flow opcode
0x07D6,0x23034,pd-image,0x3034,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x08 ; ljmp 0x30ce",flow opcode
