addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x07D0,0x23478,pd-image,0x3478,24,0,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x60"
0x07D0,0x234F8,pd-image,0x34F8,18,6,read x1,"movx a,@dptr ; mov r7,a"
0x07D0,0x23521,pd-image,0x3521,20,4,read x1,"mov r2,#0xa8 ; mov r1,#0x2c ; movx a,@dptr ; mov r7,a ; mov r3,#0xff"
0x07D0,0x235A9,pd-image,0x35A9,24,0,read x1,"movx a,@dptr"
0x07D0,0x23645,pd-image,0x3645,14,10,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x17 ; mul ab ; add a,#0x2d ; mov 0x82,a ; clr a"
0x07D0,0x236B6,pd-image,0x36B6,24,0,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x60"
0x07D0,0x2371D,pd-image,0x371D,20,4,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x01 ; mov r2,#0x00 ; ret"
0x07D0,0x23734,pd-image,0x3734,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; ret"
0x07D0,0x2378B,pd-image,0x378B,23,1,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; ret"
0x07D0,0x2379F,pd-image,0x379F,23,1,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; ret"
0x07D0,0x2388A,pd-image,0x388A,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r3,a ; mov r2,a ; mov r5,#0x06 ; ret"
0x07D0,0x23935,pd-image,0x3935,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r2,#0x01 ; ret"
0x07D0,0x23A1C,pd-image,0x3A1C,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; ret"
0x07D0,0x23A3A,pd-image,0x3A3A,24,0,"write x2, walks 3 consecutive bytes (inc dptr)","mov a,r7 ; movx @dptr,a ; clr a ; inc dptr ; movx @dptr,a ; inc dptr ; lcall 0x37af"
0x07D0,0x23A81,pd-image,0x3A81,0,24,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0x2e8a"
0x07D0,0x23AAF,pd-image,0x3AAF,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x02 ; ljmp 0x3dfd"
0x07D0,0x23AD5,pd-image,0x3AD5,23,1,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9
0x07D0,0x23B1C,pd-image,0x3B1C,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xe4d0"
0x07D0,0x23B30,pd-image,0x3B30,18,6,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x23B57,pd-image,0x3B57,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x03 ; ljmp 0x3dfd"
0x07D0,0x23BAD,pd-image,0x3BAD,22,2,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x23BCA,pd-image,0x3BCA,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x23BD4,pd-image,0x3BD4,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xa0e6"
0x07D0,0x23BF4,pd-image,0x3BF4,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x05 ; ljmp 0x3dfd"
0x07D0,0x23BFE,pd-image,0x3BFE,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xb73f"
0x07D0,0x23C16,pd-image,0x3C16,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf56b"
0x07D0,0x23C3D,pd-image,0x3C3D,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0xff ; mov r2,#0xa8 ; mov r1,#0x18 ; lcall 0x352c"
0x07D0,0x23C5D,pd-image,0x3C5D,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x06 ; ljmp 0x3dfd"
0x07D0,0x23C71,pd-image,0x3C71,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x05 ; ljmp 0x3dfd"
0x07D0,0x23C7B,pd-image,0x3C7B,24,0,read x1,"movx a,@dptr ; mov r7,a"
0x07D0,0x23C94,pd-image,0x3C94,24,0,read x1,"movx a,@dptr"
0x07D0,0x23CBD,pd-image,0x3CBD,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x9e86"
0x07D0,0x23CE7,pd-image,0x3CE7,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x07 ; ljmp 0x3dfd"
0x07D0,0x23CF1,pd-image,0x3CF1,24,0,DPTR handed to lcall 0x34fb -- direction unresolved here,lcall 0x34fb
0x07D0,0x23D42,pd-image,0x3D42,22,2,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x68e2"
0x07D0,0x23D52,pd-image,0x3D52,22,2,DPTR handed to lcall 0x34a5 -- direction unresolved here,lcall 0x34a5
0x07D0,0x23D6E,pd-image,0x3D6E,22,2,DPTR handed to lcall 0x365c -- direction unresolved here,lcall 0x365c
0x07D0,0x23D8E,pd-image,0x3D8E,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x351a"
0x07D0,0x23DE1,pd-image,0x3DE1,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf2a3"
0x07D0,0x23DF6,pd-image,0x3DF6,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0xff ; mov r2,#0x01 ; sjmp +0x1d"
0x07D0,0x23E23,pd-image,0x3E23,22,2,read x1,"movx a,@dptr ; mov r6,a ; mov r7,a ; push 0x07 ; lcall 0x353b"
0x07D0,0x23E46,pd-image,0x3E46,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x0c ; mov r2,#0x01 ; clr a ; mov r5,a ; lcall 0xccb7"
0x07D0,0x23E6F,pd-image,0x3E6F,24,0,DPTR handed to lcall 0x3539 -- direction unresolved here,lcall 0x3539
0x07D0,0x23E9B,pd-image,0x3E9B,24,0,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x23EFE,pd-image,0x3EFE,24,0,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9
0x07D0,0x23F17,pd-image,0x3F17,24,0,read x1,"movx a,@dptr ; lcall 0x350b"
0x07D0,0x23F23,pd-image,0x3F23,24,0,read x1,"movx a,@dptr ; mov r7,a"
0x07D0,0x23F38,pd-image,0x3F38,24,0,DPTR handed to lcall 0x34fb -- direction unresolved here,lcall 0x34fb
