site,index,entry_file_offset,entry_runtime,target_runtime,target_file_offset,stride_from_prev,target_first_insn,notes
0x00DD3,0x02,0x00DD6,0x0DD6,0x0DF5,0x00DF5,,sjmp 0x0e01,no xdata named in its window
0x00DD3,0x04,0x00DD9,0x0DD9,0x0DF7,0x00DF7,0x02,sjmp 0x0e04,no xdata named in its window
0x00DD3,0x06,0x00DDC,0x0DDC,0x0DF9,0x00DF9,0x02,sjmp 0x0e07,no xdata named in its window
0x00DD3,0x08,0x00DDF,0x0DDF,0x0DFB,0x00DFB,0x02,ljmp 0x0e52,no xdata named in its window
0x00DD3,0x0A,0x00DE2,0x0DE2,0x0DFE,0x00DFE,0x03,ljmp 0x0e55,no xdata named in its window
0x00DD3,0x0C,0x00DE5,0x0DE5,0x0E01,0x00E01,0x03,ljmp 0x0e49,no xdata named in its window
0x00DD3,0x0E,0x00DE8,0x0DE8,0x0E04,0x00E04,0x03,ljmp 0x0e4c,no xdata named in its window
0x00DD3,0x10,0x00DEB,0x0DEB,0x0DF9,0x00DF9,0x-B,sjmp 0x0e07,no xdata named in its window
0x00DD3,0x12,0x00DEE,0x0DEE,0x0E0A,0x00E0A,0x11,ljmp 0x0e58,no xdata named in its window
0x00DD3,default,0x00DF3,0x0DF3,0x0E0D,0x00E0D,,clr  a,reached when no case matches; no xdata named in its window
0x04064,0xEC,0x04067,0x4067,0x40A2,0x040A2,,sjmp 0x40eb,no xdata named in its window
0x04064,0xED,0x0406A,0x406A,0x4098,0x04098,0x-A,lcall 0x4361,no xdata named in its window
0x04064,0xEE,0x0406D,0x406D,0x40A4,0x040A4,0x0C,"mov  dptr,#0x0a48",xdata 0x0A48
0x04064,0xF0,0x04070,0x4070,0x40AD,0x040AD,0x09,lcall 0x4361,no xdata named in its window
0x04064,0xF2,0x04073,0x4073,0x40B7,0x040B7,0x0A,lcall 0x4361,xdata 0x0A4A
0x04064,0xF3,0x04076,0x4076,0x40CF,0x040CF,0x18,lcall 0x4361,no xdata named in its window
0x04064,0xF4,0x04079,0x4079,0x40D8,0x040D8,0x09,setb 0x23.2,no xdata named in its window
0x04064,0xF5,0x0407C,0x407C,0x40DF,0x040DF,0x07,clr  0x1a,no xdata named in its window
0x04064,0xF6,0x0407F,0x407F,0x40E6,0x040E6,0x07,lcall 0x4198,no xdata named in its window
0x04064,0xF7,0x04082,0x4082,0x40A2,0x040A2,0x-44,sjmp 0x40eb,no xdata named in its window
0x04064,0xF8,0x04085,0x4085,0x40A2,0x040A2,0x00,sjmp 0x40eb,no xdata named in its window
0x04064,0xF9,0x04088,0x4088,0x40A2,0x040A2,0x00,sjmp 0x40eb,no xdata named in its window
0x04064,0xFA,0x0408B,0x408B,0x40A2,0x040A2,0x00,sjmp 0x40eb,no xdata named in its window
0x04064,0xFB,0x0408E,0x408E,0x40A2,0x040A2,0x00,sjmp 0x40eb,no xdata named in its window
0x04064,0xFF,0x04091,0x4091,0x40F0,0x040F0,0x4E,clr  0x1a,no xdata named in its window
0x04064,default,0x04096,0x4096,0x4128,0x04128,,"mov  dptr,#0x0a48",reached when no case matches; xdata 0x0A47 0x0A48 0x0A49 0x0A4A
0x041EE,0x60,0x041F1,0x41F1,0x421F,0x0421F,,ljmp 0x3e61,no xdata named in its window
0x041EE,0x73,0x041F4,0x41F4,0x4222,0x04222,0x03,ljmp 0x3e7e,no xdata named in its window
0x041EE,0x74,0x041F7,0x41F7,0x4225,0x04225,0x03,ljmp 0x3e85,no xdata named in its window
0x041EE,0x76,0x041FA,0x41FA,0x4228,0x04228,0x03,ljmp 0x3e8c,no xdata named in its window
0x041EE,0x77,0x041FD,0x41FD,0x422B,0x0422B,0x03,ljmp 0x3e93,no xdata named in its window
0x041EE,0x90,0x04200,0x4200,0x422E,0x0422E,0x03,ljmp 0x3e9a,no xdata named in its window
0x041EE,0x91,0x04203,0x4203,0x4231,0x04231,0x03,ljmp 0x3ec5,no xdata named in its window
0x041EE,0x92,0x04206,0x4206,0x4234,0x04234,0x03,ljmp 0x3ee2,no xdata named in its window
0x041EE,0x93,0x04209,0x4209,0x4237,0x04237,0x03,ljmp 0x3eff,no xdata named in its window
0x041EE,0xA5,0x0420C,0x420C,0x423A,0x0423A,0x03,ljmp 0x3f1f,no xdata named in its window
0x041EE,0xD1,0x0420F,0x420F,0x423D,0x0423D,0x03,ljmp 0x3f51,no xdata named in its window
