site,region,site_runtime,frame_onto,frame_over,entries,table_file_offset,table_end,table_runtime,first_case,last_case,default_runtime,well_formed
0x00DD3,common,0x0DD3,23,1,9,0x00DD6,0x00DF5,0x0DD6,0x02,0x12,0x0E0D,yes
0x04064,common,0x4064,24,0,15,0x04067,0x04098,0x4067,0xEC,0xFF,0x4128,yes
0x041EE,common,0x41EE,24,0,14,0x041F1,0x0421F,0x41F1,0x60,0xD4,0x4249,yes
0x0424B,common,0x424B,24,0,49,0x0424E,0x042E5,0x424E,0x20,0xFF,0x434B,yes
0x08035,bank0,0x8035,24,0,8,0x08038,0x08054,0x8038,0x00,0x07,0x8274,yes
0x08662,bank0,0x8662,23,1,8,0x08665,0x08681,0x8665,0x00,0x09,0x868B,yes
0x0918A,bank0,0x918A,24,0,10,0x0918D,0x091AF,0x918D,0x00,0x09,0x91FB,yes
0x09284,bank0,0x9284,24,0,7,0x09287,0x092A0,0x9287,0x08,0x38,0x9303,yes
0x0A34A,bank0,0xA34A,24,0,7,0x0A34D,0x0A366,0xA34D,0x00,0x06,0xA425,yes
0x0A682,bank0,0xA682,24,0,7,0x0A685,0x0A69E,0xA685,0x01,0xFE,0xA724,yes
0x0D148,bank0,0xD148,24,0,12,0x0D14B,0x0D173,0xD14B,0x06,0x39,0xD289,yes
0x0D435,bank0,0xD435,24,0,24,0x0D438,0x0D484,0xD438,0x90,0xDD,0xD507,yes
0x0DDBB,bank0,0xDDBB,24,0,16,0x0DDBE,0x0DDF2,0xDDBE,0x80,0xFE,0xDE22,yes
0x0EBDC,bank0,0xEBDC,24,0,8,0x0EBDF,0x0EBFB,0xEBDF,0x00,0x08,0xED47,yes
0x0F254,bank0,0xF254,24,0,7,0x0F257,0x0F270,0xF257,0x00,0x08,0xF42B,yes
