construction_id,access_id,row_kind,methods,anchors,construction_runtime,construction_file,context,matched_bytes,frame_start,frame_onto,frame_over,effective_base,destination,terms,semantics,consumer_runtime,consumer_file,direction,status,stop_reason,stop_runtime,stop_file
anchor:0x1921@body,anchor:0x1921@body/0x34D9@0x1924>0x34D9,anchor-access,direct-handoff,0x21921 0x21924,0x1921,0x21921,,900803,0x21921,24,0,0x0803,DPTR,DPTR ← 0x0803,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x34D9,0x234D9,read,decoded-candidate,unmodelled-handoff,0x34E7,0x234E7
anchor:0x22BE@body,anchor:0x22BE@body/0x22C1@body,anchor-access,direct-handoff,0x222BE 0x222C1 0x222C2,0x22BE,0x222BE,,900803,0x222BE,24,0,0x0803,DPTR,DPTR ← 0x0803,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x22C1,0x222C1,read,decoded-candidate,unsupported-instruction,0x22C6,0x222C6
anchor:0x2432@body,anchor:0x2432@body/0x34D9@0x2435>0x34D9,anchor-access,direct-handoff,0x22431 0x22432 0x22435,0x2432,0x22432,,900803,0x22431,24,0,0x0803,DPTR,DPTR ← 0x0803,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x34D9,0x234D9,read,decoded-candidate,unmodelled-handoff,0x34E7,0x234E7
anchor:0x244E@body,anchor:0x244E@body/0x2451@body,anchor-access,direct-handoff,0x2244E 0x22451 0x22452,0x244E,0x2244E,,900803,0x2244E,24,0,0x0803,DPTR,DPTR ← 0x0803,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x2451,0x22451,read,decoded-candidate,unsupported-instruction,0x2456,0x22456
anchor:0x264A@body,anchor:0x264A@body/0x34D9@0x264D>0x34D9,anchor-access,direct-handoff,0x2264A 0x2264D,0x264A,0x2264A,,900803,0x2264A,24,0,0x0803,DPTR,DPTR ← 0x0803,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x34D9,0x234D9,read,decoded-candidate,unmodelled-handoff,0x34E7,0x234E7
anchor:0x2788@body,anchor:0x2788@body/0x278B@body,anchor-access,template-scan,0x22788 0x2278B 0x2278C 0x2278F 0x22790,0x2788,0x22788,,90080d,0x22788,22,2,0x080D,DPTR,DPTR ← 0x080D,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x278B,0x2278B,read,decoded-candidate,unmodelled-handoff,0x2799,0x22799
anchor:0x29E0@0x2951>0x29E0,anchor:0x29E0@0x2951>0x29E0/0x29E3@0x2951>0x29E0,anchor-access,direct-handoff,0x22951,0x29E0,0x229E0,0x2951>0x29E0,90080d,0x22951,24,0,0x080D,DPTR,DPTR ← 0x080D,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x29E3,0x229E3,read,decoded-candidate,unmodelled-handoff,0x29F0,0x229F0
anchor:0x29E0@body,anchor:0x29E0@body/0x29E3@body,body-evidence,template-scan,0x229E0 0x229E3 0x229E4,0x29E0,0x229E0,,90080d,0x229E0,24,0,0x080D,DPTR,DPTR ← 0x080D,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x29E3,0x229E3,read,decoded-candidate,unmodelled-handoff,0x29F0,0x229F0
anchor:0x2A9B@body,anchor:0x2A9B@body/0x2AA0@body,anchor-access,direct-handoff,0x22A9B 0x22A9E 0x22AA0 0x22AA1 0x22AA4 0x22AA5,0x2A9B,0x22A9B,,9000a1,0x22A9B,23,1,0x00A1,DPTR,DPTR ← 0x00A1,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x2AA0,0x22AA0,write,decoded-candidate,unsupported-instruction,0x2AA8,0x22AA8
anchor:0x2AA1@body,anchor:0x2AA1@body/0x2AA4@body,anchor-access,direct-handoff,0x22A9B 0x22A9E 0x22AA0 0x22AA1 0x22AA4 0x22AA5,0x2AA1,0x22AA1,,90080d,0x22A9B,24,0,0x080D,DPTR,DPTR ← 0x080D,low8(x)=x&0xFF; carry retained; address modulo 0x10000,0x2AA4,0x22AA4,read,decoded-candidate,unsupported-instruction,0x2AA8,0x22AA8
