addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x0400,8,4,4,0,0,4,4
0x0401,1,1,0,0,0,1,0
0x0402,3,3,0,0,0,3,0
0x0403,11,11,0,0,0,11,0
0x0404,14,11,3,0,1,10,3
0x0405,0,0,0,0,0,0,0
0x0406,0,0,0,0,0,0,0
0x0407,0,0,0,0,0,0,0
0x0408,9,2,7,0,0,2,7
0x0409,0,0,0,0,0,0,0
0x040A,3,3,0,0,0,3,0
0x040B,0,0,0,0,0,0,0
0x040C,4,2,2,0,0,2,2
0x040D,0,0,0,0,0,0,0
0x040E,2,2,0,0,0,2,0
0x040F,0,0,0,0,0,0,0
0x0410,6,1,5,0,0,1,5
0x0411,0,0,0,0,0,0,0
0x0412,0,0,0,0,0,0,0
0x0413,0,0,0,0,0,0,0
0x0414,0,0,0,0,0,0,0
0x0415,0,0,0,0,0,0,0
0x0416,0,0,0,0,0,0,0
0x0417,0,0,0,0,0,0,0
0x0418,5,0,5,0,0,0,5
0x0419,0,0,0,0,0,0,0
0x041A,0,0,0,0,0,0,0
0x041B,0,0,0,0,0,0,0
0x041C,3,0,3,0,0,0,3
0x041D,0,0,0,0,0,0,0
0x041E,0,0,0,0,0,0,0
0x041F,0,0,0,0,0,0,0
0x0420,12,1,11,0,0,1,11
0x0421,0,0,0,0,0,0,0
0x0422,0,0,0,0,0,0,0
0x0423,0,0,0,0,0,0,0
0x0424,12,0,12,0,0,0,12
0x0425,0,0,0,0,0,0,0
0x0426,1,0,1,0,0,0,1
0x0427,0,0,0,0,0,0,0
0x0428,3,0,3,0,0,0,3
0x0429,2,0,2,0,0,0,2
0x042A,2,0,2,0,0,0,2
0x042B,0,0,0,0,0,0,0
0x042C,6,0,6,0,0,0,6
0x042D,0,0,0,0,0,0,0
0x042E,0,0,0,0,0,0,0
0x042F,9,0,9,0,0,0,9
0x0430,0,0,0,0,0,0,0
0x0431,0,0,0,0,0,0,0
0x0432,14,12,2,0,1,11,2
0x0433,5,0,5,0,0,0,5
0x0434,16,10,6,0,2,8,6
0x0435,2,2,0,0,2,0,0
0x0436,17,17,0,0,1,16,0
0x0437,6,1,5,0,0,1,5
0x0438,14,14,0,0,2,12,0
0x0439,3,3,0,0,2,1,0
0x043A,6,3,3,0,0,3,3
0x043B,2,0,2,0,0,0,2
0x043C,10,10,0,0,0,10,0
0x043D,1,1,0,0,1,0,0
0x043E,15,15,0,0,10,5,0
0x043F,3,3,0,0,1,2,0
0x0440,43,43,0,3,13,27,0
0x0441,0,0,0,0,0,0,0
0x0442,11,11,0,0,2,9,0
0x0443,2,2,0,0,0,2,0
0x0444,0,0,0,0,0,0,0
0x0445,0,0,0,0,0,0,0
0x0446,0,0,0,0,0,0,0
0x0447,0,0,0,0,0,0,0
0x0448,3,3,0,0,0,3,0
0x0449,4,4,0,0,1,3,0
0x044A,0,0,0,0,0,0,0
0x044B,6,6,0,0,6,0,0
0x044C,7,7,0,0,2,5,0
0x044D,0,0,0,0,0,0,0
0x044E,0,0,0,0,0,0,0
0x044F,14,14,0,0,10,4,0
0x0450,2,2,0,0,0,2,0
0x0451,1,1,0,0,0,1,0
0x0452,1,1,0,0,0,1,0
0x0453,0,0,0,0,0,0,0
0x0454,2,2,0,0,1,1,0
0x0455,2,2,0,0,1,1,0
0x0456,12,12,0,0,6,6,0
0x0457,5,4,1,0,0,4,1
0x0458,5,4,1,0,1,3,1
0x0459,6,6,0,0,1,5,0
0x045A,22,22,0,0,2,20,0
0x045B,12,12,0,0,3,9,0
0x045C,2,2,0,0,0,2,0
0x045D,5,5,0,0,1,4,0
0x045E,2,2,0,0,0,2,0
0x045F,10,10,0,0,0,10,0
0x0460,24,24,0,0,23,1,0
0x0461,9,9,0,0,9,0,0
0x0462,0,0,0,0,0,0,0
0x0463,2,2,0,0,2,0,0
0x0464,3,3,0,0,3,0,0
0x0465,1,1,0,0,1,0,0
0x0466,6,6,0,0,3,3,0
