table,addr,file_offset,max_insns,extend,terminator_at_budget,terminator_at_extend,access_at_budget,access_at_extend,moves,verdict
ec-07c4-07d5-sites.csv,0x07D3,0x2C609,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x27066,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x27091,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x28172,8,64,max_insns (8) exhausted,DPTR reloaded,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x28198,8,64,max_insns (8) exhausted,DPTR reloaded,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2972B,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2975F,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x29772,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2987C,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x29FC0,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2B9A1,8,64,max_insns (8) exhausted,flow opcode,"write x2, walks 2 consecutive bytes (inc dptr)","write x2, walks 2 consecutive bytes (inc dptr)",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2B9B9,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2B9D2,8,64,max_insns (8) exhausted,flow opcode,read x1,read x2,yes,"A: `mov 0x83,…` (DPH) at 0x2B9E2 precedes the extra read at 0x2B9E4, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-07c4-07d5-sites.csv,0x07D4,0x2BAB7,8,64,max_insns (8) exhausted,flow opcode,"read x2, walks 2 consecutive bytes (inc dptr)","read x2, walks 2 consecutive bytes (inc dptr)",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D4,0x2BAD4,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07c4-07d5-sites.csv,0x07D5,0x2949C,8,64,max_insns (8) exhausted,flow opcode,read x1,read x2,yes,"A: `mov 0x83,…` (DPH) at 0x294AC precedes the extra read at 0x294AE, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
ec-07d6-07d7-sites.csv,0x07D6,0x23403,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x23426,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x234D6,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x288BE,8,64,max_insns (8) exhausted,flow opcode,"read x1, write x1","read x1, write x1",no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x2893A,8,64,max_insns (8) exhausted,flow opcode,read x1,read x1,no,"unchanged: the `access` cell is the same at both budgets, so there is nothing here for a larger budget to be wrong about"
ec-07d6-07d7-sites.csv,0x07D6,0x2A0E6,8,64,max_insns (8) exhausted,DPTR reloaded,"read x1, write x1","read x2, write x1",yes,"A: `mov 0x82,…` (DPL) at 0x2A0F3 precedes the extra read at 0x2A0FA, and walk()'s MOV_DPTR guard cannot see that form, so the larger budget files an indexed access under the site register"
