addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x0400,0x13895,bank1,0xB895,24,0,write x1,"mov a,#0x00 ; movx @dptr,a"
0x0400,0x13F42,bank1,0xBF42,24,0,DPTR handed to lcall 0x8863 -- direction unresolved here,"mov r3,0x82 ; mov r4,0x83 ; mov a,r6 ; mov r2,a ; mov a,r5 ; mov r1,a ; lcall 0x8863"
0x0400,0x13F52,bank1,0xBF52,24,0,no movx found in the decoded window,"mov r5,0x82 ; mov r6,0x83"
0x0400,0x14CBB,bank1,0xCCBB,24,0,no movx found in the decoded window,"mov r1,0x82 ; mov r2,0x83"
0x0400,0x235E9,pd-image,0x35E9,24,0,DPTR handed to ljmp 0x10bc -- direction unresolved here,"mov r7,a ; mov 0xf0,#0x60 ; ljmp 0x10bc"
0x0400,0x236BE,pd-image,0x36BE,22,2,no movx found in the decoded window,ret
0x0400,0x23886,pd-image,0x3886,22,2,no movx found in the decoded window,ret
0x0400,0x26860,pd-image,0x6860,24,0,DPTR handed to lcall 0x3494 -- direction unresolved here,lcall 0x3494
0x0401,0x1389B,bank1,0xB89B,24,0,write x1,"mov a,#0x00 ; movx @dptr,a"
0x0402,0x134BD,bank1,0xB4BD,24,0,DPTR handed to lcall 0x8892 -- direction unresolved here,lcall 0x8892
0x0402,0x15C14,bank1,0xDC14,24,0,DPTR handed to lcall 0x889e -- direction unresolved here,lcall 0x889e
0x0402,0x15F7C,bank1,0xDF7C,24,0,DPTR handed to lcall 0x888c -- direction unresolved here,lcall 0x888c
0x0403,0x11310,bank1,0x9310,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jc +0x11"
0x0403,0x12269,bank1,0xA269,22,2,read x1,"movx a,@dptr ; jz +0x6b"
0x0403,0x1227C,bank1,0xA27C,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jc +0x1e"
0x0403,0x134CA,bank1,0xB4CA,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jc +0x22"
0x0403,0x13B68,bank1,0xBB68,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x1e"
0x0403,0x13BEA,bank1,0xBBEA,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x10"
0x0403,0x13C13,bank1,0xBC13,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x10"
0x0403,0x13DA9,bank1,0xBDA9,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x10"
0x0403,0x13DD3,bank1,0xBDD3,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x10"
0x0403,0x13E4A,bank1,0xBE4A,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x3e"
0x0403,0x15118,bank1,0xD118,24,0,read x1,"movx a,@dptr ; clr c ; subb a,#0x14 ; jnc +0x15"
0x0404,0x0AA34,bank0,0xAA34,24,0,"read x2, walks 2 consecutive bytes (inc dptr)","movx a,@dptr ; mov r6,a ; inc dptr ; movx a,@dptr ; mov r7,a"
0x0404,0x13214,bank1,0xB214,24,0,DPTR handed to lcall 0x8892 -- direction unresolved here,lcall 0x8892
0x0404,0x1323B,bank1,0xB23B,23,1,DPTR handed to lcall 0x8892 -- direction unresolved here,lcall 0x8892
0x0404,0x132B9,bank1,0xB2B9,24,0,DPTR handed to lcall 0x8892 -- direction unresolved here,lcall 0x8892
0x0404,0x1330E,bank1,0xB30E,22,2,DPTR handed to lcall 0x8892 -- direction unresolved here,lcall 0x8892
0x0404,0x1332F,bank1,0xB32F,24,0,DPTR handed to lcall 0x888c -- direction unresolved here,lcall 0x888c
0x0404,0x1350E,bank1,0xB50E,22,2,DPTR handed to lcall 0x8886 -- direction unresolved here,lcall 0x8886
