addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x0860,0x0D091,bank0,0xD091,24,0,read x1,"movx a,@dptr ; jnz +0x03"
0x0860,0x0D0EF,bank0,0xD0EF,24,0,read x1,"movx a,@dptr ; xrl a,#0x06 ; jz +0x18"
0x0860,0x0D117,bank0,0xD117,24,0,read x1,"movx a,@dptr ; xrl a,#0x08 ; jz +0x18"
0x0860,0x0D144,bank0,0xD144,24,0,read x1,"movx a,@dptr ; lcall 0x7151"
0x0860,0x0D281,bank0,0xD281,24,0,write x1,"mov a,#0xff ; movx @dptr,a ; sjmp +0x05"
0x0860,0x0D28A,bank0,0xD28A,24,0,write x1,"movx @dptr,a"
0x0860,0x0D31C,bank0,0xD31C,23,1,no movx found in the decoded window,ret
0x0860,0x25CE4,pd-image,0x5CE4,24,0,"read x1, walks 2 consecutive bytes (inc dptr)","inc dptr ; movx a,@dptr ; mov r5,a"
0x0860,0x25CFC,pd-image,0x5CFC,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov a,r3 ; add a,#0x23 ; mov r3,a ; mov a,r2 ; lcall 0x906f"
0x0862,0x0D2DE,bank0,0xD2DE,24,0,read x1,"movx a,@dptr"
0x0862,0x0D2F3,bank0,0xD2F3,24,0,read x1,"movx a,@dptr"
0x0862,0x0D308,bank0,0xD308,24,0,read x1,"movx a,@dptr"
0x0862,0x25EAC,pd-image,0x5EAC,24,0,read x1,"movx a,@dptr ; cjne a,#0x01,+0x0b"
0x0862,0x27F57,pd-image,0x7F57,24,0,write x1,"mov a,r1 ; movx @dptr,a"
0x0865,0x09DA4,bank0,0x9DA4,24,0,write x1,"movx @dptr,a"
0x0865,0x09E8D,bank0,0x9E8D,24,0,write x1,"movx @dptr,a"
0x0865,0x09FA7,bank0,0x9FA7,24,0,write x1,"movx @dptr,a"
0x0865,0x0BBF7,bank0,0xBBF7,24,0,read x1,"movx a,@dptr ; clr c ; subb a,r7 ; ret"
0x0865,0x0D10F,bank0,0xD10F,24,0,write x1,"mov a,#0x48 ; movx @dptr,a ; sjmp +0x2d"
0x0865,0x0D137,bank0,0xD137,24,0,write x1,"mov a,#0x4c ; movx @dptr,a ; sjmp +0x05"
0x0865,0x0D140,bank0,0xD140,24,0,write x1,"movx @dptr,a"
0x0865,0x0D2E6,bank0,0xD2E6,22,2,read x1,"movx a,@dptr"
0x0865,0x0D2FB,bank0,0xD2FB,24,0,read x1,"movx a,@dptr"
0x0865,0x0D310,bank0,0xD310,24,0,read x1,"movx a,@dptr"
0x0866,0x09DAC,bank0,0x9DAC,24,0,write x1,"movx @dptr,a"
0x0866,0x09DCF,bank0,0x9DCF,24,0,write x1,"movx @dptr,a"
0x0866,0x09DFB,bank0,0x9DFB,24,0,read x1,"movx a,@dptr"
0x0866,0x09E95,bank0,0x9E95,24,0,write x1,"movx @dptr,a"
