addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x1C39,0x0D0DF,bank0,0xD0DF,24,0,read x1,"movx a,@dptr"
0x1C39,0x0D225,bank0,0xD225,21,3,write x1,"movx @dptr,a"
0x1C39,0x0D24F,bank0,0xD24F,24,0,write x1,"movx @dptr,a"
0x1C39,0x0D26F,bank0,0xD26F,22,2,read x1,"movx a,@dptr"
0x1C39,0x0D2B2,bank0,0xD2B2,24,0,write x1,"movx @dptr,a"
0x1C3A,0x0D0E7,bank0,0xD0E7,24,0,read x1,"movx a,@dptr"
0x1C3A,0x0D22D,bank0,0xD22D,24,0,write x1,"movx @dptr,a"
0x1C3A,0x0D253,bank0,0xD253,24,0,write x1,"movx @dptr,a"
0x1C3A,0x0D277,bank0,0xD277,22,2,read x1,"movx a,@dptr"
0x1C3A,0x0D2BA,bank0,0xD2BA,24,0,write x1,"movx @dptr,a ; ret"
0x1C12,0x0D2FF,bank0,0xD2FF,24,0,write x1,"movx @dptr,a ; ret"
0x1C12,0x11D0E,bank1,0x9D0E,24,0,write x1,"movx @dptr,a ; ret"
0x1C12,0x11D9F,bank1,0x9D9F,24,0,write x1,"movx @dptr,a ; ret"
0x1C12,0x11E37,bank1,0x9E37,24,0,write x1,"mov a,#0x02 ; movx @dptr,a"
0x1C12,0x11E4B,bank1,0x9E4B,24,0,write x1,"mov a,#0x00 ; movx @dptr,a"
0x1C13,0x0D2F7,bank0,0xD2F7,24,0,write x1,"movx @dptr,a"
0x1C13,0x11D08,bank1,0x9D08,24,0,write x1,"movx @dptr,a ; mov a,#0x48"
0x1C13,0x11D99,bank1,0x9D99,24,0,write x1,"movx @dptr,a ; mov a,#0x48"
0x1C14,0x0D2EF,bank0,0xD2EF,24,0,write x1,"movx @dptr,a"
0x1C14,0x11D02,bank1,0x9D02,24,0,write x1,"movx @dptr,a ; mov a,#0x00"
0x1C14,0x11D93,bank1,0x9D93,24,0,write x1,"movx @dptr,a ; mov a,#0x00"
0x1C36,0x0D314,bank0,0xD314,24,0,write x1,"movx @dptr,a ; ret"
0x1C37,0x0D30C,bank0,0xD30C,24,0,write x1,"movx @dptr,a"
0x1C38,0x0D304,bank0,0xD304,24,0,write x1,"movx @dptr,a"
0x1C01,0x0D2EA,bank0,0xD2EA,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x11919,bank1,0x9919,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x1197D,bank1,0x997D,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x119E0,bank1,0x99E0,24,0,write x1,"mov a,#0x02 ; movx @dptr,a"
0x1C01,0x119F4,bank1,0x99F4,24,0,write x1,"mov a,#0x00 ; movx @dptr,a"
0x1C01,0x144EA,bank1,0xC4EA,24,0,write x1,"movx @dptr,a ; sjmp +0x1c"
0x1C01,0x14508,bank1,0xC508,24,0,write x1,"movx @dptr,a ; mov r6,#0x64 ; lcall 0xc541"
0x1C01,0x14574,bank1,0xC574,24,0,write x1,"movx @dptr,a ; mov r6,#0xc8 ; lcall 0xc541"
0x1C01,0x15E70,bank1,0xDE70,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x16160,bank1,0xE160,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x1624B,bank1,0xE24B,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x1638E,bank1,0xE38E,24,0,write x1,"movx @dptr,a"
0x1C01,0x163E7,bank1,0xE3E7,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x16404,bank1,0xE404,24,0,write x1,"movx @dptr,a ; ret"
0x1C01,0x164C7,bank1,0xE4C7,24,0,write x1,"movx @dptr,a"
0x1C01,0x16764,bank1,0xE764,24,0,write x1,"movx @dptr,a ; ret"
0x1C02,0x0D2E2,bank0,0xD2E2,24,0,write x1,"movx @dptr,a"
0x1C02,0x11913,bank1,0x9913,23,1,write x1,"movx @dptr,a ; mov a,#0x48"
0x1C02,0x11977,bank1,0x9977,24,0,write x1,"movx @dptr,a ; mov a,#0x48"
0x1C02,0x144DE,bank1,0xC4DE,24,0,write x1,"movx @dptr,a ; mov a,#0xff"
0x1C02,0x144FC,bank1,0xC4FC,24,0,write x1,"movx @dptr,a ; mov a,#0xff"
0x1C02,0x14558,bank1,0xC558,24,0,write x1,"movx @dptr,a"
0x1C02,0x15E4D,bank1,0xDE4D,23,1,write x1,"movx @dptr,a ; mov a,r5"
0x1C02,0x1615A,bank1,0xE15A,23,1,write x1,"movx @dptr,a ; mov a,#0x48"
0x1C02,0x16245,bank1,0xE245,23,1,write x1,"movx @dptr,a ; mov a,#0x48"
