out_file,program,addr,body_lines,owner_out_file,owner_addr,owner_name,shared,containment
bank0/031C.c,bank0,031C,12,bank0/031C.c,031C,poll_d6c2_then_branch,no,1.00
bank0/0EA2.c,bank0,0EA2,14,bank0/0EA2.c,0EA2,timer1_counted_delay_using_0a56,no,1.00
bank0/163C.c,bank0,163C,2,bank0/163C.c,163C,load_dptr_88f0_tail_jump_1114,no,1.00
bank0/1648.c,bank0,1648,2,bank0/1648.c,1648,load_dptr_aa30_tail_jump_1114,no,1.00
bank0/164E.c,bank0,164E,2,bank0/164E.c,164E,load_dptr_a916_tail_jump_1114,no,1.00
bank0/1654.c,bank0,1654,2,bank0/1654.c,1654,load_dptr_f381_tail_jump_1114,no,1.00
bank0/1660.c,bank0,1660,2,bank0/1660.c,1660,load_dptr_f160_tail_jump_1114,no,1.00
bank0/1666.c,bank0,1666,2,bank0/1666.c,1666,load_dptr_896a_tail_jump_1114,no,1.00
bank0/166C.c,bank0,166C,2,bank0/166C.c,166C,load_dptr_8955_tail_jump_1114,no,1.00
bank0/1672.c,bank0,1672,2,bank0/1672.c,1672,load_dptr_e56f_tail_jump_1114,no,1.00
bank0/1803.c,bank0,1803,3,bank0/1803.c,1803,nop_load_dptr_c48f_tail_jump_1100,no,1.00
bank0/18AC.c,bank0,18AC,2,bank0/18AC.c,18AC,load_dptr_83f8_tail_jump_1114,no,1.00
bank0/18B2.c,bank0,18B2,2,bank0/18B2.c,18B2,load_dptr_81c5_tail_jump_1114,no,1.00
bank0/18B8.c,bank0,18B8,2,bank0/18B8.c,18B8,load_dptr_823a_tail_jump_1114,no,1.00
bank0/18BE.c,bank0,18BE,2,bank0/18BE.c,18BE,load_dptr_8261_tail_jump_1114,no,1.00
bank0/18C4.c,bank0,18C4,2,bank0/18C4.c,18C4,load_dptr_818a_tail_jump_1114,no,1.00
bank0/1906.c,bank0,1906,2,bank0/1906.c,1906,load_dptr_8652_tail_jump_1114,no,1.00
bank0/1936.c,bank0,1936,2,bank0/1936.c,1936,load_dptr_9f01_tail_jump_1114,no,1.00
bank0/1948.c,bank0,1948,2,bank0/1948.c,1948,load_dptr_a694_tail_jump_1114,no,1.00
bank0/194E.c,bank0,194E,2,bank0/194E.c,194E,load_dptr_a69f_tail_jump_1114,no,1.00
bank0/1954.c,bank0,1954,2,bank0/1954.c,1954,load_dptr_92f7_tail_jump_1114,no,1.00
bank0/1978.c,bank0,1978,2,bank0/1978.c,1978,trampoline_bank1_a710,no,1.00
bank0/197E.c,bank0,197E,2,bank0/197E.c,197E,trampoline_bank1_a6f7,no,1.00
bank0/2A6C.c,bank0,2A6C,2,bank0/2A6C.c,2A6C,clear_4c_bits_4_5_7,no,1.00
bank0/2BD5.c,bank0,2BD5,46,bank0/2BD5.c,2BD5,event_id_latch_and_bit_merge,no,1.00
bank0/397D.c,bank0,397D,3,bank0/397D.c,397D,call_3894_then_jmp_2de3,no,1.00
bank0/3A60.c,bank0,3A60,4,bank0/3A60.c,3A60,cascade_gate_170a_1709_1708,no,1.00
bank0/3AD6.c,bank0,3AD6,5,bank0/3AD6.c,3AD6,write_10_2007_clear_1302_set_1300,no,1.00
bank0/445E.c,bank0,445E,72,bank0/445E.c,445E,stage_and_commit_0a56_block,no,1.00
bank0/4777.c,bank0,4777,5,bank0/4777.c,4777,stage_0a54_0a55_then_dispatch,no,1.00
bank0/4B1F.c,bank0,4B1F,3,bank0/4B1F.c,4B1F,dec_a_store_and_advance_dptr,no,1.00
bank0/530E.c,bank0,530E,7,bank0/530E.c,530E,stage_009a_dispatch_to_4bb0,no,1.00
bank0/5349.c,bank0,5349,6,bank0/5349.c,5349,dispatch_to_4c5d,no,1.00
bank0/537F.c,bank0,537F,10,bank0/537F.c,537F,stage_0094_block_dispatch_4d96,no,1.00
bank0/53AF.c,bank0,53AF,15,bank0/53AF.c,53AF,stage_009b_block_branch_dispatch,no,1.00
bank0/541D.c,bank0,541D,11,bank0/541D.c,541D,stage_009b_block_dispatch_51c8,no,1.00
bank0/549B.c,bank0,549B,7,bank0/549B.c,549B,default_009d_bf_dispatch_4e2c,no,1.00
bank0/54C2.c,bank0,54C2,6,bank0/54C2.c,54C2,dispatch_to_4ecd,no,1.00
bank0/703A.c,bank0,703A,28,bank0/703A.c,703A,thunk_FUN_CODE_e722,no,1.00
bank0/703D.c,bank0,703D,2,bank0/703D.c,703D,read_byte_by_tag_r3,no,1.00
bank0/7049.c,bank0,7049,5,bank0/7049.c,7049,write_byte_by_tag_r3,no,1.00
bank0/705B.c,bank0,705B,7,bank0/705B.c,705B,write_byte_offset_by_tag_r3,no,1.00
bank0/708F.c,bank0,708F,42,bank0/708F.c,708F,div_r6r4_by_r5_16bit,no,1.00
bank0/724B.c,bank0,724B,22,bank0/724B.c,724B,normalize_sign_pair_4byte,no,1.00
bank0/8000.c,bank0,8000,13,bank0/8000.c,8000,clear_1654_block_load_1900,no,1.00
bank0/8016.c,bank0,8016,10,bank0/8000.c,8000,clear_1654_block_load_1900,yes,0.80
bank0/801D.c,bank0,801D,8,bank0/8000.c,8000,clear_1654_block_load_1900,yes,0.88
bank0/801F.c,bank0,801F,8,bank0/8000.c,8000,clear_1654_block_load_1900,yes,0.88
bank0/8020.c,bank0,8020,7,bank0/8000.c,8000,clear_1654_block_load_1900,yes,1.00
bank0/8026.c,bank0,8026,6,bank0/8000.c,8000,clear_1654_block_load_1900,yes,1.00
bank0/8038.c,bank0,8038,15,bank0/8038.c,8038,index_table_base,no,1.00
bank0/8044.c,bank0,8044,6,bank0/8044.c,8044,ajmp_into_83ff_tail,no,1.00
bank0/8048.c,bank0,8048,26,bank0/8048.c,8048,unresolved_midstream_bytes,no,1.00
bank0/8054.c,bank0,8054,19,bank0/8054.c,8054,index_case_00,no,1.00
bank0/805B.c,bank0,805B,10,bank0/8054.c,8054,index_case_00,yes,0.90
bank0/806C.c,bank0,806C,7,bank0/806C.c,806C,store_byte_through_0a59_into_0600,no,1.00
bank0/8094.c,bank0,8094,12,bank0/8094.c,8094,index_case_01,no,1.00
bank0/80D7.c,bank0,80D7,12,bank0/80D7.c,80D7,index_case_02,no,1.00
bank0/811A.c,bank0,811A,12,bank0/811A.c,811A,index_case_03,no,1.00
bank0/815D.c,bank0,815D,11,bank0/815D.c,815D,index_case_04,no,1.00
bank0/819D.c,bank0,819D,12,bank0/819D.c,819D,index_case_05,no,1.00
bank0/81DF.c,bank0,81DF,17,bank0/81DF.c,81DF,index_case_06,no,1.00
bank0/821F.c,bank0,821F,5,bank0/821F.c,821F,index_case_epilogue,no,1.00
bank0/8274.c,bank0,8274,10,bank0/8054.c,8054,index_case_00,yes,0.90
bank0/8294.c,bank0,8294,58,bank0/8294.c,8294,FUN_CODE_8294,no,1.00
bank0/8398.c,bank0,8398,1,bank0/8398.c,8398,return_trampoline_8294,no,1.00
bank0/8399.c,bank0,8399,10,bank0/8399.c,8399,FUN_CODE_8399,no,1.00
bank0/83D6.c,bank0,83D6,10,bank0/83D6.c,83D6,ring_push_0990,no,1.00
