addr,seed,direction,accessor,census_refs,census_read,census_write,census_read_write,census_passed_to_call,census_address_taken,mov_dptr_main_ec,mov_dptr_pd_image,entered
0x0309,0x0308,read,read_xdata_pair_to_r1r2,3,3,0,0,0,0,0,0,no
0x030F,0x030E,read,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4,8,8,0,0,0,0,1,0,yes
0x0311,0x0310,read,read_xdata_pair_to_r1r2,4,4,0,0,0,0,0,0,no
0x0313,0x0312,read,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4,3,3,0,0,0,0,0,0,no
0x0315,0x0314,read,read_xdata_pair_to_r1r2,4,4,0,0,0,0,1,0,no
0x0317,0x0316,read,read_xdata_pair_to_r3r4,2,2,0,0,0,0,0,0,no
0x0319,0x0318,read,read_xdata_pair_to_r1r2,16,16,0,0,0,0,4,0,no
0x031B,0x031A,read,read_xdata_pair_to_r1r2,2,2,0,0,0,0,0,0,no
0x0333,0x0332,read,read_xdata_pair_to_r1r2,2,2,0,0,0,0,0,0,no
0x0337,0x0336,read,read_xdata_pair_to_r1r2,2,2,0,0,0,0,0,0,no
0x0341,0x0340,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,3,1,2,0,0,0,0,0,no
0x0344,0x0343,read+write,read_xdata_pair_to_r1r2;write_r3r4_to_xdata_pair,7,5,2,0,0,0,2,0,no
0x0346,0x0345,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x034F,0x034E,read,read_xdata_pair_to_r3r4,1,1,0,0,0,0,0,0,no
0x0364,0x0363,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair,6,3,3,0,0,0,0,0,no
0x036F,0x036E,read,read_xdata_pair_to_r1r2,2,2,0,0,0,0,0,0,no
0x0379,0x0378,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x037B,0x037A,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x037D,0x037C,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x037F,0x037E,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x0381,0x0380,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x0383,0x0382,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,8,6,2,0,0,0,2,0,no
0x0385,0x0384,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,4,3,1,0,0,0,0,0,no
0x0389,0x0388,read,read_xdata_pair_to_r1r2,6,3,2,1,0,0,3,0,no
0x0393,0x0392,read,read_xdata_pair_to_r1r2,5,2,2,1,0,0,4,0,no
0x039F,0x039E,write,write_r3r4_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x03A7,0x03A6,read,read_xdata_pair_to_r3r4,1,1,0,0,0,0,0,0,no
0x03AD,0x03AC,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03B9,0x03B8,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,10,8,2,0,0,0,0,0,no
0x03D1,0x03D0,read,read_xdata_pair_to_r3r4,1,1,0,0,0,0,0,0,no
0x03D3,0x03D2,read,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4,2,2,0,0,0,0,0,0,no
0x03DF,0x03DE,read,read_xdata_pair_to_r1r2,1,1,0,0,0,0,0,0,no
0x03E1,0x03E0,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,3,2,1,0,0,0,0,0,no
0x03E3,0x03E2,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03E5,0x03E4,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03E7,0x03E6,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03E9,0x03E8,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03EB,0x03EA,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x03ED,0x03EC,write,write_r3r4_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x03EF,0x03EE,write,write_r3r4_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x03F3,0x03F2,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x03F5,0x03F4,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x03F7,0x03F6,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,9,1,8,0,0,0,1,0,no
0x03F9,0x03F8,read+write,read_xdata_pair_to_r3r4;write_r3r4_to_xdata_pair,9,1,8,0,0,0,1,0,no
0x03FD,0x03FC,read+write,read_xdata_pair_to_r1r2;write_r3r4_to_xdata_pair,4,2,2,0,0,0,0,0,no
0x0403,0x0402,read+write,read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,28,25,3,0,0,0,11,0,yes
0x0405,0x0404,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,13,7,6,0,0,0,0,0,no
0x0409,0x0408,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x040B,0x040A,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,3,2,1,0,0,0,0,0,no
0x040D,0x040C,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x040F,0x040E,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,2,1,1,0,0,0,0,0,no
0x0411,0x0410,write,write_r3r4_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x0435,0x0434,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,16,6,10,0,0,0,2,0,yes
0x0437,0x0436,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,17,10,7,0,0,0,1,5,yes
0x0439,0x0438,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,19,11,8,0,0,0,3,0,yes
0x043B,0x043A,read,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4,6,6,0,0,0,0,0,2,no
0x04A1,0x04A0,write,write_r1r2_to_xdata_pair,9,6,3,0,0,0,5,3,no
0x04A3,0x04A2,read+write,read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair,7,4,3,0,0,0,1,5,no
0x04A5,0x04A4,write,write_r1r2_to_xdata_pair,7,0,7,0,0,0,0,3,no
0x04A7,0x04A6,write,write_r1r2_to_xdata_pair,5,2,3,0,0,0,2,0,yes
0x04A9,0x04A8,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x04AF,0x04AE,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,11,7,4,0,0,0,1,0,no
0x04BF,0x04BE,write,write_r1r2_to_xdata_pair,6,2,4,0,0,0,1,0,no
0x04F3,0x04F2,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x04F5,0x04F4,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,3,2,1,0,0,0,0,0,no
0x04F7,0x04F6,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x04F9,0x04F8,write,write_r1r2_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x0503,0x0502,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,10,6,4,0,0,0,1,0,no
0x0505,0x0504,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,6,4,2,0,0,0,1,0,no
0x0507,0x0506,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,13,8,5,0,0,0,1,0,no
0x0509,0x0508,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,12,8,4,0,0,0,1,0,no
0x050B,0x050A,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,16,14,2,0,0,0,1,0,no
0x050D,0x050C,write,write_r1r2_to_xdata_pair,16,14,2,0,0,0,1,0,no
0x050F,0x050E,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,9,7,2,0,0,0,0,0,no
0x0511,0x0510,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x0515,0x0514,write,write_r3r4_to_xdata_pair,1,0,1,0,0,0,0,0,no
0x0519,0x0518,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,7,5,2,0,0,0,1,0,no
0x051B,0x051A,write,write_r1r2_to_xdata_pair,2,1,1,0,0,0,1,0,no
0x051D,0x051C,read+write,read_xdata_pair_to_r1r2;write_r1r2_to_xdata_pair,4,2,2,0,0,0,0,0,no
0x051F,0x051E,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x0521,0x0520,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x0523,0x0522,read+write,read_xdata_pair_to_r1r2;read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair,15,9,6,0,0,0,1,0,yes
0x0529,0x0528,write,write_r1r2_to_xdata_pair,3,0,3,0,0,0,1,0,no
0x052B,0x052A,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,4,0,4,0,0,0,0,0,no
0x052F,0x052E,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x0533,0x0532,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x0535,0x0534,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x0537,0x0536,write,write_r1r2_to_xdata_pair,2,0,2,0,0,0,0,0,no
0x053B,0x053A,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x053D,0x053C,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x053F,0x053E,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x0541,0x0540,write,write_r1r2_to_xdata_pair;write_r3r4_to_xdata_pair,3,0,3,0,0,0,0,0,no
0x0543,0x0542,read+write,read_xdata_pair_to_r3r4;write_r1r2_to_xdata_pair,5,2,3,0,0,0,0,0,no
