addr,program,spelled_as,span_group,cluster_id,refs,read,write,read+write,passed-to-call,address-taken,readers,writers,functions_touched,single_function,name,functions,cluster_key
0x0004,main-ec,DAT_EXTMEM,0x0004-0x0004,main-ec-075,13,0,13,0,0,0,0,13,13,no,,bank0:0xFF17=ff_filler_not_a_function_ff17 [unresolved]; bank0:0xFF90=ff_filler_not_a_function_ff90 [unresolved]; bank1:0xF512=unimplemented_ff_fill_f512 [unresolved]; bank1:0xF70D=unimplemented_ff_fill_f70d [unresolved]; bank1:0xF727=unimplemented_ff_fill_f727 [unresolved]; bank1:0xF73E=unimplemented_ff_fill_f73e [unresolved]; bank1:0xF902=unimplemented_ff_fill_f902 [unresolved]; bank1:0xFF17=unimplemented_ff_fill_ff17 [unresolved]; bank1:0xFF63=unimplemented_ff_fill_ff63 [unresolved]; common:0x0000=reset_vector_forwarder_to_0070 [entry]; common:0x0046=FUN_CODE_0046; common:0x0070=reset_entry_stack_bank0_then_code_init [init]; common:0x0504=FUN_CODE_0504,kec5781593e3f
0x0018,main-ec,DAT_EXTMEM,0x0018-0x001C,main-ec-344,1,0,1,0,0,0,0,1,1,yes,,common:0x3D47=FUN_CODE_3d47,k2e5d2e9f73fe
0x0019,main-ec,DAT_EXTMEM,0x0018-0x001C,main-ec-050,5,1,3,0,1,0,1,3,5,no,,common:0x0EF3=write_internal_ram_init_constants [init]; common:0x0F12=FUN_CODE_0f12; common:0x3CDE=FUN_CODE_3cde; common:0x3D47=FUN_CODE_3d47; common:0x3E7E=FUN_CODE_3e7e,k7a5af7de93d8
0x001A,main-ec,DAT_EXTMEM,0x0018-0x001C,main-ec-050,5,0,3,0,2,0,0,3,5,no,,common:0x0EF3=write_internal_ram_init_constants [init]; common:0x0F12=FUN_CODE_0f12; common:0x3CE6=FUN_CODE_3ce6; common:0x3E85=FUN_CODE_3e85; common:0x424A=FUN_CODE_424a,k7a5af7de93d8
0x001B,main-ec,DAT_EXTMEM,0x0018-0x001C,main-ec-050,4,0,3,0,1,0,0,3,4,no,,common:0x0EF3=write_internal_ram_init_constants [init]; common:0x0F12=FUN_CODE_0f12; common:0x3CEE=FUN_CODE_3cee; common:0x3E8C=FUN_CODE_3e8c,k7a5af7de93d8
0x001C,main-ec,DAT_EXTMEM,0x0018-0x001C,main-ec-050,4,0,3,0,1,0,0,3,4,no,,common:0x0EF3=write_internal_ram_init_constants [init]; common:0x0F12=FUN_CODE_0f12; common:0x3CF6=FUN_CODE_3cf6; common:0x3E93=FUN_CODE_3e93,k7a5af7de93d8
0x0023,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-142,3,1,2,0,0,0,1,2,3,no,,common:0x271A=FUN_CODE_271a; common:0x28C1=FUN_CODE_28c1; common:0x28D1=FUN_CODE_28d1,k5ac83afd6722
0x0024,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-142,3,1,2,0,0,0,1,2,3,no,,common:0x28C1=FUN_CODE_28c1; common:0x28D1=FUN_CODE_28d1; common:0x2A5B=FUN_CODE_2a5b,k5ac83afd6722
0x0025,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-283,5,2,2,1,0,0,1,2,2,no,,common:0x271A=FUN_CODE_271a; common:0x2A5B=FUN_CODE_2a5b,k5341ccfa53fb
0x0026,main-ec,DAT_EXTMEM,0x0023-0x0028,main-ec-021,9,4,1,0,0,4,2,1,7,no,,common:0x223F=FUN_CODE_223f; common:0x2275=FUN_CODE_2275; common:0x2290=FUN_CODE_2290; common:0x22EF=FUN_CODE_22ef; common:0x2444=FUN_CODE_2444; common:0x258B=FUN_CODE_258b; common:0x2890=FUN_CODE_2890,k2937e8e4fdb0
