program,addr,name,size,seed_basis,common,annotated,type,basis,evidence,also_in,out_file
bank0,031C,poll_d6c2_then_branch,3,call-target,yes,yes,,,,,bank0/031C.c
bank0,0EA2,timer1_counted_delay_using_0a56,42,annotation,yes,yes,delay,hand-decoded,ec/decompiled/bank0/0EA2.asm; ec/decompiled/bank0/0EA2.c,,bank0/0EA2.c
bank0,163C,load_dptr_88f0_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/163C.asm; ec/decompiled/bank0/163C.c,,bank0/163C.c
bank0,1648,load_dptr_aa30_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1648.asm; ec/decompiled/bank0/1648.c,,bank0/1648.c
bank0,164E,load_dptr_a916_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/164E.asm; ec/decompiled/bank0/164E.c,,bank0/164E.c
bank0,1654,load_dptr_f381_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1654.asm; ec/decompiled/bank0/1654.c,,bank0/1654.c
bank0,1660,load_dptr_f160_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1660.asm; ec/decompiled/bank0/1660.c,,bank0/1660.c
bank0,1666,load_dptr_896a_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1666.asm; ec/decompiled/bank0/1666.c,,bank0/1666.c
bank0,166C,load_dptr_8955_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/166C.asm; ec/decompiled/bank0/166C.c,,bank0/166C.c
bank0,1672,load_dptr_e56f_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1672.asm; ec/decompiled/bank0/1672.c,,bank0/1672.c
bank0,1803,nop_load_dptr_c48f_tail_jump_1100,7,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/1803.asm; ec/decompiled/bank0/1803.c,,bank0/1803.c
bank0,18AC,load_dptr_83f8_tail_jump_1114,6,annotation,yes,yes,bank-switch,hand-decoded,ec/decompiled/bank0/18AC.asm; ec/decompiled/bank0/18AC.c,,bank0/18AC.c
