program,addr,name,size,seed_basis,common,annotated,type,basis,evidence,also_in,out_file
bank0,0EA2,FUN_CODE_0ea2,42,auto,yes,no,,,,,bank0/0EA2.asm
bank0,163C,FUN_CODE_163c,6,auto,yes,no,,,,,bank0/163C.asm
bank0,1648,FUN_CODE_1648,6,auto,yes,no,,,,,bank0/1648.asm
bank0,164E,FUN_CODE_164e,6,auto,yes,no,,,,,bank0/164E.asm
bank0,1654,FUN_CODE_1654,6,auto,yes,no,,,,,bank0/1654.asm
bank0,1660,FUN_CODE_1660,6,auto,yes,no,,,,,bank0/1660.asm
bank0,1666,FUN_CODE_1666,6,auto,yes,no,,,,,bank0/1666.asm
bank0,166C,FUN_CODE_166c,6,auto,yes,no,,,,,bank0/166C.asm
bank0,1672,FUN_CODE_1672,6,auto,yes,no,,,,,bank0/1672.asm
bank0,1803,FUN_CODE_1803,7,call-target,yes,no,,,,,bank0/1803.asm
bank0,18AC,FUN_CODE_18ac,6,auto,yes,no,,,,,bank0/18AC.asm
bank0,18B2,FUN_CODE_18b2,6,auto,yes,no,,,,,bank0/18B2.asm
bank0,18B8,FUN_CODE_18b8,6,auto,yes,no,,,,,bank0/18B8.asm
bank0,18BE,FUN_CODE_18be,6,auto,yes,no,,,,,bank0/18BE.asm
bank0,18C4,FUN_CODE_18c4,6,auto,yes,no,,,,,bank0/18C4.asm
bank0,1906,FUN_CODE_1906,6,auto,yes,no,,,,,bank0/1906.asm
bank0,1936,FUN_CODE_1936,6,auto,yes,no,,,,,bank0/1936.asm
bank0,1948,FUN_CODE_1948,6,auto,yes,no,,,,,bank0/1948.asm
bank0,194E,FUN_CODE_194e,6,auto,yes,no,,,,,bank0/194E.asm
bank0,1954,FUN_CODE_1954,6,auto,yes,no,,,,,bank0/1954.asm
bank0,1978,FUN_CODE_1978,6,auto,yes,no,,,,,bank0/1978.asm
bank0,197E,FUN_CODE_197e,6,auto,yes,no,,,,,bank0/197E.asm
bank0,2A6C,FUN_CODE_2a6c,15,call-target,yes,no,,,,,bank0/2A6C.asm
bank0,2BD5,FUN_CODE_2bd5,222,call-target,yes,no,,,,,bank0/2BD5.asm
bank0,397D,FUN_CODE_397d,6,auto,yes,no,,,,,bank0/397D.asm
bank0,3A60,FUN_CODE_3a60,108,call-target,yes,no,,,,,bank0/3A60.asm
bank0,3AD6,FUN_CODE_3ad6,26,auto,yes,no,,,,,bank0/3AD6.asm
bank0,445E,FUN_CODE_445e,188,auto,yes,no,,,,,bank0/445E.asm
bank0,4777,FUN_CODE_4777,26,auto,yes,no,,,,,bank0/4777.asm
bank0,4B1F,FUN_CODE_4b1f,3,call-target,yes,no,,,,,bank0/4B1F.asm
bank0,530E,FUN_CODE_530e,32,auto,yes,no,,,,,bank0/530E.asm
bank0,5349,FUN_CODE_5349,27,auto,yes,no,,,,,bank0/5349.asm
bank0,537F,FUN_CODE_537f,48,auto,yes,no,,,,,bank0/537F.asm
bank0,53AF,FUN_CODE_53af,110,auto,yes,no,,,,,bank0/53AF.asm
bank0,541D,FUN_CODE_541d,51,auto,yes,no,,,,,bank0/541D.asm
bank0,549B,FUN_CODE_549b,39,auto,yes,no,,,,,bank0/549B.asm
bank0,54C2,FUN_CODE_54c2,27,auto,yes,no,,,,,bank0/54C2.asm
bank0,703D,FUN_CODE_703d,12,auto,yes,no,,,,,bank0/703D.asm
bank0,7049,FUN_CODE_7049,18,auto,yes,no,,,,,bank0/7049.asm
bank0,705B,FUN_CODE_705b,34,auto,yes,no,,,,,bank0/705B.asm
bank0,708F,FUN_CODE_708f,85,auto,yes,no,,,,,bank0/708F.asm
bank0,724B,FUN_CODE_724b,54,auto,yes,no,,,,,bank0/724B.asm
bank0,8000,FUN_CODE_8000,22,call-target,no,no,,,,,bank0/8000.asm
bank0,8016,FUN_CODE_8016,7,call-target,no,no,,,,,bank0/8016.asm
bank0,801D,FUN_CODE_801d,2,call-target,no,no,,,,,bank0/801D.asm
bank0,801F,FUN_CODE_801f,1,call-target,no,no,,,,,bank0/801F.asm
bank0,8020,FUN_CODE_8020,6,call-target,no,no,,,,,bank0/8020.asm
bank0,8026,FUN_CODE_8026,11,call-target,no,no,,,,,bank0/8026.asm
bank0,8038,FUN_CODE_8038,2,call-target,no,no,,,,,bank0/8038.asm
bank0,8044,FUN_CODE_8044,2,call-target,no,no,,,,,bank0/8044.asm
bank0,8048,FUN_CODE_8048,12,call-target,no,no,,,,,bank0/8048.asm
bank0,8054,index_case_00,21,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/8054.asm
bank0,805B,index_table_default,3,call-target,no,yes,,,,,bank0/805B.asm
bank0,806C,FUN_CODE_806c,40,call-target,no,no,,,,,bank0/806C.asm
bank0,8094,index_case_01,67,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/8094.asm
bank0,80D7,index_case_02,67,call-target,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/80D7.asm
bank0,811A,index_case_03,67,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/811A.asm
bank0,815D,index_case_04,64,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/815D.asm
bank0,819D,index_case_05,66,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/819D.asm
bank0,81DF,index_case_06,64,annotation,no,yes,writer,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/81DF.asm
bank0,821F,index_case_epilogue,18,annotation,no,yes,state,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/821F.asm
bank0,8274,index_table_default,32,annotation,no,yes,dispatch,hand-decoded,ec/annotations/bank-call-audit.md,,bank0/8274.asm
bank0,8294,FUN_CODE_8294,260,call-target,no,no,,,,,bank0/8294.asm
bank0,8398,FUN_CODE_8398,1,call-target,no,no,,,,,bank0/8398.asm
bank0,8399,FUN_CODE_8399,61,call-target,no,no,,,,,bank0/8399.asm
bank0,83D6,FUN_CODE_83d6,41,call-target,no,no,,,,,bank0/83D6.asm
bank0,83FF,FUN_CODE_83ff,157,call-target,no,no,,,,,bank0/83FF.asm
bank0,849C,FUN_CODE_849c,1,call-target,no,no,,,,,bank0/849C.asm
bank0,8648,FUN_CODE_8648,11,call-target,no,no,,,,,bank0/8648.asm
bank0,8653,seed_fan_table_base,165,annotation,no,yes,init,hand-decoded,ec/annotations/manual-fan-ctrl-0751.md,,bank0/8653.asm
bank0,8749,FUN_CODE_8749,324,call-target,no,no,,,,,bank0/8749.asm
bank0,888D,fan_table_mailbox_handler,164,annotation,no,yes,dispatch,hand-decoded,ec/annotations/manual-fan-ctrl-0751.md,,bank0/888D.asm
bank0,8931,FUN_CODE_8931,474,call-target,no,no,,,,,bank0/8931.asm
bank0,8939,FUN_CODE_8939,5,call-target,no,no,,,,,bank0/8939.asm
bank0,893E,FUN_CODE_893e,4,call-target,no,no,,,,,bank0/893E.asm
bank0,8B14,FUN_CODE_8b14,306,call-target,no,no,,,,,bank0/8B14.asm
bank0,8C46,FUN_CODE_8c46,410,call-target,no,no,,,,,bank0/8C46.asm
bank0,8DE0,FUN_CODE_8de0,291,call-target,no,no,,,,,bank0/8DE0.asm
bank0,8F03,FUN_CODE_8f03,6,call-target,no,no,,,,,bank0/8F03.asm
bank0,8F09,FUN_CODE_8f09,5,call-target,no,no,,,,,bank0/8F09.asm
bank0,8F0E,FUN_CODE_8f0e,1,call-target,no,no,,,,,bank0/8F0E.asm
bank0,8F0F,FUN_CODE_8f0f,17,call-target,no,no,,,,,bank0/8F0F.asm
bank0,8F20,FUN_CODE_8f20,187,call-target,no,no,,,,,bank0/8F20.asm
bank0,8FDB,FUN_CODE_8fdb,61,call-target,no,no,,,,,bank0/8FDB.asm
bank0,9000,thunk_FUN_CODE_703d,3,call-target,no,no,,,,,bank0/9000.asm
bank0,9006,FUN_CODE_9006,1,call-target,no,no,,,,,bank0/9006.asm
bank0,9007,FUN_CODE_9007,6,call-target,no,no,,,,,bank0/9007.asm
bank0,900D,FUN_CODE_900d,8,call-target,no,no,,,,,bank0/900D.asm
bank0,9015,FUN_CODE_9015,1,call-target,no,no,,,,,bank0/9015.asm
bank0,9016,FUN_CODE_9016,2,call-target,no,no,,,,,bank0/9016.asm
bank0,9018,FUN_CODE_9018,4,call-target,no,no,,,,,bank0/9018.asm
bank0,901C,FUN_CODE_901c,4,call-target,no,no,,,,,bank0/901C.asm
bank0,902A,FUN_CODE_902a,7,call-target,no,no,,,,,bank0/902A.asm
bank0,9040,FUN_CODE_9040,1,call-target,no,no,,,,,bank0/9040.asm
bank0,9041,FUN_CODE_9041,8,call-target,no,no,,,,,bank0/9041.asm
bank0,9049,FUN_CODE_9049,82,call-target,no,no,,,,,bank0/9049.asm
