program,addr,name,sample,insns,linear,in_c,missing,outcome
bank0,031C,poll_d6c2_then_branch,stride,0,,,,vacuous
bank0,0EA2,timer1_counted_delay_using_0a56,annotation,5,0A56,0A56,,agree
bank0,163C,load_dptr_88f0_tail_jump_1114,annotation,1,88F0,,88F0,disagree
bank0,1648,load_dptr_aa30_tail_jump_1114,annotation,1,AA30,,AA30,disagree
bank0,164E,load_dptr_a916_tail_jump_1114,annotation,1,A916,,A916,disagree
bank0,1654,load_dptr_f381_tail_jump_1114,annotation,1,F381,,F381,disagree
bank0,1660,load_dptr_f160_tail_jump_1114,annotation,1,F160,,F160,disagree
bank0,1666,load_dptr_896a_tail_jump_1114,annotation,1,896A,,896A,disagree
bank0,166C,load_dptr_8955_tail_jump_1114,annotation,1,8955,,8955,disagree
bank0,1672,load_dptr_e56f_tail_jump_1114,annotation,1,E56F,,E56F,disagree
bank0,1803,nop_load_dptr_c48f_tail_jump_1100,annotation,2,C48F,,C48F,disagree
bank0,18AC,load_dptr_83f8_tail_jump_1114,annotation,1,83F8,,83F8,disagree
bank0,18B2,load_dptr_81c5_tail_jump_1114,annotation,1,81C5,,81C5,disagree
bank0,18B8,load_dptr_823a_tail_jump_1114,annotation,1,823A,,823A,disagree
bank0,18BE,load_dptr_8261_tail_jump_1114,annotation,1,8261,,8261,disagree
bank0,18C4,load_dptr_818a_tail_jump_1114,annotation,1,818A,,818A,disagree
bank0,1906,load_dptr_8652_tail_jump_1114,annotation,1,8652,,8652,disagree
bank0,1936,load_dptr_9f01_tail_jump_1114,annotation,1,9F01,,9F01,disagree
bank0,1948,load_dptr_a694_tail_jump_1114,annotation,1,A694,,A694,disagree
bank0,194E,load_dptr_a69f_tail_jump_1114,annotation,1,A69F,,A69F,disagree
bank0,1954,load_dptr_92f7_tail_jump_1114,annotation,1,92F7,,92F7,disagree
bank0,1978,trampoline_bank1_a710,annotation,1,A710,,A710,disagree
bank0,197E,trampoline_bank1_a6f7,annotation,1,A6F7,,A6F7,disagree
bank0,2A6C,clear_4c_bits_4_5_7,annotation,7,,,,vacuous
bank0,2BD5,event_id_latch_and_bit_merge,annotation,5,0A49,0A49,,agree
bank0,397D,call_3894_then_jmp_2de3,annotation,0,,,,vacuous
bank0,3A60,cascade_gate_170a_1709_1708,annotation,4,170A,170A,,agree
bank0,3AD6,write_10_2007_clear_1302_set_1300,annotation,17,1300 1302 2007,1300 1302 2007,,agree
bank0,445E,stage_and_commit_0a56_block,annotation,19,0A56 0A57 0A5E 0A60,0A56 0A57 0A5E 0A60,,agree
bank0,4777,stage_0a54_0a55_then_dispatch,annotation,12,0A54,0A54,,agree
bank0,4B1F,dec_a_store_and_advance_dptr,annotation,3,,,,vacuous
bank0,530E,stage_009a_dispatch_to_4bb0,annotation,3,009A,009A,,agree
bank0,5349,dispatch_to_4c5d,annotation,0,,,,vacuous
bank0,537F,stage_0094_block_dispatch_4d96,annotation,13,0094 0096 0098 0A59,0094 0096 0098 0A59,,agree
bank0,53AF,stage_009b_block_branch_dispatch,annotation,16,0094 0096 009B 0A5A,0094 0096 009B 0A5A,,agree
