callee_scope,callee_addr,citer_scope,citer_addr,verdict,gap,end,next,window,transfers,hit_site,hit_text,at_next,neighbour_edge,db,unassigned,truncated,frame_onto,frame_over
bank0,9AAD,bank0,9C47,no-transfer,94,9C48,9CA6,9006e6e064036007900466e030e44e900823e030e61f900829e06005e024fe801e900828e004f0e064147031f0900823e054bff022900829e06414600de004f0e090623493901807f022900828e004f0e0b40a09e4f0900823e04440f0229006e6,,,,,,0,0,no,24,0
bank0,B4A8,bank0,B5B2,no-transfer,0,B5CC,B5CC,90089c,,,,,,0,0,no,24,0
bank0,B4A8,bank0,B5CC,no-transfer,0,B5D2,B5D2,229006,,,,,,0,0,yes,24,0
bank0,B4A8,bank0,B5D2,no-transfer,0,B5D3,B5D3,900602,,,,,,0,0,no,24,0
bank0,B5D3,bank0,B736,no-transfer,0,B737,B737,12b9d8,0xB737 lcall 0xb9d8,,,,,0,0,no,24,0
bank0,B737,bank0,B82E,no-transfer,0,B83B,B83B,12b9d8,0xB83B lcall 0xb9d8,,,,,0,0,no,24,0
bank0,C26E,bank0,C278,no-transfer,16,C285,C295,901605e04408f022901605e054f7f022901665,,,,,bank0:9334 lcall,0,0,no,24,0
bank0,D5DB,bank0,D5D4,no-transfer,0,D5DB,D5DB,901304,,,,,bank0:D5DB ljmp,0,0,no,24,0
bank0,DFA0,bank0,E010,no-transfer,0,E014,E014,b40115,,,,,bank0:DFDF lcall,0,0,no,24,0
bank0,DFA0,bank0,E014,no-transfer,0,E020,E020,fd12df,,,,,bank0:DFDF lcall,0,0,yes,22,2
bank0,E033,bank0,E02D,no-transfer,0,E033,E033,e5f0f0,,,,,bank0:DF78 lcall,0,0,no,24,0
bank0,E7B8,bank0,E893,no-transfer,0,E896,E896,900a50,,,,,bank0:E6F4 ljmp,0,0,no,24,0
bank0,E7BB,bank1,CA02,no-transfer,0,CA16,CA16,9003a3,,,,,,0,0,no,24,0
bank0,F0A1,bank1,EFDA,no-transfer,42,EFE8,F012,02f01802f02202f02c02f02c02f02c02f02c02f02c02f02c02f02c02f03602f04002f04002f04002f04002f040,0xEFE8 ljmp 0xf018; 0xEFEB ljmp 0xf022; 0xEFEE ljmp 0xf02c; 0xEFF1 ljmp 0xf02c; 0xEFF4 ljmp 0xf02c; 0xEFF7 ljmp 0xf02c; 0xEFFA ljmp 0xf02c; 0xEFFD ljmp 0xf02c; 0xF000 ljmp 0xf02c; 0xF003 ljmp 0xf036; 0xF006 ljmp 0xf040; 0xF009 ljmp 0xf040; 0xF00C ljmp 0xf040; 0xF00F ljmp 0xf040; 0xF012 ljmp 0xf040,,,,,0,0,no,24,0
bank0,F0A1,bank1,F02C,no-transfer,1,F02F,F030,90f0a112,,,,,,0,0,yes,24,0
bank0,F1E9,bank0,F495,no-transfer,0,F498,F498,f0900a,,,,,bank0:F239 ljmp,0,0,yes,21,3
bank1,8ABB,bank1,8A98,no-transfer,0,8AA7,8AA7,9006f9,,,,,,0,0,no,24,0
bank1,9B3C,bank0,DE83,no-transfer,0,DF1E,DF1E,900a47,,,,,,0,0,no,24,0
bank1,9C53,bank0,DE83,no-transfer,0,DF1E,DF1E,900a47,,,,,,0,0,no,24,0
bank1,9FF0,bank1,9FCA,no-transfer,0,9FCB,9FCB,900724,,,,,bank1:9FC1 lcall,0,0,no,24,0
bank1,A24E,bank1,A2DA,no-transfer,24,A2DB,A2F3,902134ab82ac8390043412888612886340d2e490070ef022900440,0xA2E5 lcall 0x8886; 0xA2E8 lcall 0x8863,,,,bank1:AB64 lcall,0,0,no,24,0
bank1,A8C5,bank1,A8DA,no-transfer,0,A8DF,A8DF,c2e5f0,,,,,bank1:A841 ljmp,0,0,no,24,0
bank1,A8DF,bank1,A8E9,no-transfer,0,A8F0,A8F0,900623,,,,,bank1:A841 ljmp,0,0,no,24,0
bank1,A8E4,bank1,A8E9,no-transfer,0,A8F0,A8F0,900623,,,,,bank1:A841 ljmp,0,0,no,24,0
bank1,B33B,bank1,AD68,no-transfer,0,AD77,AD77,02b56c,0xAD77 ljmp 0xb56c,,,,bank1:AD85 ljmp,0,0,no,24,0
bank1,B43B,bank1,B415,no-transfer,0,B41C,B41C,f0c394,,,,,bank1:B33B ljmp,0,0,yes,24,0
bank1,C931,bank1,C924,no-transfer,0,C931,C931,900834,,,,,bank1:C90C ljmp,0,0,no,24,0
bank1,CAB8,bank1,C924,no-transfer,0,C931,C931,900834,,,,,,0,0,no,24,0
bank1,DEC4,bank1,9A78,no-transfer,45,9AA5,9AD2,901c29e020e319901c31e05403b40306e4900699f022900699e024144002f0229020097404f09006967480f02202c6db,0x9AD2 ljmp 0xc6db,,,,bank1:9A41 lcall,0,0,no,24,0
bank1,E5D6,bank1,E57E,boundary-cut,2,E580,E582,12e5d6d007,0xE580 lcall 0xe5d6,0xE580,lcall 0xe5d6,no,bank1:E5A7 lcall,0,0,no,24,0
common,0019,common,0EF3,no-transfer,0,0F12,0F12,54fbf6,,,,,,0,0,no,24,0
common,0046,bank0,DE4D,no-transfer,0,DE56,DE56,900a35,,,,,,0,0,no,24,0
common,0408,pd,34FB,no-transfer,0,3500,3500,75f060,,,,,,0,0,no,24,0
common,0609,bank0,BAAE,no-transfer,0,BABF,BABF,900460,,,,,,0,0,no,24,0
common,0806,bank1,9F04,no-transfer,0,9FC1,9FC1,129fcb,0x9FC1 lcall 0x9fcb,,,,,0,0,no,24,0
common,0862,bank0,D2DA,no-transfer,0,D2EF,D2EF,901c14,,,,,,0,0,no,24,0
common,0862,bank0,D2EF,no-transfer,0,D304,D304,901c38,,,,,,0,0,no,24,0
common,0862,bank0,D304,no-transfer,0,D319,D319,e0547c,,,,,,0,0,no,24,0
common,086B,bank0,D28E,no-transfer,0,D2BE,D2BE,22901c,,,,,,0,0,yes,24,0
common,086B,bank0,D2BE,no-transfer,0,D2BF,D2BF,901c00,,,,,,0,0,no,24,0
common,08A0,bank0,B82E,no-transfer,0,B83B,B83B,12b9d8,0xB83B lcall 0xb9d8,,,,,0,0,no,24,0
common,08CD,bank0,BA15,no-transfer,0,BA16,BA16,9008cc,,,,,,0,0,no,24,0
common,08CD,bank0,BA16,no-transfer,0,BA1C,BA1C,9008ce,,,,,,0,0,no,24,0
common,08CE,bank0,BA15,no-transfer,0,BA16,BA16,9008cc,,,,,,0,0,no,24,0
common,08CE,bank0,BA16,no-transfer,0,BA1C,BA1C,9008ce,,,,,,0,0,no,24,0
common,08CE,bank0,BA1C,no-transfer,0,BA23,BA23,9009cc,,,,,,0,0,no,24,0
common,08CE,bank0,BADB,no-transfer,0,BADE,BADE,e475f0,,,,,,0,0,yes,24,0
common,08CE,bank0,BBC7,no-transfer,0,BBDD,BBDD,d393ff,,,,,,0,0,no,24,0
common,08CF,bank0,BA15,no-transfer,0,BA16,BA16,9008cc,,,,,,0,0,no,24,0
common,08CF,bank0,BA16,no-transfer,0,BA1C,BA1C,9008ce,,,,,,0,0,no,24,0
common,08CF,bank0,BA1C,no-transfer,0,BA23,BA23,9009cc,,,,,,0,0,no,24,0
common,08CF,bank0,BBC7,no-transfer,0,BBDD,BBDD,d393ff,,,,,,0,0,no,24,0
common,08E0,bank0,BCB6,no-transfer,0,BCBD,BCBD,75f002,,,,,,0,0,no,24,0
common,0A5A,bank0,B9AE,no-transfer,0,B9C6,B9C6,900318,,,,,,0,0,no,24,0
common,0A5A,bank0,BDD2,no-transfer,0,BDDA,BDDA,93900a,,,,,,0,0,yes,24,0
common,0A5A,bank0,F078,no-transfer,0,F079,F079,f0e4a3,,,,,,0,0,no,24,0
common,0A5A,bank0,F079,no-transfer,0,F07E,F07E,04f0e4,,,,,,0,0,no,24,0
common,0A5A,bank0,F07E,no-transfer,0,F07F,F07F,f0e4a3,,,,,,0,0,no,24,0
common,0A5A,bank0,F07F,no-transfer,0,F080,F080,e4a3f0,,,,,,0,0,no,24,0
common,0A5A,bank0,F080,no-transfer,0,F081,F081,a3f0a3,,,,,,0,0,no,24,0
common,0A5A,bank0,F081,no-transfer,0,F083,F083,a3f0a3,,,,,,0,0,no,24,0
common,0A5A,bank0,F083,no-transfer,0,F089,F089,a3f07e,,,,,,0,0,yes,24,0
common,0A5A,bank0,F089,no-transfer,0,F08B,F08B,7e0f90,,,,,,0,0,yes,24,0
common,0A5A,bank0,F08B,no-transfer,0,F090,F090,740ff0,,,,,,0,0,no,24,0
common,0A5A,bank0,F095,no-transfer,0,F09F,F09F,748490,,,,,,0,0,yes,24,0
common,0A5A,bank0,F09F,no-transfer,0,F0A1,F0A1,900f60,,,,,,0,0,no,24,0
common,0A5A,bank0,F0A3,no-transfer,0,F0B1,F0B1,a3f07e,,,,,,0,0,yes,24,0
common,0A5A,bank0,F0C4,no-transfer,0,F0C8,F0C8,f0a3f0,,,,,,0,0,no,22,2
common,0A5A,bank0,F0C8,no-transfer,0,F0CA,F0CA,f0900f,,,,,,0,0,yes,24,0
common,0A5A,bank0,F0CA,no-transfer,0,F0DC,F0DC,a3f07e,,,,,,0,0,yes,23,1
common,0A5A,bank0,F0ED,no-transfer,0,F0EF,F0EF,900f60,,,,,,0,0,no,23,1
common,0A5A,bank0,F0F3,no-transfer,0,F0FE,F0FE,74fef0,,,,,,0,0,no,24,0
common,1042,pd,1041,no-transfer,0,104D,104D,a88285,,,,,,0,0,yes,24,0
common,10F0,pd,10E8,no-transfer,0,10F1,10F1,e493fb,,,,,,0,0,no,24,0
common,1204,bank0,DC60,no-transfer,0,DC77,DC77,901202,,,,,,0,0,no,24,0
common,1204,bank0,DC77,no-transfer,0,DC8D,DC8D,901200,,,,,,0,0,no,24,0
