program,row_addr,row_name,insn_addr,bytes,ghidra_text,disasm_text,ghidra_canonical,disasm_canonical,reason,verdict
bank0,724B,normalize_sign_pair_4byte,7251,b2d5,cpl 0xd5,cpl  psw.5,cpl 0xd5,cpl 0xd5,BIT_UNSUPPORTED 0xB2,agree
bank0,724B,normalize_sign_pair_4byte,7264,b2d5,cpl 0xd5,cpl  psw.5,cpl 0xd5,cpl 0xd5,BIT_UNSUPPORTED 0xB2,agree
bank0,8044,ajmp_into_83ff_tail,8044,815d,ajmp 0x845d,ajmp 0x845d,ajmp 0x845d,ajmp 0x845d,GAP_MNEMONICS ajmp,agree
bank0,9167,gate_on_074c_then_dispatch,918D,91af,acall 0x94af,acall 0x94af,acall 0x94af,acall 0x94af,GAP_MNEMONICS acall,agree
bank0,9167,gate_on_074c_then_dispatch,9190,91b5,acall 0x94b5,acall 0x94b5,acall 0x94b5,acall 0x94b5,GAP_MNEMONICS acall,agree
bank0,9167,gate_on_074c_then_dispatch,9192,0191,ajmp 0x9091,ajmp 0x9091,ajmp 0x9091,ajmp 0x9091,GAP_MNEMONICS ajmp,agree
bank0,9277,FUN_CODE_9277,9287,92a0,"mov 0xa0, CY","mov  p2.0,c",mov 0xa0|c,mov 0xa0|c,BIT_UNSUPPORTED 0x92,agree
bank0,9277,FUN_CODE_9277,928A,92a9,"mov 0xa9, CY","mov  ie.1,c",mov 0xa9|c,mov 0xa9|c,BIT_UNSUPPORTED 0x92,agree
bank0,9277,FUN_CODE_9277,9290,92d1,"mov 0xd1, CY","mov  psw.1,c",mov 0xd1|c,mov 0xd1|c,BIT_UNSUPPORTED 0x92,agree
bank0,9277,FUN_CODE_9277,9296,92e9,"mov 0xe9, CY","mov  0xe8.1,c",mov 0xe9|c,mov 0xe9|c,BIT_UNSUPPORTED 0x92,agree
bank0,A663,gate_0767_06e6_0741_then_dispatch_076f,A687,01a6,ajmp 0xa0a6,ajmp 0xa0a6,ajmp 0xa0a6,ajmp 0xa0a6,GAP_MNEMONICS ajmp,agree
bank0,D091,dispatch_on_0860,D14B,d173,acall 0xd673,acall 0xd673,acall 0xd673,acall 0xd673,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D14E,d198,acall 0xd698,acall 0xd698,acall 0xd698,acall 0xd698,GAP_MNEMONICS acall,agree
