addr,name,from_register,register_status,derivation,programs
0x0740,PROJECT_ID,PROJECT_ID,confirmed-working,scalar-name,bank0;bank1
0x0741,AP_OEM,AP_OEM (ENABLE_MANUAL_CTRL),confirmed-working,scalar-name,bank0;bank1
0x0743,CTGP_DB_CTRL,CTGP_DB_CTRL / OFFSET,confirmed-working,override,bank0;bank1
0x0744,CTGP_OFFSET,CTGP_DB_CTRL / OFFSET,confirmed-working,override,bank0;bank1
0x0745,CTGP_DB_TPP_TARGET,CTGP_DB_CTRL / OFFSET,confirmed-working,override,bank0;bank1
0x0746,CTGP_DB_MAX_TGP,CTGP_DB_CTRL / OFFSET,confirmed-working,override,bank0;bank1
0x074E,BIOS_OEM,BIOS_OEM (FN_LOCK_STATUS),confirmed-working,scalar-name,bank0;bank1
0x0765,SUPPORT_1,SUPPORT_1,absent,scalar-name,bank0;bank1
0x0766,SUPPORT_2,SUPPORT_2,present-untested,scalar-name,bank0;bank1
0x0767,TRIGGER,TRIGGER,confirmed-working,scalar-name,bank0;bank1
0x0768,SWITCH_STATUS,SWITCH_STATUS (SUPER_KEY_LOCK_STATUS),confirmed-working,scalar-name,bank0;bank1
0x0726,OEM_9,OEM_9 (AC_AUTO_BOOT_ENABLE),absent,scalar-name,bank0;bank1
0x07A6,OEM_4_CHARGING_PROFILE,OEM_4 (CHARGING_PROFILE_MASK),confirmed-working-partially,override,bank0;bank1
0x07B9,CHARGE_CTRL,CHARGE_CTRL (numeric threshold),unknown-not-absent,scalar-name,bank0;bank1
0x07D0,DBD1,DBD1 (DSDT name; ECSpec calls the same byte BATTERY_CHARGE_LIMIT_DOWN),unknown-not-absent-DO-NOT-WRITE-BLIND,scalar-name,bank0;bank1
0x07D1,DBD2,"DBD2 (DSDT name; no vendor constant, no committed Windows writer)",unknown-not-absent-DO-NOT-WRITE-BLIND,scalar-name,bank0;bank1
0x0748,LIGHTBAR_AC_CTRL,LIGHTBAR_AC_CTRL / RED / GREEN / BLUE,confirmed-not-this-mechanism,name-split,bank0;bank1
0x0749,LIGHTBAR_AC_CTRL_RED,LIGHTBAR_AC_CTRL / RED / GREEN / BLUE,confirmed-not-this-mechanism,name-split,bank0;bank1
0x074A,LIGHTBAR_AC_CTRL_GREEN,LIGHTBAR_AC_CTRL / RED / GREEN / BLUE,confirmed-not-this-mechanism,name-split,bank0;bank1
0x074B,LIGHTBAR_AC_CTRL_BLUE,LIGHTBAR_AC_CTRL / RED / GREEN / BLUE,confirmed-not-this-mechanism,name-split,bank0;bank1
0x07E2,LIGHTBAR_BAT_CTRL,LIGHTBAR_BAT_CTRL / RED / GREEN / BLUE,unknown-not-absent,name-split,bank0;bank1
0x07E3,LIGHTBAR_BAT_CTRL_RED,LIGHTBAR_BAT_CTRL / RED / GREEN / BLUE,unknown-not-absent,name-split,bank0;bank1
0x07E4,LIGHTBAR_BAT_CTRL_GREEN,LIGHTBAR_BAT_CTRL / RED / GREEN / BLUE,unknown-not-absent,name-split,bank0;bank1
0x07E5,LIGHTBAR_BAT_CTRL_BLUE,LIGHTBAR_BAT_CTRL / RED / GREEN / BLUE,unknown-not-absent,name-split,bank0;bank1
0x078C,KBD_STATUS,KBD_STATUS,present-untested,scalar-name,bank0;bank1
0x07CC,USB_C_POWER_PRIORITY,USB_C_POWER_PRIORITY,present-untested,scalar-name,bank0;bank1
0x043E,CPU_TEMP,CPU_TEMP,confirmed-working,scalar-name,bank0;bank1
0x044F,GPU_TEMP,GPU_TEMP,confirmed-working,scalar-name,bank0;bank1
0x0400,BAT_POWER_UNIT_0,BAT_POWER_UNIT,present-untested,override,bank0;bank1
0x0401,BAT_POWER_UNIT_1,BAT_POWER_UNIT,present-untested,override,bank0;bank1
0x0402,BAT_DESIGN_CAPACITY_0,BAT_DESIGN_CAPACITY,present-untested,override,bank0;bank1
0x0403,BAT_DESIGN_CAPACITY_1,BAT_DESIGN_CAPACITY,present-untested,override,bank0;bank1
0x0390,XDATA_0390,XDATA_0390,present-untested,scalar-name,bank0;bank1
0x0404,BAT_FULL_CAPACITY_1,BAT_FULL_CAPACITY_1,present-untested,scalar-name,bank0;bank1
0x0408,BAT_DESIGN_VOLTAGE_1,BAT_DESIGN_VOLTAGE_1,present-untested,scalar-name,bank0;bank1
