# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand. See ../README.md.
# Shape: the 0x0400-0x045F third of the same three blocks, the same eight
# marks two seconds after the 0700 capture's, so the grader sees one action
# marked in every watcher. CPU_TEMP and GPU_TEMP climb throughout, which is
# what makes the duty drift beside them thermal rather than a response to the
# write, and 0x0402 is context, not one of the two confirmed bytes. Block 2's
# last change is at 12:08:50 because that is the last sweep before its watcher
# exits; nothing after it is in any capture of this day, which is the hole the
# missing restore mark leaves. The one §4.1 move this set puts in a graded
# window is in the 0700 capture, and nothing here moves; these two temperatures
# are §4.5 context and are graded by no branch of this tool either way. Not a
# prediction that a die warms like this, nor that a PL moves.
ts,addr,old,new
2026-01-01T12:00:04.000+01:00,0x043E,0x32,0x33
2026-01-01T12:00:12.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:19.000+01:00,0x043E,0x33,0x35
2026-01-01T12:00:26.000+01:00,0x0402,0x11,0x12
2026-01-01T12:00:36.000+01:00,0x044F,0x30,0x31
2026-01-01T12:00:42.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:00:50.000+01:00,0x043E,0x35,0x36
2026-01-01T12:01:00.000+01:00,0x043E,0x36,0x38
2026-01-01T12:01:05.000+01:00,0x044F,0x31,0x32
2026-01-01T12:01:12.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:01:15.000+01:00,0x043E,0x38,0x37
2026-01-01T12:05:12.000+01:00,MARK,,no-op wrote 0x0751=0xA0
2026-01-01T12:05:20.000+01:00,0x043E,0x37,0x39
2026-01-01T12:05:44.000+01:00,0x044F,0x32,0x33
2026-01-01T12:08:32.000+01:00,MARK,,wrote 0x0751=0x00
2026-01-01T12:08:50.000+01:00,0x043E,0x39,0x3B
2026-01-01T12:15:12.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:15:20.000+01:00,0x043E,0x3B,0x3D
2026-01-01T12:15:36.000+01:00,0x044F,0x33,0x34
2026-01-01T12:15:42.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:15:50.000+01:00,0x043E,0x3D,0x3F
2026-01-01T12:16:12.000+01:00,MARK,,restored 0x0751=0x00
2026-01-01T12:16:18.000+01:00,0x043E,0x3F,0x3E
