# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand. See ../README.md.
# Shape: the 0x0700-0x07FF third of a §3 two-value day, 0xA0 and then 0x10,
# all in one file the way §3 takes them -- ec_watch.py appends to a --csv that
# already exists, so the marks are what separate the blocks. Six marks, two
# blocks, each with a control arm, a write and a restore, and every mark in
# all three captures and spelled the same way in all of them: this is the
# shape §6 asks for and the one the mark census and the per-block grading are
# read against, so nothing here is meant to be caught.
#
# Block 2's control arm writes 0x00 back, the value block 1's restore left
# behind, so the day reads as one session without a row invented for a mode
# the two blocks do not use. The duty byte drifts throughout and nothing
# §4.1-§4.3 names moves at all, as in ../../0751-isolation-run/. It is not a
# prediction that a re-run produces this, nor that a day holds two values.
ts,addr,old,new
2026-01-01T12:00:04.000+01:00,0x0796,0x2F,0x30
2026-01-01T12:00:10.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:12.400+01:00,0x075B,0x64,0x66
2026-01-01T12:00:25.000+01:00,0x075B,0x66,0x67
2026-01-01T12:00:40.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:00:40.600+01:00,0x0751,0x10,0xA0
2026-01-01T12:00:42.750+01:00,0x075B,0x67,0x69
2026-01-01T12:00:55.000+01:00,0x075C,0x50,0x51
2026-01-01T12:01:10.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:01:10.500+01:00,0x0751,0xA0,0x10
2026-01-01T12:01:12.000+01:00,0x075B,0x69,0x6A
2026-01-01T12:05:10.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:05:14.000+01:00,0x075B,0x6A,0x6C
2026-01-01T12:05:42.000+01:00,0x075B,0x6C,0x6D
2026-01-01T12:05:55.000+01:00,0x075C,0x51,0x52
2026-01-01T12:06:10.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:06:10.600+01:00,0x0751,0x00,0x10
2026-01-01T12:06:12.750+01:00,0x075B,0x6D,0x6F
2026-01-01T12:06:40.000+01:00,MARK,,restored 0x0751=0x00
2026-01-01T12:06:40.500+01:00,0x0751,0x10,0x00
2026-01-01T12:06:42.000+01:00,0x075B,0x6F,0x70
