# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand. See ../README.md.
# Shape: the 0x0400-0x045F third of the same two blocks, the same twelve mark
# rounds two seconds after the 0700 capture's, so the grader sees one action
# marked in every watcher. CPU_TEMP and GPU_TEMP climb throughout, which is
# what makes the duty drift beside them thermal rather than a response to the
# write, and 0x0402 is context, not one of the two confirmed bytes. The
# temperatures move in the two windows on either side of `watch over` as well
# as in the write window, so the boundary is exercised here too rather than
# only in the 0700 capture. It is not a prediction that a die warms like this.
ts,addr,old,new
2026-01-01T12:00:04.000+01:00,0x043E,0x32,0x33
2026-01-01T12:00:12.000+01:00,MARK,,settled
2026-01-01T12:00:20.000+01:00,0x043E,0x33,0x35
2026-01-01T12:00:30.000+01:00,0x0402,0x11,0x12
2026-01-01T12:00:36.000+01:00,0x044F,0x30,0x31
2026-01-01T12:00:42.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:50.000+01:00,0x043E,0x35,0x36
2026-01-01T12:01:00.000+01:00,0x043E,0x36,0x38
2026-01-01T12:01:05.000+01:00,0x044F,0x31,0x32
2026-01-01T12:01:12.000+01:00,MARK,,held
2026-01-01T12:01:20.000+01:00,0x043E,0x38,0x37
2026-01-01T12:01:42.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:01:50.000+01:00,0x043E,0x37,0x39
2026-01-01T12:02:10.000+01:00,0x043E,0x39,0x3B
2026-01-01T12:02:30.000+01:00,0x044F,0x32,0x33
2026-01-01T12:02:42.000+01:00,MARK,,watch over
2026-01-01T12:03:05.000+01:00,0x043E,0x3B,0x3C
2026-01-01T12:03:12.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:03:15.000+01:00,0x043E,0x3C,0x3D
2026-01-01T12:03:18.000+01:00,0x044F,0x33,0x34
2026-01-01T12:05:12.000+01:00,MARK,,settled
2026-01-01T12:05:20.000+01:00,0x043E,0x3D,0x3F
2026-01-01T12:05:30.000+01:00,0x0402,0x12,0x13
2026-01-01T12:05:36.000+01:00,0x044F,0x34,0x35
2026-01-01T12:05:42.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:05:50.000+01:00,0x043E,0x3F,0x41
2026-01-01T12:06:00.000+01:00,0x043E,0x41,0x43
2026-01-01T12:06:05.000+01:00,0x044F,0x35,0x36
2026-01-01T12:06:12.000+01:00,MARK,,held
2026-01-01T12:06:20.000+01:00,0x043E,0x43,0x42
2026-01-01T12:06:42.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:06:50.000+01:00,0x043E,0x42,0x44
2026-01-01T12:07:10.000+01:00,0x043E,0x44,0x46
2026-01-01T12:07:30.000+01:00,0x044F,0x36,0x37
2026-01-01T12:07:42.000+01:00,MARK,,watch over
2026-01-01T12:08:05.000+01:00,0x043E,0x46,0x47
2026-01-01T12:08:12.000+01:00,MARK,,restored 0x0751=0x00
2026-01-01T12:08:15.000+01:00,0x043E,0x47,0x48
