# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# timestamp below was written by hand. See ../README.md.
# Shape: the 0x0F00-0x0F5F fan-table third of the same two blocks, the same
# twelve mark rounds a second after the 0700 capture's so the grader sees one
# action marked in every watcher, and no change rows at all -- §4.2's
# prediction. Marks only is what a quiet page looks like from three consoles.
# It carries the three stage boundaries as well as the three actions, because
# the cross-console checks have to reach them: a `watch over` this capture
# missed is as much a hole in the record as a `wrote` it missed. Not a
# prediction that the table stays put.
ts,addr,old,new
2026-01-01T12:00:11.000+01:00,MARK,,settled
2026-01-01T12:00:41.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:01:11.000+01:00,MARK,,held
2026-01-01T12:01:41.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:02:41.000+01:00,MARK,,watch over
2026-01-01T12:03:11.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:05:11.000+01:00,MARK,,settled
2026-01-01T12:05:41.000+01:00,MARK,,no-op wrote 0x0751=0x00
2026-01-01T12:06:11.000+01:00,MARK,,held
2026-01-01T12:06:41.000+01:00,MARK,,wrote 0x0751=0x10
2026-01-01T12:07:41.000+01:00,MARK,,watch over
2026-01-01T12:08:11.000+01:00,MARK,,restored 0x0751=0x00
