# CONSTRUCTED INPUT, NOT A CAPTURE. No EC was read to make this file; every
# byte and timestamp below was written by hand so the grader can be run over
# §6's file set offline. See ../README.md.
# Shape: the 0x0400-0x045F half of the same three actions, recorded seconds
# after the 0700 capture's marks so the grader sees one action marked in every
# watcher and three windows. CPU_TEMP and GPU_TEMP climb throughout, which is
# what makes the PWM drift beside them thermal rather than a response to the
# write. 0x0402 is context, not one of the two confirmed bytes. Not a
# prediction that a die warms like this.
ts,addr,old,new
2026-01-01T12:00:04.000+01:00,0x043E,0x32,0x33
2026-01-01T12:00:12.000+01:00,MARK,,no-op wrote 0x0751=0x10
2026-01-01T12:00:19.000+01:00,0x043E,0x33,0x35
2026-01-01T12:00:26.000+01:00,0x0402,0x11,0x12
2026-01-01T12:00:36.000+01:00,0x044F,0x30,0x31
2026-01-01T12:00:42.000+01:00,MARK,,wrote 0x0751=0xA0
2026-01-01T12:00:50.000+01:00,0x043E,0x35,0x36
2026-01-01T12:01:00.000+01:00,0x043E,0x36,0x38
2026-01-01T12:01:05.000+01:00,0x044F,0x31,0x32
2026-01-01T12:01:12.000+01:00,MARK,,restored 0x0751=0x10
2026-01-01T12:01:15.000+01:00,0x043E,0x38,0x37
