ts,ac,status,capacity,charge_now,current_now,voltage_now,profile,ec_hex
2026-09-09T00:03:24+02:00,0,Discharging,91,1820000,2041000,14840000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100f9071c07f8390000040033000700000000000000941400001e000031715502005200cb808001b30000000000013c430507f9000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000080cf907bd0195510a5b5b3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:04:24+02:00,0,Discharging,89,1780000,2891000,14860000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001004b0bf4060c3a0000040034000700000000000000941c000029000031715502005200cb808001b30000000000013c430507f6000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000080c4b0bbd0195510a59593b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:05:24+02:00,0,Discharging,87,1740000,2517000,14830000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d509cc06ee3900000400350007000000000000009419000023000032715502005200cb808001b30000000000013c430507f9000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000120cd509bd0195510a57573b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:06:24+02:00,0,Discharging,86,1720000,2517000,14859000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d509b8060b3a00000400340007000000000000009419000025000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000120cd509bd0195510a56563b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:07:24+02:00,0,Discharging,84,1680000,1939000,14835000,Trickle,00000410d0070000603b7d003e003e0092070000000000000000000000000000000000000000000000000000000000000000010093079006f3390000040033000700000000000000941300001d000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000120c9307bd0195510a54543b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:08:25+02:00,0,Discharging,82,1640000,2007000,14783000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d7076806bf390000040033000700000000000000931400001d000032715502005200cb808001b30000000000013c430507f6000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000120cd707bd0195510a52523b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:09:25+02:00,0,Discharging,81,1620000,2007000,14757000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d7075406a5390000040034000700000000000000931400001d000032715502005200cb808001b30000000000013c430507f9000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00001c0cd707bd0195510a51513b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:10:25+02:00,0,Discharging,79,1580000,2075000,14712000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001001b082c0678390000040035000700000000000000931400001d000032715502005200cb808001b30000000000013c430507ee000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00001c0c1b08bd0195510a4f4f3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:11:25+02:00,0,Discharging,77,1540000,2007000,14698000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d70704066a390000040034000700000000000000921400001e000032715502005200cb808001b30000000000013c430507f4000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00001c0cd707bd0195510a4d4d3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:12:25+02:00,0,Discharging,75,1500000,1871000,14644000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100b507dc0534390000040034000700000000000000921300001c000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000260cb507bd0195510a4b4b3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
