ts,phase,ac,charging,capacity,remaining_mwh,wmi_rate_mw,ec_current_ma,ec_voltage_mv,ec_07a6,ec_07b9,ec_07d0,ec_07d1,ec_07cc
2026-09-19T11:36:31+02:00,biosdefaults_nohdmi_stationary,1,1,63,19152,27992,1700,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:36:43+02:00,biosdefaults_nohdmi_stationary,1,1,63,19152,27992,1700,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:36:54+02:00,biosdefaults_nohdmi_stationary,1,1,64,19152,27992,1700,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:37:05+02:00,biosdefaults_nohdmi_stationary,1,1,64,19456,27432,1666,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:37:16+02:00,biosdefaults_nohdmi_stationary,1,1,64,19456,27432,1666,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:37:27+02:00,biosdefaults_nohdmi_stationary,1,1,64,19456,27432,1666,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:37:39+02:00,biosdefaults_nohdmi_stationary,1,1,65,19760,27432,1666,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:37:50+02:00,biosdefaults_nohdmi_stationary,1,1,65,19760,26873,1632,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:01+02:00,biosdefaults_nohdmi_stationary,1,1,65,19760,26873,1632,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:12+02:00,biosdefaults_nohdmi_stationary,1,1,65,19760,26873,1632,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:24+02:00,biosdefaults_nohdmi_stationary,1,1,66,20064,26873,1632,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:35+02:00,biosdefaults_nohdmi_stationary,1,1,66,20064,26873,1598,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:46+02:00,biosdefaults_nohdmi_stationary,1,1,66,20064,26313,1598,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:38:57+02:00,biosdefaults_nohdmi_stationary,1,1,66,20064,26313,1598,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:39:08+02:00,biosdefaults_nohdmi_stationary,1,1,67,20368,26313,1598,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:39:20+02:00,biosdefaults_nohdmi_stationary,1,1,67,20368,26313,1598,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:39:31+02:00,biosdefaults_nohdmi_stationary,1,1,67,20368,25753,1564,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:39:42+02:00,biosdefaults_nohdmi_stationary,1,1,67,20368,25753,1564,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:39:53+02:00,biosdefaults_nohdmi_stationary,1,1,68,20672,25753,1564,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:40:05+02:00,biosdefaults_nohdmi_stationary,1,1,68,20672,25193,1530,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:40:16+02:00,biosdefaults_nohdmi_stationary,1,1,68,20672,25193,1530,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:40:27+02:00,biosdefaults_nohdmi_stationary,1,1,68,20672,25193,1530,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:40:38+02:00,biosdefaults_nohdmi_stationary,1,1,69,20976,25193,1530,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:40:49+02:00,biosdefaults_nohdmi_stationary,1,1,69,20976,25193,1530,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:00+02:00,biosdefaults_nohdmi_stationary,1,1,69,20976,25193,1496,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:12+02:00,biosdefaults_nohdmi_stationary,1,1,69,20976,24633,1496,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:23+02:00,biosdefaults_nohdmi_stationary,1,1,69,20976,24633,1496,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:34+02:00,biosdefaults_nohdmi_stationary,1,1,70,21280,24633,1496,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:46+02:00,biosdefaults_nohdmi_stationary,1,1,70,21280,24633,1496,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:41:57+02:00,biosdefaults_nohdmi_stationary,1,1,70,21280,24073,1462,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:42:09+02:00,biosdefaults_nohdmi_stationary,1,1,70,21280,0,1156,16396,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:42:20+02:00,biosdefaults_nohdmi_stationary,1,1,71,21584,23446,1428,16419,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:42:31+02:00,biosdefaults_nohdmi_stationary,1,1,71,21584,23381,1428,16373,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:42:43+02:00,biosdefaults_nohdmi_stationary,1,1,71,21584,23413,1428,16396,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:42:54+02:00,biosdefaults_nohdmi_stationary,1,1,71,21584,0,1394,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:43:06+02:00,biosdefaults_nohdmi_stationary,1,1,71,21584,23381,1428,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:43:17+02:00,biosdefaults_nohdmi_stationary,1,1,72,21888,23513,1428,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:43:28+02:00,biosdefaults_nohdmi_stationary,1,1,72,21888,23513,1428,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:43:40+02:00,biosdefaults_nohdmi_stationary,1,1,72,21888,22954,1394,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:43:51+02:00,biosdefaults_nohdmi_stationary,1,1,72,21888,22954,1394,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:44:02+02:00,biosdefaults_nohdmi_stationary,1,1,73,21888,22954,1394,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:44:14+02:00,biosdefaults_nohdmi_stationary,1,1,73,22192,22954,1394,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:44:25+02:00,biosdefaults_nohdmi_stationary,1,1,73,22192,22394,1360,16466,0x28,0x00,0x00,0x00,0x00
