ts,phase,t_s,target_written_mv,target_readback_mv,held,requested_mv,ec_current_ma,ec_voltage_mv,profile_07a6,gate_0490,ac,charging,capacity,remaining_mwh,wmi_rate_mw
2026-09-21T20:08:33+02:00,stick_100pct,1.9,16300,16400,0,17400,2755,14697,0x28,0x0E,0,0,93,28272,-38991
2026-09-21T20:08:36+02:00,stick_100pct,4.8,16300,16400,0,17400,2857,14637,0x28,0x0E,0,0,92,28272,-38991
2026-09-21T20:08:39+02:00,stick_100pct,7.7,16300,16400,0,17400,3027,14637,0x28,0x0E,0,0,92,27968,-31865
2026-09-21T20:08:42+02:00,stick_100pct,10.6,16300,16400,0,17400,2823,14671,0x28,0x0E,0,0,92,27968,-44306
2026-09-21T20:08:45+02:00,stick_100pct,13.7,16300,16400,0,17400,3367,14671,0x28,0x0E,0,0,92,27968,-39421
2026-09-21T20:08:48+02:00,stick_100pct,16.5,16300,16400,0,17400,2755,14600,0x28,0x0E,0,0,92,27968,-41915
2026-09-21T20:08:50+02:00,stick_100pct,19.4,16300,16400,0,17400,2993,14600,0x28,0x0E,0,0,92,27968,-41915
2026-09-21T20:08:53+02:00,stick_100pct,22.5,16300,16400,0,17400,3435,14600,0x28,0x0E,0,0,92,27968,-33273
2026-09-21T20:08:57+02:00,stick_100pct,25.6,16300,16400,0,17400,3367,14645,0x28,0x0E,0,0,92,27968,-50151
2026-09-21T20:09:00+02:00,stick_100pct,28.5,16300,16400,0,17400,2687,14645,0x28,0x0E,0,0,91,27968,-49310
2026-09-21T20:09:03+02:00,stick_100pct,31.5,16300,16400,0,17400,3231,14453,0x28,0x0E,0,0,91,27664,-47189
