program,addr,name,committed_outcome,committed_detail,committed_instructions_checked,committed_instructions_unchecked,sdcc-4.2.0_sdas8051-02.00_outcome,sdcc-4.2.0_sdas8051-02.00_detail,sdcc-4.2.0_sdas8051-02.00_instructions_checked,sdcc-4.2.0_sdas8051-02.00_instructions_unchecked
bank0,801F,store_1901,assembler-gap,no bytes emitted at 801F,1,0,match,,1,0
bank0,A3E0,FUN_CODE_a3e0,assembler-gap,no bytes emitted at A3E0,13,0,match,,13,0
bank0,AB6D,shared_noop_ret,assembler-gap,no bytes emitted at AB6D,1,0,match,,1,0
bank0,AF72,set_08ec_bit5_clear_bit1,assembler-gap,no bytes emitted at AF72,7,0,match,,7,0
bank0,AF7D,decrement_0a4a_then_redispatch,assembler-gap,no bytes emitted at AF7D,8,0,match,,8,0
bank0,B9DF,copy_x1918_to_x0a57,assembler-gap,no bytes emitted at B9DF,5,0,match,,5,0
bank0,BA1C,store_a_to_08ce_08cf,assembler-gap,no bytes emitted at BA1C,5,0,match,,5,0
bank0,BB39,sub_low_byte_0a49,assembler-gap,no bytes emitted at BB39,4,0,match,,4,0
bank0,BB5E,FUN_CODE_bb5e,assembler-gap,no bytes emitted at BB5E,1,0,match,,1,0
bank0,BD20,store_044b_then_read_08e2,assembler-gap,no bytes emitted at BD20,5,0,match,,5,0
bank0,BE21,write_a_to_x1805_and_x1808,assembler-gap,no bytes emitted at BE21,5,0,match,,5,0
bank0,BEC8,load_code_byte_to_0734,assembler-gap,no bytes emitted at BEC8,6,0,match,,6,0
bank0,C478,set_160a_bit0_unless_b8f4_and_08eb,assembler-gap,no bytes emitted at C478,12,0,match,,12,0
bank0,C4A7,set_160a_bit2,assembler-gap,no bytes emitted at C4A7,5,0,match,,5,0
bank0,D091,dispatch_on_0860,assembler-gap,no bytes emitted at D169,129,8,partial,"8 of 137 instruction(s) unchecked, first: acall 0xd673",129,8
bank0,D894,set_dptr_0200_plus_r7,assembler-gap,no bytes emitted at D894,7,0,match,,7,0
bank0,DB57,stash_code_pair_to_0b7_0b8,assembler-gap,no bytes emitted at DB57,17,0,match,,17,0
bank0,E37B,store_a_to_dptr_then_164c_164e,assembler-gap,no bytes emitted at E37B,8,0,match,,8,0
