# derived from a 0x0000-0x07FF sweep every 0.4s, 2026-09-18T22:49:29..22:53:00+02:00,
# covering the AC plug-in. Full 32499-row log not committed (1.7 MB of sensor churn);
# this is the per-address change count plus every row for the charge-limit registers.
addr,change_count,first_old,last_new
0x00C0,2,0x00,0x00
0x00C1,2,0x00,0x08
0x00D3,1,0x07,0xD1
0x00D4,1,0x16,0x07
0x00D5,1,0x53,0x16
0x00D6,1,0xD4,0x53
0x00D8,2,0x03,0x07
0x00D9,2,0x03,0x07
0x00DE,2,0x53,0x53
0x00DF,2,0xDC,0xE0
0x0345,13,0x58,0x0C
0x0346,1,0x02,0x03
0x0347,13,0x1E,0x27
0x0349,13,0xB4,0xC1
0x0363,21,0x00,0x00
0x0364,3,0x00,0x00
0x0365,46,0x00,0x00
0x036C,24,0x00,0x00
0x0370,41,0xDB,0x78
0x0371,1,0x01,0x02
0x0372,42,0xDD,0x78
0x0373,1,0x01,0x02
0x0374,42,0xE4,0x78
0x0375,1,0x01,0x02
0x0376,42,0xDD,0x78
0x0377,1,0x01,0x02
0x0378,71,0x44,0xB2
0x037A,68,0x40,0xB2
0x037C,69,0x3D,0xB2
0x037E,69,0x44,0xB2
0x0380,75,0x4F,0x39
0x0381,12,0x35,0x3F
0x0382,43,0x9E,0xF8
0x0383,19,0x0C,0x07
0x0384,28,0x74,0x39
0x0385,7,0x36,0x3F
0x0386,5,0x2E,0x29
0x0387,5,0x2E,0x29
0x0388,223,0x7D,0x5C
0x0389,1,0x19,0x1A
0x038A,244,0x55,0x4A
0x038B,1,0x31,0x32
0x038C,385,0x0A,0x80
0x038D,1,0x00,0x01
0x038E,28,0x70,0x8C
0x0392,1095,0x77,0x78
0x0393,1100,0x1F,0x4B
0x0394,3,0x05,0x03
0x0395,2,0x01,0x07
0x0396,1,0x00,0x61
0x039A,1,0x00,0x57
0x03A1,26,0x00,0x00
0x03A2,3,0x83,0x83
0x03A5,1100,0x40,0xA3
0x03B0,737,0x00,0xE8
0x03B1,737,0x00,0x17
0x03B2,421,0x50,0x70
0x03B3,422,0x15,0x38
0x03B4,422,0xDF,0xC8
0x03B5,21,0x12,0x00
0x03B6,224,0x00,0x03
0x03B8,37,0x64,0x00
0x03B9,15,0x05,0x00
0x03BB,92,0xFF,0xFF
0x03BC,1100,0x38,0x3C
0x03BD,1096,0x02,0x04
0x03BE,1100,0x0E,0x1C
0x03C1,13,0x1E,0x27
0x03C2,1093,0x0C,0xF0
0x03C4,27,0x00,0x00
0x03C9,422,0x6E,0x14
0x03CA,10,0x11,0x1B
0x03E0,12,0x44,0xA1
0x03E1,1,0x2F,0x32
0x03E2,20,0x44,0x50
0x03E3,13,0x2F,0x34
0x03E4,22,0xE5,0x49
0x03E5,13,0x2F,0x35
0x03E6,22,0x2F,0xB1
0x03E7,8,0x30,0x35
0x03E8,20,0x78,0xFA
0x03E9,10,0x30,0x35
0x03EA,19,0xC9,0x4B
0x03EB,12,0x30,0x36
0x03EC,20,0x12,0x76
0x03ED,11,0x31,0x36
0x03EE,23,0x8E,0xF2
0x03EF,9,0x31,0x36
0x03F1,43,0x0A,0xBB
