ts,addr,old,new
2026-09-23T17:57:41.307+02:00,0x0743,0x00,0x02
2026-09-23T17:57:41.307+02:00,0x0745,0x00,0xFF
2026-09-23T17:57:41.307+02:00,0x0746,0x00,0x05
2026-09-23T17:57:47.873+02:00,0x07A6,0x29,0x09
2026-09-23T17:57:49.970+02:00,0x070F,0x09,0x0A
2026-09-23T17:57:49.973+02:00,0x071A,0x53,0xD1
2026-09-23T17:57:51.150+02:00,0x070F,0x0A,0x0D
2026-09-23T17:57:51.151+02:00,0x071B,0x53,0x07
2026-09-23T17:57:51.151+02:00,0x071C,0x84,0x16
2026-09-23T17:57:51.157+02:00,0x0783,0x00,0x4B
2026-09-23T17:57:51.161+02:00,0x07C4,0x08,0x28
2026-09-23T17:57:51.162+02:00,0x07C6,0x04,0x00
2026-09-23T17:57:51.376+02:00,0x0784,0x00,0x4B
2026-09-23T17:57:51.376+02:00,0x0785,0x00,0xA5
2026-09-23T17:57:51.589+02:00,0x0743,0x02,0x03
2026-09-23T17:57:51.597+02:00,0x07C4,0x28,0x38
2026-09-23T17:57:52.925+02:00,0x07C6,0x00,0x04
2026-09-23T17:57:58.146+02:00,0x070A,0x03,0x06
2026-09-23T17:57:58.193+02:00,0x075B,0x3C,0x3D
2026-09-23T17:57:58.193+02:00,0x075C,0x3C,0x3D
2026-09-23T17:57:58.432+02:00,0x070A,0x06,0x09
2026-09-23T17:57:58.441+02:00,0x075B,0x3D,0x3E
2026-09-23T17:57:58.441+02:00,0x075C,0x3D,0x3E
2026-09-23T17:57:58.664+02:00,0x070A,0x09,0x0B
2026-09-23T17:57:58.888+02:00,0x070A,0x0B,0x0D
2026-09-23T17:57:58.896+02:00,0x075B,0x3E,0x3F
2026-09-23T17:57:58.896+02:00,0x075C,0x3E,0x3F
2026-09-23T17:57:59.113+02:00,0x070A,0x0D,0x0F
2026-09-23T17:57:59.123+02:00,0x075B,0x3F,0x40
2026-09-23T17:57:59.124+02:00,0x075C,0x3F,0x40
2026-09-23T17:57:59.343+02:00,0x070A,0x0F,0x12
2026-09-23T17:57:59.355+02:00,0x075B,0x40,0x41
2026-09-23T17:57:59.355+02:00,0x075C,0x40,0x41
2026-09-23T17:57:59.578+02:00,0x070A,0x12,0x14
2026-09-23T17:57:59.810+02:00,0x070A,0x14,0x16
2026-09-23T17:57:59.817+02:00,0x075B,0x41,0x42
2026-09-23T17:57:59.817+02:00,0x075C,0x41,0x42
2026-09-23T17:58:00.038+02:00,0x070A,0x16,0x19
2026-09-23T17:58:00.045+02:00,0x075B,0x42,0x43
2026-09-23T17:58:00.045+02:00,0x075C,0x42,0x43
2026-09-23T17:58:00.263+02:00,0x070A,0x19,0x1B
2026-09-23T17:58:00.272+02:00,0x075B,0x43,0x44
2026-09-23T17:58:00.272+02:00,0x075C,0x43,0x44
2026-09-23T17:58:00.490+02:00,0x070A,0x1B,0x1D
2026-09-23T17:58:00.714+02:00,0x070A,0x1D,0x20
2026-09-23T17:58:00.722+02:00,0x075B,0x44,0x45
2026-09-23T17:58:00.722+02:00,0x075C,0x44,0x45
2026-09-23T17:58:00.938+02:00,0x070A,0x20,0x22
2026-09-23T17:58:00.944+02:00,0x075B,0x45,0x46
2026-09-23T17:58:00.944+02:00,0x075C,0x45,0x46
2026-09-23T17:58:01.163+02:00,0x070A,0x22,0x24
2026-09-23T17:58:01.166+02:00,0x075B,0x46,0x47
2026-09-23T17:58:01.166+02:00,0x075C,0x46,0x47
2026-09-23T17:58:01.380+02:00,0x070A,0x24,0x26
2026-09-23T17:58:01.599+02:00,0x070A,0x26,0x28
2026-09-23T17:58:01.604+02:00,0x075B,0x47,0x48
2026-09-23T17:58:01.604+02:00,0x075C,0x47,0x48
2026-09-23T17:58:01.819+02:00,0x070A,0x28,0x2B
2026-09-23T17:58:01.826+02:00,0x075B,0x48,0x49
2026-09-23T17:58:01.827+02:00,0x075C,0x48,0x49
2026-09-23T17:58:02.040+02:00,0x070A,0x2B,0x2D
2026-09-23T17:58:02.043+02:00,0x075B,0x49,0x4A
2026-09-23T17:58:02.043+02:00,0x075C,0x49,0x4A
2026-09-23T17:58:02.257+02:00,0x070A,0x2D,0x2F
2026-09-23T17:58:02.476+02:00,0x070A,0x2F,0x31
2026-09-23T17:58:02.476+02:00,0x075B,0x4A,0x4B
2026-09-23T17:58:02.476+02:00,0x075C,0x4A,0x4B
2026-09-23T17:58:02.695+02:00,0x070A,0x31,0x33
2026-09-23T17:58:02.699+02:00,0x075B,0x4B,0x4C
2026-09-23T17:58:02.699+02:00,0x075C,0x4B,0x4C
2026-09-23T17:58:02.912+02:00,0x070A,0x33,0x36
2026-09-23T17:58:02.916+02:00,0x075B,0x4C,0x4D
2026-09-23T17:58:02.916+02:00,0x075C,0x4C,0x4D
2026-09-23T17:58:03.128+02:00,0x070A,0x36,0x38
2026-09-23T17:58:03.353+02:00,0x070A,0x38,0x3A
2026-09-23T17:58:03.353+02:00,0x075B,0x4D,0x4E
2026-09-23T17:58:03.361+02:00,0x075C,0x4D,0x4E
2026-09-23T17:58:03.574+02:00,0x070A,0x3A,0x3C
2026-09-23T17:58:03.577+02:00,0x075B,0x4E,0x4F
2026-09-23T17:58:03.577+02:00,0x075C,0x4E,0x4F
2026-09-23T17:58:03.789+02:00,0x070A,0x3C,0x3E
2026-09-23T17:58:04.006+02:00,0x070A,0x3E,0x41
2026-09-23T17:58:04.010+02:00,0x075B,0x4F,0x50
2026-09-23T17:58:04.010+02:00,0x075C,0x4F,0x50
2026-09-23T17:58:04.223+02:00,0x070A,0x41,0x43
2026-09-23T17:58:04.229+02:00,0x075B,0x50,0x51
2026-09-23T17:58:04.229+02:00,0x075C,0x50,0x51
2026-09-23T17:58:04.441+02:00,0x070A,0x43,0x45
2026-09-23T17:58:04.444+02:00,0x075B,0x51,0x52
2026-09-23T17:58:04.444+02:00,0x075C,0x51,0x52
2026-09-23T17:58:04.658+02:00,0x070A,0x45,0x47
2026-09-23T17:58:04.876+02:00,0x070A,0x47,0x49
2026-09-23T17:58:04.881+02:00,0x075B,0x52,0x53
2026-09-23T17:58:04.881+02:00,0x075C,0x52,0x53
2026-09-23T17:58:05.095+02:00,0x070A,0x49,0x4C
2026-09-23T17:58:05.100+02:00,0x075B,0x53,0x54
2026-09-23T17:58:05.100+02:00,0x075C,0x53,0x54
2026-09-23T17:58:05.312+02:00,0x070A,0x4C,0x4E
2026-09-23T17:58:05.312+02:00,0x075B,0x54,0x55
2026-09-23T17:58:05.312+02:00,0x075C,0x54,0x55
2026-09-23T17:58:05.531+02:00,0x070A,0x4E,0x50
