ts,addr,old,new
2026-09-23T17:59:00.467+02:00,0x0F13,0x3A,0x3C
2026-09-23T17:59:00.673+02:00,0x0F14,0x3C,0x3E
2026-09-23T17:59:00.673+02:00,0x0F15,0x3E,0x40
2026-09-23T17:59:00.881+02:00,0x0F05,0x41,0x43
2026-09-23T17:59:00.881+02:00,0x0F06,0x43,0x45
2026-09-23T17:59:00.881+02:00,0x0F07,0x4B,0x47
2026-09-23T17:59:00.881+02:00,0x0F16,0x40,0x44
2026-09-23T17:59:00.881+02:00,0x0F17,0x42,0x46
2026-09-23T17:59:00.881+02:00,0x0F18,0x45,0x48
2026-09-23T17:59:01.092+02:00,0x0F08,0x50,0xFF
2026-09-23T17:59:01.092+02:00,0x0F09,0x53,0xFF
2026-09-23T17:59:01.092+02:00,0x0F19,0x4F,0xFF
2026-09-23T17:59:01.092+02:00,0x0F1A,0x52,0xFF
2026-09-23T17:59:01.092+02:00,0x0F28,0x8C,0x6E
2026-09-23T17:59:01.092+02:00,0x0F29,0xAA,0x6E
2026-09-23T17:59:01.092+02:00,0x0F2A,0xC8,0x6E
2026-09-23T17:59:01.092+02:00,0x0F2B,0xC8,0x6E
2026-09-23T17:59:01.302+02:00,0x0F2C,0xC8,0x6E
2026-09-23T17:59:01.302+02:00,0x0F2D,0xC8,0x6E
2026-09-23T17:59:01.302+02:00,0x0F2E,0xC8,0x6E
2026-09-23T17:59:01.302+02:00,0x0F2F,0xC8,0x6E
2026-09-23T17:59:01.302+02:00,0x0F30,0x32,0x34
2026-09-23T17:59:01.511+02:00,0x0F31,0x32,0x35
2026-09-23T17:59:01.511+02:00,0x0F32,0x34,0x38
2026-09-23T17:59:01.515+02:00,0x0F33,0x36,0x3A
2026-09-23T17:59:01.515+02:00,0x0F34,0x38,0x3C
2026-09-23T17:59:01.515+02:00,0x0F35,0x3A,0x3F
2026-09-23T17:59:01.515+02:00,0x0F42,0x30,0x32
2026-09-23T17:59:01.515+02:00,0x0F43,0x33,0x39
2026-09-23T17:59:01.517+02:00,0x0F44,0x35,0x3B
2026-09-23T17:59:01.517+02:00,0x0F45,0x37,0x3D
2026-09-23T17:59:01.722+02:00,0x0F36,0x3C,0x41
2026-09-23T17:59:01.725+02:00,0x0F38,0x46,0xFF
2026-09-23T17:59:01.725+02:00,0x0F46,0x39,0x40
2026-09-23T17:59:01.725+02:00,0x0F47,0x3B,0x42
2026-09-23T17:59:01.725+02:00,0x0F48,0x3E,0x44
2026-09-23T17:59:01.725+02:00,0x0F49,0x45,0xFF
2026-09-23T17:59:01.727+02:00,0x0F58,0x8C,0x6E
2026-09-23T17:59:01.932+02:00,0x0F39,0x49,0xFF
2026-09-23T17:59:01.934+02:00,0x0F4A,0x48,0xFF
2026-09-23T17:59:01.934+02:00,0x0F59,0xAA,0x6E
2026-09-23T17:59:01.934+02:00,0x0F5A,0xC8,0x6E
2026-09-23T17:59:01.934+02:00,0x0F5B,0xC8,0x6E
2026-09-23T17:59:01.934+02:00,0x0F5C,0xC8,0x6E
2026-09-23T17:59:02.144+02:00,0x0F5D,0xC8,0x6E
2026-09-23T17:59:02.144+02:00,0x0F5E,0xC8,0x6E
2026-09-23T17:59:02.144+02:00,0x0F5F,0xC8,0x6E
