# ec/tools/ec_timer_capture.py, read-only, ECMG window 0xfe410000 via /dev/mem
# started 2026-09-24T21:18:30.355+02:00  host mattone  kernel 7.2.7
# power: AC0.online=1 BAT0.status=Full BAT0.capacity=100 hidpp_battery_1.online=1 hidpp_battery_1.status=Discharging ucsi-source-psy-USBC000:001.online=0 ucsi-source-psy-USBC000:001.status=Not charging
# interval 0.01s  seconds 600.0  35 addresses: 0x06c6 0x06cd 0x06d1 0x06d2 0x06f3 0x0635 0x0636 0x0637 0x0638 0x0639 0x063a 0x07f6 0x06d6 0x06c2 0x06c3 0x06d8 0x06d9 0x06da 0x055f 0x070b 0x0706 0x06c5 0x070d 0x07f3 0x06db 0x0621 0x0723 0x0440 0x04fe 0x0480 0x05f1 0x05f0 0x0490 0x0498 0x0751
# note: issue #257 perturbation arm: the 28 in-window sweep bytes of the 06c2-06db-sweep capture, plus 0x9817/0x976E state bytes 0x04FE 0x0480 0x05F1 0x05F0 0x0490 0x0498 and the fan-mode byte 0x0751
# note: operator plan, one action at a time >=30 s apart: AC out, AC in, Fn power-mode key once, lid closed ~15 s then open. MARK rows are stamped by --auto-mark (AC, lid, suspend) and --mark-input /dev/input/event7 (Uniwill WMI hotkeys), i.e. when Linux saw the action
# note: NixOS, no vendor service (Linux), uniwill_laptop loaded; loadavg at start: 1.30 1.50 2.36
# baseline 2026-09-24T21:18:30.366+02:00: 0x06C6=0x00 0x06CD=0x00 0x06D1=0x00 0x06D2=0x00 0x06F3=0x00 0x0635=0x00 0x0636=0x00 0x0637=0x00 0x0638=0x00 0x0639=0x00 0x063A=0x00 0x07F6=0x00 0x06D6=0x03 0x06C2=0x00 0x06C3=0x00 0x06D8=0x00 0x06D9=0x03 0x06DA=0x00 0x055F=0x00 0x070B=0x00 0x0706=0x00 0x06C5=0x00 0x070D=0x00 0x07F3=0x00 0x06DB=0x00 0x0621=0x00 0x0723=0x00 0x0440=0x07 0x04FE=0x00 0x0480=0x03 0x05F1=0x01 0x05F0=0x01 0x0490=0x0F 0x0498=0x00 0x0751=0x10
ts,addr,old,new
# auto-mark state at start: AC0.online=1 lid LID1=open
2026-09-24T21:18:30.450+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:30.550+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:30.650+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:30.750+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:30.850+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:30.950+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:31.050+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:31.150+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:31.250+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:31.350+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:31.450+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:31.550+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:31.650+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:31.750+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:31.840+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:31.940+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:32.040+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:32.140+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:32.240+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:32.340+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:32.440+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:32.540+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:32.640+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:32.740+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:32.840+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:32.940+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:33.040+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:33.140+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:33.240+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:33.340+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:33.440+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:33.540+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:33.640+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:33.740+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:33.840+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:33.940+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:34.040+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:34.140+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:34.240+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:34.340+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:34.440+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:34.540+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:34.640+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:34.740+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:34.840+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:34.940+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:35.040+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:35.140+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:35.230+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:35.330+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:35.430+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:35.530+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:35.630+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:35.730+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:35.830+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:35.930+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:36.030+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:36.130+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:36.230+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:36.330+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:36.430+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:36.530+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:36.630+02:00,0x06D6,0x01,0x00
2026-09-24T21:18:36.730+02:00,0x06D6,0x00,0x09
2026-09-24T21:18:36.830+02:00,0x06D6,0x09,0x08
2026-09-24T21:18:36.930+02:00,0x06D6,0x08,0x07
2026-09-24T21:18:37.030+02:00,0x06D6,0x07,0x06
2026-09-24T21:18:37.130+02:00,0x06D6,0x06,0x05
2026-09-24T21:18:37.230+02:00,0x06D6,0x05,0x04
2026-09-24T21:18:37.330+02:00,0x06D6,0x04,0x03
2026-09-24T21:18:37.430+02:00,0x06D6,0x03,0x02
2026-09-24T21:18:37.530+02:00,0x06D6,0x02,0x01
2026-09-24T21:18:37.630+02:00,0x06D6,0x01,0x00
