# ec/tools/ec_timer_capture.py, read-only, ECMG window 0xfe410000 via /dev/mem
# started 2026-09-24T21:33:45.863+02:00  host mattone  kernel 7.2.7
# power: AC0.online=1 BAT0.status=Full BAT0.capacity=100 hidpp_battery_1.online=1 hidpp_battery_1.status=Discharging ucsi-source-psy-USBC000:001.online=0 ucsi-source-psy-USBC000:001.status=Not charging
# interval 0.01s  seconds 150.0  35 addresses: 0x06c6 0x06cd 0x06d1 0x06d2 0x06f3 0x0635 0x0636 0x0637 0x0638 0x0639 0x063a 0x07f6 0x06d6 0x06c2 0x06c3 0x06d8 0x06d9 0x06da 0x055f 0x070b 0x0706 0x06c5 0x070d 0x07f3 0x06db 0x0621 0x0723 0x0440 0x04fe 0x0480 0x05f1 0x05f0 0x0490 0x0498 0x0751
# note: issue #257 suspend arm: same 35 addresses as the perturb capture. 20 s baseline, then a stdin MARK and systemctl suspend (mem_sleep=deep, S3); the owner woke the machine. The capture's clock is CLOCK_MONOTONIC, which stops in suspend, so --seconds counts awake time only
# note: NixOS, no vendor service (Linux), uniwill_laptop loaded, AC connected, battery 100%; loadavg at start: 7.10 5.93 4.02
# baseline 2026-09-24T21:33:45.873+02:00: 0x06C6=0x00 0x06CD=0x00 0x06D1=0x00 0x06D2=0x00 0x06F3=0x00 0x0635=0x00 0x0636=0x00 0x0637=0x00 0x0638=0x00 0x0639=0x00 0x063A=0x00 0x07F6=0x00 0x06D6=0x04 0x06C2=0x00 0x06C3=0x00 0x06D8=0x00 0x06D9=0x03 0x06DA=0x00 0x055F=0x00 0x070B=0x00 0x0706=0x00 0x06C5=0x00 0x070D=0x00 0x07F3=0x00 0x06DB=0x00 0x0621=0x00 0x0723=0x00 0x0440=0x07 0x04FE=0x00 0x0480=0x03 0x05F1=0x01 0x05F0=0x01 0x0490=0x0F 0x0498=0x00 0x0751=0x10
ts,addr,old,new
# auto-mark state at start: AC0.online=1 lid LID1=open
2026-09-24T21:33:45.896+02:00,0x06D6,0x04,0x03
2026-09-24T21:33:45.996+02:00,0x06D6,0x03,0x02
2026-09-24T21:33:46.096+02:00,0x06D6,0x02,0x01
2026-09-24T21:33:46.196+02:00,0x06D6,0x01,0x00
2026-09-24T21:33:46.296+02:00,0x06D6,0x00,0x09
2026-09-24T21:33:46.396+02:00,0x06D6,0x09,0x08
2026-09-24T21:33:46.496+02:00,0x06D6,0x08,0x07
2026-09-24T21:33:46.596+02:00,0x06D6,0x07,0x06
2026-09-24T21:33:46.686+02:00,0x06D6,0x06,0x05
2026-09-24T21:33:46.786+02:00,0x06D6,0x05,0x04
2026-09-24T21:33:46.886+02:00,0x06D6,0x04,0x03
2026-09-24T21:33:46.986+02:00,0x06D6,0x03,0x02
2026-09-24T21:33:47.086+02:00,0x06D6,0x02,0x01
2026-09-24T21:33:47.186+02:00,0x06D6,0x01,0x00
2026-09-24T21:33:47.286+02:00,0x06D6,0x00,0x09
2026-09-24T21:33:47.386+02:00,0x06D6,0x09,0x08
2026-09-24T21:33:47.486+02:00,0x06D6,0x08,0x07
2026-09-24T21:33:47.586+02:00,0x06D6,0x07,0x06
2026-09-24T21:33:47.686+02:00,0x06D6,0x06,0x05
2026-09-24T21:33:47.786+02:00,0x06D6,0x05,0x04
2026-09-24T21:33:47.886+02:00,0x06D6,0x04,0x03
2026-09-24T21:33:47.986+02:00,0x06D6,0x03,0x02
2026-09-24T21:33:48.086+02:00,0x06D6,0x02,0x01
2026-09-24T21:33:48.186+02:00,0x06D6,0x01,0x00
2026-09-24T21:33:48.286+02:00,0x06D6,0x00,0x09
2026-09-24T21:33:48.386+02:00,0x06D6,0x09,0x08
2026-09-24T21:33:48.486+02:00,0x06D6,0x08,0x07
2026-09-24T21:33:48.586+02:00,0x06D6,0x07,0x06
2026-09-24T21:33:48.686+02:00,0x06D6,0x06,0x05
2026-09-24T21:33:48.786+02:00,0x06D6,0x05,0x04
2026-09-24T21:33:48.886+02:00,0x06D6,0x04,0x03
2026-09-24T21:33:48.986+02:00,0x06D6,0x03,0x02
2026-09-24T21:33:49.086+02:00,0x06D6,0x02,0x01
2026-09-24T21:33:49.186+02:00,0x06D6,0x01,0x00
2026-09-24T21:33:49.286+02:00,0x06D6,0x00,0x09
2026-09-24T21:33:49.386+02:00,0x06D6,0x09,0x08
2026-09-24T21:33:49.486+02:00,0x06D6,0x08,0x07
2026-09-24T21:33:49.586+02:00,0x06D6,0x07,0x06
2026-09-24T21:33:49.686+02:00,0x06D6,0x06,0x05
2026-09-24T21:33:49.786+02:00,0x06D6,0x05,0x04
2026-09-24T21:33:49.886+02:00,0x06D6,0x04,0x03
2026-09-24T21:33:49.986+02:00,0x06D6,0x03,0x02
2026-09-24T21:33:50.086+02:00,0x06D6,0x02,0x01
2026-09-24T21:33:50.186+02:00,0x06D6,0x01,0x00
2026-09-24T21:33:50.286+02:00,0x06D6,0x00,0x09
2026-09-24T21:33:50.386+02:00,0x06D6,0x09,0x08
2026-09-24T21:33:50.486+02:00,0x06D6,0x08,0x07
2026-09-24T21:33:50.586+02:00,0x06D6,0x07,0x06
2026-09-24T21:33:50.686+02:00,0x06D6,0x06,0x05
