# ec/tools/ec_timer_capture.py, read-only, ECMG window 0xfe410000 via /dev/mem
# started 2026-09-24T20:52:48.745+02:00  host mattone  kernel 7.2.7
# power: AC0.online=1 BAT0.status=Charging BAT0.capacity=93 hidpp_battery_1.online=1 hidpp_battery_1.status=Discharging ucsi-source-psy-USBC000:001.online=0 ucsi-source-psy-USBC000:001.status=Not charging
# interval 0.01s  seconds 300.0  28 addresses: 0x06c6 0x06cd 0x06d1 0x06d2 0x06f3 0x0635 0x0636 0x0637 0x0638 0x0639 0x063a 0x07f6 0x06d6 0x06c2 0x06c3 0x06d8 0x06d9 0x06da 0x055f 0x070b 0x0706 0x06c5 0x070d 0x07f3 0x06db 0x0621 0x0723 0x0440
# note: issue #257 arm 2: every sweep byte inside the host window, in code order (12 pre-return, 0x06D6, 12 post-return, side-effect targets 0x0621 0x0723, gate 0x0440). Out of window and not sampled: 0x0890 (pre), 0x08E4 0x09CE 0x085B 0x0986 0x0981 0x0982 0x0811 0x0809 0x0843 0x0844 0x080D 0x08A7 0x08A8 (post), 0x080C 0x0985 (side). 0x0460/0x0468 refused (fan page, #94).
# note: NixOS, no vendor service (Linux), uniwill_laptop loaded; loadavg at start: 2.23 4.11 3.52; operator activity on the machine not controlled or recorded
# baseline 2026-09-24T20:52:48.756+02:00: 0x06C6=0x00 0x06CD=0x00 0x06D1=0x00 0x06D2=0x00 0x06F3=0x00 0x0635=0x00 0x0636=0x00 0x0637=0x00 0x0638=0x00 0x0639=0x00 0x063A=0x00 0x07F6=0x00 0x06D6=0x06 0x06C2=0x00 0x06C3=0x00 0x06D8=0x00 0x06D9=0x03 0x06DA=0x00 0x055F=0x00 0x070B=0x00 0x0706=0x00 0x06C5=0x00 0x070D=0x00 0x07F3=0x00 0x06DB=0x00 0x0621=0x00 0x0723=0x00 0x0440=0x07
ts,addr,old,new
2026-09-24T20:52:48.827+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:48.926+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:49.027+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:49.127+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:49.227+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:49.327+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:49.427+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:49.526+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:49.627+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:49.726+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:49.827+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:49.927+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:50.027+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:50.127+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:50.227+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:50.326+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:50.426+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:50.527+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:50.627+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:50.727+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:50.827+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:50.926+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:51.017+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:51.116+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:51.217+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:51.317+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:51.417+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:51.517+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:51.616+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:51.717+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:51.817+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:51.917+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:52.017+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:52.116+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:52.217+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:52.317+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:52.417+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:52.517+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:52.616+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:52.716+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:52.816+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:52.917+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:53.017+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:53.117+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:53.216+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:53.317+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:53.417+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:53.517+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:53.617+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:53.717+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:53.816+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:53.917+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:54.017+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:54.116+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:54.217+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:54.317+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:54.407+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:54.506+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:54.606+02:00,0x06D6,0x08,0x07
2026-09-24T20:52:54.707+02:00,0x06D6,0x07,0x06
2026-09-24T20:52:54.807+02:00,0x06D6,0x06,0x05
2026-09-24T20:52:54.907+02:00,0x06D6,0x05,0x04
2026-09-24T20:52:55.006+02:00,0x06D6,0x04,0x03
2026-09-24T20:52:55.107+02:00,0x06D6,0x03,0x02
2026-09-24T20:52:55.207+02:00,0x06D6,0x02,0x01
2026-09-24T20:52:55.307+02:00,0x06D6,0x01,0x00
2026-09-24T20:52:55.407+02:00,0x06D6,0x00,0x09
2026-09-24T20:52:55.506+02:00,0x06D6,0x09,0x08
2026-09-24T20:52:55.607+02:00,0x06D6,0x08,0x07
