# ec/tools/ec_timer_capture.py, read-only, ECMG window 0xfe410000 via /dev/mem
# started 2026-09-24T20:50:32.957+02:00  host mattone  kernel 7.2.7
# power: AC0.online=1 BAT0.status=Charging BAT0.capacity=91 hidpp_battery_1.online=1 hidpp_battery_1.status=Discharging ucsi-source-psy-USBC000:001.online=0 ucsi-source-psy-USBC000:001.status=Not charging
# interval 0.002s  seconds 120.0  1 addresses: 0x06d6
# note: issue #257 arm 1: 0x06D6 alone, NixOS, no vendor service (Linux), uniwill_laptop loaded
# note: loadavg at start: 7.01 5.59 3.84; operator activity on the machine not controlled or recorded
# baseline 2026-09-24T20:50:32.968+02:00: 0x06D6=0x08
ts,addr,old,new
2026-09-24T20:50:33.006+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:33.106+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:33.206+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:33.306+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:33.406+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:33.506+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:33.606+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:33.704+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:33.804+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:33.904+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:34.004+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:34.104+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:34.204+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:34.304+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:34.404+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:34.502+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:34.602+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:34.702+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:34.802+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:34.902+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:35.002+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:35.102+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:35.200+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:35.300+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:35.400+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:35.500+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:35.600+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:35.700+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:35.800+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:35.900+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:35.998+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:36.098+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:36.198+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:36.298+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:36.398+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:36.498+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:36.598+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:36.698+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:36.796+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:36.896+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:36.996+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:37.096+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:37.196+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:37.296+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:37.396+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:37.494+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:37.594+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:37.694+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:37.794+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:37.894+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:37.994+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:38.094+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:38.194+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:38.292+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:38.392+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:38.492+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:38.592+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:38.692+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:38.792+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:38.892+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:38.990+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:39.090+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:39.190+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:39.290+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:39.390+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:39.490+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:39.590+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:39.690+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:39.788+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:39.888+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:39.988+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:40.088+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:40.188+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:40.288+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:40.388+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:40.486+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:40.586+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:40.686+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:40.786+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:40.886+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:40.986+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:41.086+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:41.186+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:41.284+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:41.384+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:41.484+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:41.584+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:41.684+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:41.784+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:41.884+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:41.984+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:42.082+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:42.182+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:42.282+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:42.382+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:42.482+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:42.582+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:42.682+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:42.780+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:42.880+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:42.980+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:43.080+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:43.180+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:43.280+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:43.380+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:43.480+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:43.578+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:43.678+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:43.780+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:43.880+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:43.978+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:44.078+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:44.178+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:44.278+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:44.378+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:44.478+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:44.578+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:44.676+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:44.776+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:44.876+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:44.976+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:45.076+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:45.176+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:45.276+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:45.376+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:45.474+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:45.574+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:45.674+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:45.774+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:45.874+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:45.974+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:46.074+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:46.172+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:46.272+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:46.372+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:46.472+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:46.572+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:46.672+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:46.772+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:46.870+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:46.970+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:47.070+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:47.170+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:47.270+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:47.370+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:47.470+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:47.570+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:47.668+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:47.768+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:47.868+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:47.968+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:48.068+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:48.168+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:48.268+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:48.368+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:48.466+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:48.566+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:48.666+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:48.766+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:48.866+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:48.966+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:49.066+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:49.164+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:49.264+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:49.364+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:49.464+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:49.564+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:49.664+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:49.764+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:49.864+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:49.962+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:50.062+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:50.162+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:50.262+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:50.362+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:50.462+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:50.562+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:50.660+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:50.760+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:50.860+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:50.960+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:51.060+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:51.160+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:51.260+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:51.360+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:51.458+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:51.558+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:51.658+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:51.758+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:51.858+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:51.958+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:52.058+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:52.156+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:52.256+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:52.356+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:52.456+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:52.556+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:52.656+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:52.756+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:52.856+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:52.954+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:53.054+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:53.154+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:53.254+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:53.354+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:53.454+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:53.554+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:53.652+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:53.752+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:53.852+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:53.952+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:54.052+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:54.152+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:54.252+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:54.352+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:54.450+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:54.550+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:54.650+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:54.750+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:54.850+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:54.950+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:55.050+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:55.148+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:55.248+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:55.348+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:55.448+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:55.548+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:55.648+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:55.748+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:55.848+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:55.946+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:56.046+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:56.146+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:56.246+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:56.346+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:56.446+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:56.546+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:56.644+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:56.744+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:56.844+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:56.944+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:57.044+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:57.144+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:57.244+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:57.344+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:57.442+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:57.542+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:57.642+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:57.742+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:57.842+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:57.942+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:58.042+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:58.140+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:58.240+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:58.340+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:58.440+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:58.540+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:58.640+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:58.740+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:58.838+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:58.938+02:00,0x06D6,0x08,0x07
2026-09-24T20:50:59.038+02:00,0x06D6,0x07,0x06
2026-09-24T20:50:59.138+02:00,0x06D6,0x06,0x05
2026-09-24T20:50:59.238+02:00,0x06D6,0x05,0x04
2026-09-24T20:50:59.338+02:00,0x06D6,0x04,0x03
2026-09-24T20:50:59.438+02:00,0x06D6,0x03,0x02
2026-09-24T20:50:59.538+02:00,0x06D6,0x02,0x01
2026-09-24T20:50:59.636+02:00,0x06D6,0x01,0x00
2026-09-24T20:50:59.736+02:00,0x06D6,0x00,0x09
2026-09-24T20:50:59.836+02:00,0x06D6,0x09,0x08
2026-09-24T20:50:59.936+02:00,0x06D6,0x08,0x07
2026-09-24T20:51:00.036+02:00,0x06D6,0x07,0x06
