# ec/tools/ec_timer_capture.py, read-only, ECMG window 0xfe410000 via /dev/mem
# started 2026-09-24T20:59:08.977+02:00  host mattone  kernel 7.2.7
# power: AC0.online=1 BAT0.status=Charging BAT0.capacity=97 hidpp_battery_1.online=1 hidpp_battery_1.status=Discharging ucsi-source-psy-USBC000:001.online=0 ucsi-source-psy-USBC000:001.status=Not charging
# interval 0.0005s  seconds 60.0  9 addresses: 0x06d6 0x06d9 0x04fe 0x0480 0x05f1 0x05f0 0x0490 0x0498 0x06da
# note: issue #257 arm 3, substitute: 0x1664 and 0x3202 are outside the host window, so 0x06D9 is sampled at 0.5 ms against 0x06D6 (to catch a decrement undone by bank1 0x982E, which stores 3) with the in-window bytes 0x976E/0x9817 read or write: 0x04FE 0x0480 0x05F1 0x05F0 0x0490 0x0498 0x06DA
# note: NixOS, no vendor service (Linux), uniwill_laptop loaded; loadavg at start: 10.51 6.26 4.38; operator activity on the machine not controlled or recorded
# baseline 2026-09-24T20:59:08.990+02:00: 0x06D6=0x03 0x06D9=0x03 0x04FE=0x00 0x0480=0x03 0x05F1=0x01 0x05F0=0x01 0x0490=0x0F 0x0498=0x00 0x06DA=0x00
ts,addr,old,new
2026-09-24T20:59:09.000+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:09.099+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:09.199+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:09.299+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:09.399+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:09.498+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:09.598+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:09.698+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:09.797+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:09.897+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:09.997+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:10.097+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:10.196+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:10.296+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:10.396+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:10.496+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:10.595+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:10.695+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:10.795+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:10.895+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:10.994+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:11.094+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:11.194+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:11.294+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:11.393+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:11.493+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:11.593+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:11.693+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:11.792+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:11.892+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:11.992+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:12.092+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:12.191+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:12.291+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:12.391+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:12.490+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:12.590+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:12.690+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:12.791+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:12.889+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:12.989+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:13.089+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:13.189+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:13.288+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:13.388+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:13.488+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:13.588+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:13.687+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:13.787+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:13.887+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:13.987+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:14.086+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:14.186+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:14.286+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:14.386+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:14.485+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:14.585+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:14.685+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:14.785+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:14.884+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:14.984+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:15.084+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:15.184+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:15.283+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:15.383+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:15.483+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:15.582+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:15.682+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:15.782+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:15.882+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:15.981+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:16.081+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:16.181+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:16.281+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:16.380+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:16.480+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:16.580+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:16.680+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:16.779+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:16.879+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:16.979+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:17.079+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:17.178+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:17.278+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:17.378+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:17.478+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:17.577+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:17.677+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:17.777+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:17.877+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:17.976+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:18.076+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:18.176+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:18.276+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:18.375+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:18.475+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:18.575+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:18.675+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:18.774+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:18.874+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:18.974+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:19.074+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:19.173+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:19.273+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:19.373+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:19.473+02:00,0x06D6,0x08,0x07
2026-09-24T20:59:19.572+02:00,0x06D6,0x07,0x06
2026-09-24T20:59:19.672+02:00,0x06D6,0x06,0x05
2026-09-24T20:59:19.772+02:00,0x06D6,0x05,0x04
2026-09-24T20:59:19.872+02:00,0x06D6,0x04,0x03
2026-09-24T20:59:19.971+02:00,0x06D6,0x03,0x02
2026-09-24T20:59:20.071+02:00,0x06D6,0x02,0x01
2026-09-24T20:59:20.171+02:00,0x06D6,0x01,0x00
2026-09-24T20:59:20.271+02:00,0x06D6,0x00,0x09
2026-09-24T20:59:20.370+02:00,0x06D6,0x09,0x08
2026-09-24T20:59:20.470+02:00,0x06D6,0x08,0x07
