addr,addr_kind,reads,writes,writers
0x0408,literal,1,0,
0x0409,literal,1,0,
0x0434,literal,1,0,
0x0435,literal,1,0,
0x0464,literal,1,0,
0x0465,literal,1,0,
0x046B,literal,1,0,
0x046C,literal,1,0,
0x0494,literal,1,0,
0x049F,literal,2,0,
0x04A6,literal,1,0,
0x04A7,literal,1,0,
0x0730,literal,7,2,MyFanManager_Intel.UpdatePLDefault_ByCheckPortId; MyFanManager_QC.UpdatePLDefault_ByCheckPortId
0x0731,literal,7,2,MyFanManager_Intel.UpdatePLDefault_ByCheckPortId; MyFanManager_QC.UpdatePLDefault_ByCheckPortId
0x0732,literal,7,0,
0x0733,literal,4,0,
0x0734,literal,7,2,MyFanManager_Intel.UpdatePLDefault_ByCheckPortId; MyFanManager_QC.UpdatePLDefault_ByCheckPortId
0x0735,literal,7,2,MyFanManager_Intel.UpdatePLDefault_ByCheckPortId; MyFanManager_QC.UpdatePLDefault_ByCheckPortId
0x0736,literal,7,0,
0x0737,literal,4,0,
0x0738,literal,7,0,
0x073C,literal,6,0,
0x073D,literal,1,0,
0x0740,literal,16,0,
0x0741,literal,2,1,LM_ITE_RGB.Enable_EC_OnkeyPressed
0x0742,literal,2,0,
0x0743,literal,6,15,GpuFeatures.SetGpuConfigurableTgpFunCtrlEnable; GpuFeatures.SetGpuDynamicBoostEnable; GpuFeatures.SetGpuDynamicBoostFunCtrlEnable; MyFanManager.SetFan_L1_PWM; MyFanManager.SetFan_Optimized_PWM; MyFanManager_Intel.SetFan_L1_PWM; MyFanManager_Intel.SetFan_Optimized_PWM; MyFanManager_QC.SetFan_L1_PWM; MyFanManager_QC.SetFan_Optimized_PWM; MyFanManager_RamFan1p5_CML.SetGpuDynamicBoostEnable; MyFanManager_RamFan1p5_NV.SetGpuDynamicBoostEnable; MyFanManager_RamFan1p5_Normal.SetGpuDynamicBoostEnable
0x0744,literal,0,13,GpuFeatures.SetGpuConfigurableTGPTarget; MyFanManager.SetFan_L2_PWM; MyFanManager.SetFan_Optimized_PWM; MyFanManager_Intel.SetFan_L2_PWM; MyFanManager_Intel.SetFan_Optimized_PWM; MyFanManager_QC.SetFan_L2_PWM; MyFanManager_QC.SetFan_Optimized_PWM; MyFanManager_RamFan1p5_CML.SetGpuConfigurableTGP; MyFanManager_RamFan1p5_NV.SetGpuConfigurableTGP; MyFanManager_RamFan1p5_Normal.SetGpuConfigurableTGP
0x0745,literal,0,13,GpuFeatures.SetGpuDynamicBoostTotalProcessingPowerTarget; MyFanManager.SetFan_L3_PWM; MyFanManager.SetFan_Optimized_PWM; MyFanManager_Intel.SetFan_L3_PWM; MyFanManager_Intel.SetFan_Optimized_PWM; MyFanManager_QC.SetFan_L3_PWM; MyFanManager_QC.SetFan_Optimized_PWM; MyFanManager_RamFan1p5_CML.SetGpuDynamicBoostTotalProcessingPowerTarget; MyFanManager_RamFan1p5_NV.SetGpuDynamicBoostTotalProcessingPowerTarget; MyFanManager_RamFan1p5_Normal.SetGpuDynamicBoostTotalProcessingPowerTarget
0x0746,literal,0,13,GpuFeatures.SetGpuDynamicBoostMaxinumTGP; MyFanManager.SetFan_L4_PWM; MyFanManager.SetFan_Optimized_PWM; MyFanManager_Intel.SetFan_L4_PWM; MyFanManager_Intel.SetFan_Optimized_PWM; MyFanManager_QC.SetFan_L4_PWM; MyFanManager_QC.SetFan_Optimized_PWM; MyFanManager_RamFan1p5_CML.SetGpuDynamicBoostMaxinumTGP; MyFanManager_RamFan1p5_NV.SetGpuDynamicBoostMaxinumTGP; MyFanManager_RamFan1p5_Normal.SetGpuDynamicBoostMaxinumTGP
0x0747,literal,0,9,MyFanManager.SetFan_L5_PWM; MyFanManager.SetFan_Optimized_PWM; MyFanManager_Intel.SetFan_L5_PWM; MyFanManager_Intel.SetFan_Optimized_PWM; MyFanManager_QC.SetFan_L5_PWM; MyFanManager_QC.SetFan_Optimized_PWM
0x0748,literal,20,41,MyRgbLightBarDefault.WriteECRAM; MyRgbLightBarDefault_Intel.Uninstall; MyRgbLightBarDefault_Intel.WriteECRAM; MyRgbLightBarDefault_QC.Uninstall; MyRgbLightBarDefault_QC.WriteECRAM; MyRgbLightbarManager.SetApExist; MyRgbLightbarManager.SetBreathingLightEffect; MyRgbLightbarManager.SetColorful; MyRgbLightbarManager.SetMyLightBarOnOff; MyRgbLightbarManager.SetTriggerBit4; MyRgbLightbarManager.SetTriggerBit5; MyRgbLightbarManager_Intel.SetApExist; MyRgbLightbarManager_Intel.SetBreathingLightEffect; MyRgbLightbarManager_Intel.SetBreathingMordenStandby; MyRgbLightbarManager_Intel.SetColorful; MyRgbLightbarManager_Intel.SetMyLightBarOnOff; MyRgbLightbarManager_Intel.SetTriggerBit4; MyRgbLightbarManager_Intel.SetTriggerBit5; MyRgbLightbarManager_QC.SetApExist; MyRgbLightbarManager_QC.SetBreathingLightEffect; MyRgbLightbarManager_QC.SetBreathingMordenStandby; MyRgbLightbarManager_QC.SetColorful; MyRgbLightbarManager_QC.SetMyLightBarOnOff; MyRgbLightbarManager_QC.SetTriggerBit4; MyRgbLightbarManager_QC.SetTriggerBit5
0x0749,literal,0,14,MyRgbLightBarDefault.WriteECRAM; MyRgbLightBarDefault_Intel.Uninstall; MyRgbLightBarDefault_Intel.WriteECRAM; MyRgbLightBarDefault_QC.Uninstall; MyRgbLightBarDefault_QC.WriteECRAM; MyRgbLightbarManager.SetRedLevel; MyRgbLightbarManager_Intel.SetRedLevel; MyRgbLightbarManager_QC.SetRedLevel
0x074A,literal,0,14,MyRgbLightBarDefault.WriteECRAM; MyRgbLightBarDefault_Intel.Uninstall; MyRgbLightBarDefault_Intel.WriteECRAM; MyRgbLightBarDefault_QC.Uninstall; MyRgbLightBarDefault_QC.WriteECRAM; MyRgbLightbarManager.SetGreenLevel; MyRgbLightbarManager_Intel.SetGreenLevel; MyRgbLightbarManager_QC.SetGreenLevel
