file,line,type,method,op,addr,addr_kind,addr_expr,value_expr
GCUService.MyFan.Overclocking/GpuFeatures.cs,265,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuConfigurableTgpFunCtrlEnable,read,0x0743,literal,1859,ref Data
GCUService.MyFan.Overclocking/GpuFeatures.cs,267,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuConfigurableTgpFunCtrlEnable,write,0x0743,literal,1859,b3
GCUService.MyFan.Overclocking/GpuFeatures.cs,278,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuConfigurableTGPTarget,write,0x0744,literal,1860,Convert.ToByte(num)
GCUService.MyFan.Overclocking/GpuFeatures.cs,290,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostFunCtrlEnable,read,0x0743,literal,1859,ref Data
GCUService.MyFan.Overclocking/GpuFeatures.cs,292,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostFunCtrlEnable,write,0x0743,literal,1859,b3
GCUService.MyFan.Overclocking/GpuFeatures.cs,302,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostEnable,read,0x0743,literal,1859,ref Data
GCUService.MyFan.Overclocking/GpuFeatures.cs,304,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostEnable,write,0x0743,literal,1859,b3
GCUService.MyFan.Overclocking/GpuFeatures.cs,309,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostTotalProcessingPowerTarget,write,0x0745,literal,1861,Convert.ToByte(value)
GCUService.MyFan.Overclocking/GpuFeatures.cs,314,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuDynamicBoostMaxinumTGP,write,0x0746,literal,1862,Convert.ToByte(value)
GCUService.MyFan.Overclocking/GpuFeatures.cs,352,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuWhisperModeMainSwitch,read,0x07C5,literal,1989,ref Data
GCUService.MyFan.Overclocking/GpuFeatures.cs,354,GCUService.MyFan.Overclocking.GpuFeatures,SetGpuWhisperModeMainSwitch,write,0x07C5,literal,1989,b3
GCUService.MyFan.Overclocking/GpuFeatures.cs,364,GCUService.MyFan.Overclocking.GpuFeatures,SetWhisperModeStatusDisable,read,0x07C6,literal,1990,ref Data
GCUService.MyFan.Overclocking/GpuFeatures.cs,366,GCUService.MyFan.Overclocking.GpuFeatures,SetWhisperModeStatusDisable,write,0x07C6,literal,1990,b3
GCUService.MyFan.Overclocking/GpuFeatures.cs,375,GCUService.MyFan.Overclocking.GpuFeatures,GetWisperModeStatus,read,0x07C6,literal,1990,ref Data
GCUService.MySetting.Muter/MicMuteControl.cs,45,GCUService.MySetting.Muter.MicMuteControl,SetLED,read,0x07A6,literal,1958,ref Data
GCUService.MySetting.Muter/MicMuteControl.cs,48,GCUService.MySetting.Muter.MicMuteControl,SetLED,write,0x07A6,literal,1958,b
GCUService.MySystem/BatteryProtection.cs,375,GCUService.MySystem.BatteryProtection,InitializeHealthSwitch,read,0x078E,literal,1934,ref Data
GCUService.MySystem/BatteryProtection.cs,392,GCUService.MySystem.BatteryProtection,SetProtectionHigh,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection.cs,397,GCUService.MySystem.BatteryProtection,SetProtectionHigh,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection.cs,404,GCUService.MySystem.BatteryProtection,SetProtectionMiddle,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection.cs,409,GCUService.MySystem.BatteryProtection,SetProtectionMiddle,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection.cs,416,GCUService.MySystem.BatteryProtection,SetProtectionLow,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection.cs,421,GCUService.MySystem.BatteryProtection,SetProtectionLow,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection2.cs,274,GCUService.MySystem.BatteryProtection2,SetHealthProtectionHigh,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection2.cs,279,GCUService.MySystem.BatteryProtection2,SetHealthProtectionHigh,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection2.cs,285,GCUService.MySystem.BatteryProtection2,SetHealthProtectionMiddle,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection2.cs,290,GCUService.MySystem.BatteryProtection2,SetHealthProtectionMiddle,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection2.cs,296,GCUService.MySystem.BatteryProtection2,SetHealthProtectionLow,read,0x07A6,literal,1958,ref Data
GCUService.MySystem/BatteryProtection2.cs,301,GCUService.MySystem.BatteryProtection2,SetHealthProtectionLow,write,0x07A6,literal,1958,data
GCUService.MySystem/BatteryProtection2.cs,316,GCUService.MySystem.BatteryProtection2,SetTypeCAdaptorSwitch,read,0x07CC,literal,1996,ref Data
GCUService.MySystem/BatteryProtection2.cs,319,GCUService.MySystem.BatteryProtection2,SetTypeCAdaptorSwitch,write,0x07CC,literal,1996,b
GCUService.MySystem/BatteryProtection2.cs,327,GCUService.MySystem.BatteryProtection2,SetBatteryChargingLimit_Up,read,0x07B9,literal,1977,ref Data
GCUService.MySystem/BatteryProtection2.cs,329,GCUService.MySystem.BatteryProtection2,SetBatteryChargingLimit_Up,write,0x07B9,literal,1977,b2
GCUService.MySystem/BatteryProtection2.cs,338,GCUService.MySystem.BatteryProtection2,ReadBatteryChargingLimit_Up,read,0x07B9,literal,1977,ref Data
GCUService.MySystem/BatteryProtection2.cs,352,GCUService.MySystem.BatteryProtection2,SetBatteryChargingLimit_Down,read,0x07D0,literal,2000,ref Data
GCUService.MySystem/BatteryProtection2.cs,356,GCUService.MySystem.BatteryProtection2,SetBatteryChargingLimit_Down,write,0x07D0,literal,2000,b2
GCUService.MySystem/BatteryProtection2.cs,364,GCUService.MySystem.BatteryProtection2,ReadBatteryChargingLimit_Down,read,0x07D0,literal,2000,ref Data
LightingModel/LM_EC_RGB.cs,19,LightingModel.LM_EC_RGB,ILM_RGBKB_Init,read,0x0740,literal,1856,ref Data
LightingModel/LM_EC_RGB.cs,26,LightingModel.LM_EC_RGB,ILM_RGBKB_Init,read,0x0766,literal,1894,ref Data
LightingModel/LM_EC_RGB.cs,38,LightingModel.LM_EC_RGB,ILM_RGBKB_Init,read,0x0740,literal,1856,ref Data
LightingModel/LM_EC_RGB.cs,45,LightingModel.LM_EC_RGB,ILM_RGBKB_Init,read,0x0766,literal,1894,ref Data
