program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
ACPIDriver,140001000,FUN_140001000,198,auto,no,,,,
ACPIDriver,1400010D0,FUN_1400010d0,37,auto,no,,,,
ACPIDriver,1400010F8,FUN_1400010f8,353,auto,no,,,,
ACPIDriver,14000125C,FUN_14000125c,214,auto,no,,,,
ACPIDriver,140001334,FUN_140001334,248,auto,no,,,,
ACPIDriver,14000142C,FUN_14000142c,218,auto,no,,,,
ACPIDriver,140001508,FUN_140001508,227,auto,no,,,,
ACPIDriver,1400015EC,FUN_1400015ec,248,auto,no,,,,
ACPIDriver,1400016E4,FUN_1400016e4,248,auto,no,,,,
ACPIDriver,1400017DC,FUN_1400017dc,248,auto,no,,,,
ACPIDriver,1400018D4,FUN_1400018d4,248,auto,no,,,,
ACPIDriver,1400019CC,FUN_1400019cc,248,auto,no,,,,
ACPIDriver,140001AC4,FUN_140001ac4,964,auto,no,,,,
ACPIDriver,140001E88,FUN_140001e88,202,auto,no,,,,
ACPIDriver,140001F54,FUN_140001f54,227,auto,no,,,,
ACPIDriver,140002038,FUN_140002038,223,auto,no,,,,
ACPIDriver,140002118,FUN_140002118,265,auto,no,,,,
ACPIDriver,140002224,FUN_140002224,227,auto,no,,,,
ACPIDriver,140002308,FUN_140002308,241,auto,no,,,,
ACPIDriver,1400023FC,FUN_1400023fc,265,auto,no,,,,
ACPIDriver,140002508,FUN_140002508,265,auto,no,,,,
ACPIDriver,140002614,FUN_140002614,305,auto,no,,,,
ACPIDriver,140002748,FUN_140002748,305,auto,no,,,,
ACPIDriver,14000287C,FUN_14000287c,877,auto,no,,,,
ACPIDriver,140002C00,__security_check_cookie,30,auto,yes,,,,
ACPIDriver,140002C20,FUN_140002c20,8,auto,no,,,,
ACPIDriver,140002C28,memcpy_s,139,auto,yes,,,,
ACPIDriver,140002CB4,DbgPrint,6,auto,yes,,,,
ACPIDriver,140002CBC,__GSHandlerCheck,29,auto,yes,,,,
ACPIDriver,140002CDC,__GSHandlerCheckCommon,95,auto,yes,,,,
ACPIDriver,140002D40,_guard_check_icall,3,auto,yes,,,,
ACPIDriver,140002D50,FxStubDriverUnloadCommon,47,auto,yes,,,,
ACPIDriver,140002D80,entry,43,auto,no,,,,
ACPIDriver,140002DAC,FxDriverEntryWorker,339,auto,yes,,,,
ACPIDriver,140002F00,FUN_140002f00,14,auto,no,,,,
ACPIDriver,140002F10,FxStubDriverUnload,44,auto,yes,,,,
ACPIDriver,140002F40,FxStubInitTypes,180,auto,yes,,,,
ACPIDriver,140002FF8,FxStubBindClasses,462,auto,yes,,,,
ACPIDriver,1400031C8,FxStubUnbindClasses,123,auto,yes,,,,
ACPIDriver,140003250,WdfVersionBind,6,auto,yes,,,,
ACPIDriver,140003256,WdfVersionUnbind,6,auto,yes,,,,
ACPIDriver,140003260,WdfVersionBindClass,6,auto,yes,,,,
ACPIDriver,140003270,WdfVersionUnbindClass,6,auto,yes,,,,
ACPIDriver,140003290,_guard_dispatch_icall,2,auto,yes,,,,
ACPIDriver,1400032C0,memset,209,auto,yes,,,,
ACPIDriver,1400033C0,FUN_1400033c0,537,auto,no,,,,
ACPIDriver,140007000,FUN_140007000,296,auto,no,,,,
ACPIDriver,140007130,FUN_140007130,829,auto,no,,,,
ACPIDriver,140007470,FUN_140007470,713,auto,no,,,,
ACPIDriver,140007740,FUN_140007740,96,auto,no,,,,
ACPIDriver,1400077A0,FUN_1400077a0,84,auto,no,,,,
ACPIDriver,1400077F4,FUN_1400077f4,198,auto,no,,,,
ACPIDriver,1400078C0,FUN_1400078c0,3,auto,no,,,,
ACPIDriver,140008000,FUN_140008000,96,auto,no,,,,
ACPIDriver,140008060,FUN_140008060,46,auto,no,,,,
ACPIDriverDll,180001000,FUN_180001000,78,auto,no,,,,
ACPIDriverDll,180001068,FUN_180001068,28,auto,no,,,,
ACPIDriverDll,180001084,FUN_180001084,28,auto,no,,,,
ACPIDriverDll,1800010C4,FUN_1800010c4,72,auto,no,,,,
ACPIDriverDll,18000110C,FUN_18000110c,72,auto,no,,,,
ACPIDriverDll,180001154,FUN_180001154,28,auto,no,,,,
ACPIDriverDll,180001170,FUN_180001170,37,auto,no,,,,
ACPIDriverDll,180001198,FUN_180001198,39,auto,no,,,,
ACPIDriverDll,1800011C0,FUN_1800011c0,34,auto,no,,,,
ACPIDriverDll,1800011E4,FUN_1800011e4,36,auto,no,,,,
ACPIDriverDll,180001208,FUN_180001208,28,auto,no,,,,
ACPIDriverDll,180001224,FUN_180001224,28,auto,no,,,,
ACPIDriverDll,180001270,FUN_180001270,32,auto,no,,,,
ACPIDriverDll,18000129C,FUN_18000129c,110,auto,no,,,,
ACPIDriverDll,180001318,FUN_180001318,37,auto,no,,,,
ACPIDriverDll,18000134C,FUN_18000134c,37,auto,no,,,,
ACPIDriverDll,180001374,FUN_180001374,37,auto,no,,,,
ACPIDriverDll,18000139C,FUN_18000139c,32,auto,no,,,,
ACPIDriverDll,1800013BC,FUN_1800013bc,37,auto,no,,,,
ACPIDriverDll,1800013E4,FUN_1800013e4,37,auto,no,,,,
ACPIDriverDll,18000140C,FUN_18000140c,37,auto,no,,,,
ACPIDriverDll,180001434,FUN_180001434,37,auto,no,,,,
ACPIDriverDll,18000145C,FUN_18000145c,37,auto,no,,,,
ACPIDriverDll,180001484,FUN_180001484,32,auto,no,,,,
ACPIDriverDll,1800014BC,FUN_1800014bc,28,auto,no,,,,
ACPIDriverDll,1800014D8,FUN_1800014d8,28,auto,no,,,,
ACPIDriverDll,1800014F4,FUN_1800014f4,28,auto,no,,,,
ACPIDriverDll,180001510,FUN_180001510,28,auto,no,,,,
ACPIDriverDll,18000152C,FUN_18000152c,28,auto,no,,,,
ACPIDriverDll,180001548,FUN_180001548,28,auto,no,,,,
ACPIDriverDll,180001564,FUN_180001564,28,auto,no,,,,
ACPIDriverDll,180001580,FUN_180001580,28,auto,no,,,,
ACPIDriverDll,18000159C,FUN_18000159c,28,auto,no,,,,
ACPIDriverDll,1800015B8,FUN_1800015b8,28,auto,no,,,,
ACPIDriverDll,1800015D4,FUN_1800015d4,28,auto,no,,,,
ACPIDriverDll,1800015FC,FUN_1800015fc,37,auto,no,,,,
ACPIDriverDll,180001624,FUN_180001624,67,auto,no,,,,
ACPIDriverDll,180001668,FUN_180001668,37,auto,no,,,,
ACPIDriverDll,180001690,FUN_180001690,37,auto,no,,,,
ACPIDriverDll,1800016B8,FUN_1800016b8,37,auto,no,,,,
ACPIDriverDll,1800016E0,FUN_1800016e0,37,auto,no,,,,
ACPIDriverDll,180001708,FUN_180001708,37,auto,no,,,,
ACPIDriverDll,180001730,FUN_180001730,37,auto,no,,,,
ACPIDriverDll,180001770,FUN_180001770,28,auto,no,,,,
ACPIDriverDll,180001798,FUN_180001798,67,auto,no,,,,
ACPIDriverDll,1800017DC,FUN_1800017dc,32,auto,no,,,,
ACPIDriverDll,180001820,FUN_180001820,28,auto,no,,,,
ACPIDriverDll,18000183C,FUN_18000183c,32,auto,no,,,,
ACPIDriverDll,18000185C,FUN_18000185c,37,auto,no,,,,
ACPIDriverDll,18000189C,FUN_18000189c,28,auto,no,,,,
ACPIDriverDll,1800018B8,FUN_1800018b8,28,auto,no,,,,
ACPIDriverDll,1800018D4,FUN_1800018d4,28,auto,no,,,,
ACPIDriverDll,1800018F0,FUN_1800018f0,28,auto,no,,,,
ACPIDriverDll,18000190C,FUN_18000190c,28,auto,no,,,,
ACPIDriverDll,180001928,FUN_180001928,67,auto,no,,,,
ACPIDriverDll,180001984,FUN_180001984,67,auto,no,,,,
ACPIDriverDll,1800019D4,FUN_1800019d4,28,auto,no,,,,
ACPIDriverDll,180001A08,FUN_180001a08,48,auto,no,,,,
ACPIDriverDll,180001A38,FUN_180001a38,28,auto,no,,,,
ACPIDriverDll,180001A60,FUN_180001a60,67,auto,no,,,,
ACPIDriverDll,180001AC8,FUN_180001ac8,67,auto,no,,,,
ACPIDriverDll,180001B48,FUN_180001b48,32,auto,no,,,,
ACPIDriverDll,180001B68,FUN_180001b68,67,auto,no,,,,
ACPIDriverDll,180001BAC,FUN_180001bac,28,auto,no,,,,
ACPIDriverDll,180001BC8,FUN_180001bc8,110,auto,no,,,,
ACPIDriverDll,180001C5C,FUN_180001c5c,67,auto,no,,,,
ACPIDriverDll,180001CB8,FUN_180001cb8,110,auto,no,,,,
ACPIDriverDll,180001D34,FUN_180001d34,28,auto,no,,,,
ACPIDriverDll,180001D50,FUN_180001d50,28,auto,no,,,,
ACPIDriverDll,180001D6C,FUN_180001d6c,28,auto,no,,,,
ACPIDriverDll,180001D88,FUN_180001d88,28,auto,no,,,,
ACPIDriverDll,180001DA4,FUN_180001da4,28,auto,no,,,,
ACPIDriverDll,180001DC0,FUN_180001dc0,28,auto,no,,,,
ACPIDriverDll,180001DE8,FUN_180001de8,67,auto,no,,,,
ACPIDriverDll,180001E50,FUN_180001e50,37,auto,no,,,,
ACPIDriverDll,180001E84,FUN_180001e84,28,auto,no,,,,
ACPIDriverDll,180001EA0,FUN_180001ea0,28,auto,no,,,,
ACPIDriverDll,180001EBC,FUN_180001ebc,28,auto,no,,,,
ACPIDriverDll,180001ED8,FUN_180001ed8,28,auto,no,,,,
ACPIDriverDll,180001EF4,FUN_180001ef4,28,auto,no,,,,
ACPIDriverDll,180001F10,FUN_180001f10,67,auto,no,,,,
ACPIDriverDll,180001F54,FUN_180001f54,67,auto,no,,,,
ACPIDriverDll,180001FB0,FUN_180001fb0,28,auto,no,,,,
ACPIDriverDll,180001FF0,FUN_180001ff0,28,auto,no,,,,
ACPIDriverDll,180002030,FUN_180002030,67,auto,no,,,,
ACPIDriverDll,18000208C,FUN_18000208c,67,auto,no,,,,
ACPIDriverDll,1800020E8,FUN_1800020e8,28,auto,no,,,,
ACPIDriverDll,180002110,FUN_180002110,110,auto,no,,,,
ACPIDriverDll,18000218C,FUN_18000218c,28,auto,no,,,,
ACPIDriverDll,1800021CC,FUN_1800021cc,28,auto,no,,,,
ACPIDriverDll,1800021E8,FUN_1800021e8,67,auto,no,,,,
ACPIDriverDll,18000225C,FUN_18000225c,28,auto,no,,,,
ACPIDriverDll,1800022B4,FUN_1800022b4,67,auto,no,,,,
ACPIDriverDll,1800022F8,FUN_1800022f8,37,auto,no,,,,
ACPIDriverDll,180002344,FUN_180002344,32,auto,no,,,,
ACPIDriverDll,180002370,InitializeCriticalSectionEx,7,auto,yes,,,,
ACPIDriverDll,180002380,FUN_180002380,158,auto,no,,,,
ACPIDriverDll,180002420,_guard_check_icall,3,auto,yes,,,,
ACPIDriverDll,180002430,FUN_180002430,8,auto,no,,,,
ACPIDriverDll,180002440,FUN_180002440,78,auto,no,,,,
ACPIDriverDll,180002490,FUN_180002490,485,auto,no,,,,
ACPIDriverDll,180002680,FUN_180002680,92,auto,no,,,,
ACPIDriverDll,1800026E0,~CDialogEx,56,auto,yes,,,,
ACPIDriverDll,180002720,FUN_180002720,6,auto,no,,,,
ACPIDriverDll,180002730,FUN_180002730,3,auto,no,,,,
ACPIDriverDll,180002740,FUN_180002740,10,auto,no,,,,
ACPIDriverDll,180002750,FUN_180002750,10,auto,no,,,,
ACPIDriverDll,180002760,FUN_180002760,10,auto,no,,,,
ACPIDriverDll,180002770,FUN_180002770,10,auto,no,,,,
ACPIDriverDll,180002780,FUN_180002780,10,auto,no,,,,
ACPIDriverDll,180002790,FUN_180002790,10,auto,no,,,,
ACPIDriverDll,1800027A0,FUN_1800027a0,88,auto,no,,,,
ACPIDriverDll,180002800,FUN_180002800,78,auto,no,,,,
ACPIDriverDll,180002850,FUN_180002850,54,auto,no,,,,
ACPIDriverDll,180002890,FUN_180002890,33,auto,no,,,,
ACPIDriverDll,1800028C0,FUN_1800028c0,136,auto,no,,,,
ACPIDriverDll,180002950,FUN_180002950,221,auto,no,,,,
ACPIDriverDll,180002A30,FUN_180002a30,14,auto,no,,,,
ACPIDriverDll,180002A40,FUN_180002a40,68,auto,no,,,,
ACPIDriverDll,180002A90,FUN_180002a90,83,auto,no,,,,
ACPIDriverDll,180002AF0,FUN_180002af0,8,auto,no,,,,
ACPIDriverDll,180002B00,FUN_180002b00,22,auto,no,,,,
ACPIDriverDll,180002B20,FUN_180002b20,230,auto,no,,,,
ACPIDriverDll,180002C10,FUN_180002c10,220,auto,no,,,,
ACPIDriverDll,180002CF0,FUN_180002cf0,4,auto,no,,,,
ACPIDriverDll,180002D00,~CGdiObject,75,auto,yes,,,,
ACPIDriverDll,180002D50,FUN_180002d50,15,auto,no,,,,
ACPIDriverDll,180002D60,thunk_FUN_1800047d4,5,auto,no,,,,
ACPIDriverDll,180002D70,FUN_180002d70,115,auto,no,,,,
ACPIDriverDll,180002DF0,FUN_180002df0,8,auto,no,,,,
ACPIDriverDll,180002E00,FUN_180002e00,151,auto,no,,,,
ACPIDriverDll,180002EA0,DoDataExchange,86,auto,yes,,,,
ACPIDriverDll,180002F00,FUN_180002f00,8,auto,no,,,,
ACPIDriverDll,180002F10,FUN_180002f10,298,auto,no,,,,
ACPIDriverDll,180003040,FUN_180003040,211,auto,no,,,,
ACPIDriverDll,180003120,FUN_180003120,283,auto,no,,,,
ACPIDriverDll,180003240,FUN_180003240,8,auto,no,,,,
ACPIDriverDll,180003250,ReadCMOS,221,auto,yes,,,,
ACPIDriverDll,180003330,WriteCMOS,218,auto,yes,,,,
ACPIDriverDll,180003410,ReadEC,221,auto,yes,,,,
ACPIDriverDll,1800034F0,WriteEC,218,auto,yes,,,,
ACPIDriverDll,1800035D0,ReadMEMB,221,auto,yes,,,,
ACPIDriverDll,1800036B0,WriteMEMB,218,auto,yes,,,,
ACPIDriverDll,180003790,ReadPCI,221,auto,yes,,,,
ACPIDriverDll,180003870,WritePCI,218,auto,yes,,,,
ACPIDriverDll,180003950,ReadIO,221,auto,yes,,,,
ACPIDriverDll,180003A30,WriteIO,218,auto,yes,,,,
ACPIDriverDll,180003B10,ReadIndexIO,221,auto,yes,,,,
ACPIDriverDll,180003BF0,WriteIndexIO,225,auto,yes,,,,
ACPIDriverDll,180003CE0,TempRead1,220,auto,yes,,,,
ACPIDriverDll,180003DC0,TempRead2,220,auto,yes,,,,
ACPIDriverDll,180003EA0,TempRead3,220,auto,yes,,,,
ACPIDriverDll,180003F80,TempWrite1,225,auto,yes,,,,
ACPIDriverDll,180004070,TempWrite2,225,auto,yes,,,,
ACPIDriverDll,180004160,TempWrite3,204,auto,yes,,,,
ACPIDriverDll,180004230,SMAPCTable,204,auto,yes,,,,
ACPIDriverDll,180004300,FUN_180004300,8,auto,no,,,,
ACPIDriverDll,180004310,FUN_180004310,140,auto,no,,,,
ACPIDriverDll,1800043A0,FUN_1800043a0,337,auto,no,,,,
ACPIDriverDll,180004500,FUN_180004500,359,auto,no,,,,
ACPIDriverDll,180004670,FUN_180004670,78,auto,no,,,,
ACPIDriverDll,1800046C0,FUN_1800046c0,13,auto,no,,,,
ACPIDriverDll,1800046D0,FUN_1800046d0,16,auto,no,,,,
ACPIDriverDll,1800046E0,FUN_1800046e0,157,auto,no,,,,
ACPIDriverDll,180004780,FUN_180004780,9,auto,no,,,,
ACPIDriverDll,18000478C,FUN_18000478c,70,auto,no,,,,
ACPIDriverDll,1800047D4,FUN_1800047d4,5,auto,no,,,,
ACPIDriverDll,1800047DC,thunk_FUN_18000478c,5,auto,no,,,,
ACPIDriverDll,1800047E4,FUN_1800047e4,15,auto,no,,,,
ACPIDriverDll,1800047F4,FUN_1800047f4,148,auto,no,,,,
ACPIDriverDll,18000488C,FUN_18000488c,166,auto,no,,,,
ACPIDriverDll,180004938,FUN_180004938,142,auto,no,,,,
ACPIDriverDll,1800049C8,FUN_1800049c8,159,auto,no,,,,
ACPIDriverDll,180004A68,FUN_180004a68,497,auto,no,,,,
ACPIDriverDll,180004C5C,FUN_180004c5c,10,auto,no,,,,
ACPIDriverDll,180004C68,FUN_180004c68,522,auto,no,,,,
ACPIDriverDll,180004E78,FUN_180004e78,131,auto,no,,,,
ACPIDriverDll,180004EFC,FUN_180004efc,210,auto,no,,,,
ACPIDriverDll,180004FD0,FUN_180004fd0,59,auto,no,,,,
ACPIDriverDll,18000500C,`scalar_deleting_destructor',66,auto,yes,,,,
ACPIDriverDll,180005050,FUN_180005050,63,auto,no,,,,
ACPIDriverDll,180005090,FUN_180005090,304,auto,no,,,,
ACPIDriverDll,1800051C0,FUN_1800051c0,54,auto,no,,,,
ACPIDriverDll,1800051F8,FUN_1800051f8,232,auto,no,,,,
ACPIDriverDll,1800052E4,FUN_1800052e4,109,auto,no,,,,
ACPIDriverDll,180005354,FUN_180005354,129,auto,no,,,,
ACPIDriverDll,1800053D8,CreateObject,49,auto,yes,,,,
ACPIDriverDll,18000540C,DevModeChange,242,auto,yes,,,,
ACPIDriverDll,180005500,FUN_180005500,124,auto,no,,,,
ACPIDriverDll,180005580,FUN_180005580,135,auto,no,,,,
ACPIDriverDll,180005608,FUN_180005608,217,auto,no,,,,
ACPIDriverDll,1800056E4,FUN_1800056e4,8,auto,no,,,,
ACPIDriverDll,1800056EC,FUN_1800056ec,8,auto,no,,,,
ACPIDriverDll,1800056F4,FUN_1800056f4,149,auto,no,,,,
ACPIDriverDll,18000578C,FUN_18000578c,109,auto,no,,,,
ACPIDriverDll,1800057FC,FUN_1800057fc,234,auto,no,,,,
ACPIDriverDll,1800058E8,LoadAppLangResourceDLL,156,auto,yes,,,,
ACPIDriverDll,180005984,thunk_FUN_180006630,5,auto,no,,,,
ACPIDriverDll,18000598C,FUN_18000598c,206,auto,no,,,,
ACPIDriverDll,180005A5C,FUN_180005a5c,202,auto,no,,,,
ACPIDriverDll,180005B28,FUN_180005b28,1104,auto,no,,,,
ACPIDriverDll,180005F80,RegisterWithRestartManager,64,auto,yes,,,,
ACPIDriverDll,180005FC0,FUN_180005fc0,109,auto,no,,,,
ACPIDriverDll,180006030,FUN_180006030,172,auto,no,,,,
ACPIDriverDll,1800060DC,Run,45,auto,yes,,,,
ACPIDriverDll,18000610C,FUN_18000610c,85,auto,no,,,,
ACPIDriverDll,180006164,FUN_180006164,264,auto,no,,,,
ACPIDriverDll,180006270,FUN_180006270,149,auto,no,,,,
ACPIDriverDll,180006308,FUN_180006308,149,auto,no,,,,
ACPIDriverDll,1800063A0,FUN_1800063a0,374,auto,no,,,,
ACPIDriverDll,18000651C,FUN_18000651c,270,auto,no,,,,
ACPIDriverDll,180006630,FUN_180006630,250,auto,no,,,,
ACPIDriverDll,18000672C,FUN_18000672c,179,auto,no,,,,
ACPIDriverDll,1800067E0,FUN_1800067e0,142,auto,no,,,,
ACPIDriverDll,180006870,FUN_180006870,460,auto,no,,,,
ACPIDriverDll,180006A3C,_snwprintf_s,90,auto,yes,,,,
ACPIDriverDll,180006A98,FUN_180006a98,200,auto,no,,,,
ACPIDriverDll,180006B64,FUN_180006b64,133,auto,no,,,,
ACPIDriverDll,180006BF0,FUN_180006bf0,34,auto,no,,,,
ACPIDriverDll,180006C14,FUN_180006c14,92,auto,no,,,,
ACPIDriverDll,180006C70,`scalar_deleting_destructor',89,auto,yes,,,,
ACPIDriverDll,180006CCC,FUN_180006ccc,66,auto,no,,,,
ACPIDriverDll,180006D10,`scalar_deleting_destructor',45,auto,yes,,,,
ACPIDriverDll,180006D40,FUN_180006d40,43,auto,no,,,,
ACPIDriverDll,180006D6C,FUN_180006d6c,65,auto,no,,,,
ACPIDriverDll,180006DB0,FUN_180006db0,65,auto,no,,,,
ACPIDriverDll,180006DF4,FUN_180006df4,61,auto,no,,,,
ACPIDriverDll,180006E34,FUN_180006e34,388,auto,no,,,,
ACPIDriverDll,180006FBC,CreateContainer,58,auto,yes,,,,
ACPIDriverDll,180006FF8,FUN_180006ff8,1072,auto,no,,,,
ACPIDriverDll,18000742C,CreateDlgControls,581,auto,yes,,,,
ACPIDriverDll,180007674,FUN_180007674,230,auto,no,,,,
ACPIDriverDll,18000775C,FUN_18000775c,49,auto,no,,,,
ACPIDriverDll,180007790,FUN_180007790,34,auto,no,,,,
ACPIDriverDll,1800077B4,FUN_1800077b4,93,auto,no,,,,
ACPIDriverDll,180007814,FUN_180007814,128,auto,no,,,,
ACPIDriverDll,180007898,CreateSite,58,auto,yes,,,,
ACPIDriverDll,1800078D4,FUN_1800078d4,50,auto,no,,,,
ACPIDriverDll,180007908,FUN_180007908,5,auto,no,,,,
ACPIDriverDll,180007910,FUN_180007910,32,auto,no,,,,
ACPIDriverDll,180007934,FUN_180007934,141,auto,no,,,,
ACPIDriverDll,1800079C4,FUN_1800079c4,25,auto,no,,,,
ACPIDriverDll,1800079E0,PostCreateDialog,71,auto,yes,,,,
ACPIDriverDll,180007A28,FUN_180007a28,394,auto,no,,,,
ACPIDriverDll,180007BB4,FUN_180007bb4,67,auto,no,,,,
ACPIDriverDll,180007BF8,RemoveAll,49,auto,yes,,,,
ACPIDriverDll,180007C2C,Serialize,146,auto,yes,,,,
ACPIDriverDll,180007CC0,FUN_180007cc0,552,auto,no,,,,
ACPIDriverDll,180007EEC,FUN_180007eec,173,auto,no,,,,
ACPIDriverDll,180007F9C,FUN_180007f9c,110,auto,no,,,,
ACPIDriverDll,18000800C,FUN_18000800c,38,auto,no,,,,
ACPIDriverDll,180008034,memcpy_s,135,auto,yes,,,,
ACPIDriverDll,1800080BC,FUN_1800080bc,69,auto,no,,,,
ACPIDriverDll,180008104,FUN_180008104,70,auto,no,,,,
ACPIDriverDll,18000814C,FUN_18000814c,66,auto,no,,,,
